command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8748158	File	/home/p4ultr4n/workplace/ReVeal/raw_code/v9fs_getlock_0.c								
ANR	8748159	Function	v9fs_getlock	1:0:0:1271							
ANR	8748160	FunctionDef	v9fs_getlock (void * opaque)		8748159	0					
ANR	8748161	CompoundStatement		3:0:40:1271	8748159	0					
ANR	8748162	IdentifierDeclStatement	size_t offset = 7 ;	5:4:47:64	8748159	0	True				
ANR	8748163	IdentifierDecl	offset = 7		8748159	0					
ANR	8748164	IdentifierDeclType	size_t		8748159	0					
ANR	8748165	Identifier	offset		8748159	1					
ANR	8748166	AssignmentExpression	offset = 7		8748159	2		=			
ANR	8748167	Identifier	offset		8748159	0					
ANR	8748168	PrimaryExpression	7		8748159	1					
ANR	8748169	IdentifierDeclStatement	struct stat stbuf ;	7:4:71:88	8748159	1	True				
ANR	8748170	IdentifierDecl	stbuf		8748159	0					
ANR	8748171	IdentifierDeclType	struct stat		8748159	0					
ANR	8748172	Identifier	stbuf		8748159	1					
ANR	8748173	IdentifierDeclStatement	V9fsFidState * fidp ;	9:4:95:113	8748159	2	True				
ANR	8748174	IdentifierDecl	* fidp		8748159	0					
ANR	8748175	IdentifierDeclType	V9fsFidState *		8748159	0					
ANR	8748176	Identifier	fidp		8748159	1					
ANR	8748177	IdentifierDeclStatement	V9fsGetlock * glock ;	11:4:120:138	8748159	3	True				
ANR	8748178	IdentifierDecl	* glock		8748159	0					
ANR	8748179	IdentifierDeclType	V9fsGetlock *		8748159	0					
ANR	8748180	Identifier	glock		8748159	1					
ANR	8748181	IdentifierDeclStatement	"int32_t fid , err = 0 ;"	13:4:145:165	8748159	4	True				
ANR	8748182	IdentifierDecl	fid		8748159	0					
ANR	8748183	IdentifierDeclType	int32_t		8748159	0					
ANR	8748184	Identifier	fid		8748159	1					
ANR	8748185	IdentifierDecl	err = 0		8748159	1					
ANR	8748186	IdentifierDeclType	int32_t		8748159	0					
ANR	8748187	Identifier	err		8748159	1					
ANR	8748188	AssignmentExpression	err = 0		8748159	2		=			
ANR	8748189	Identifier	err		8748159	0					
ANR	8748190	PrimaryExpression	0		8748159	1					
ANR	8748191	IdentifierDeclStatement	V9fsPDU * pdu = opaque ;	15:4:172:193	8748159	5	True				
ANR	8748192	IdentifierDecl	* pdu = opaque		8748159	0					
ANR	8748193	IdentifierDeclType	V9fsPDU *		8748159	0					
ANR	8748194	Identifier	pdu		8748159	1					
ANR	8748195	AssignmentExpression	* pdu = opaque		8748159	2		=			
ANR	8748196	Identifier	opaque		8748159	0					
ANR	8748197	Identifier	opaque		8748159	1					
ANR	8748198	IdentifierDeclStatement	V9fsState * s = pdu -> s ;	17:4:200:221	8748159	6	True				
ANR	8748199	IdentifierDecl	* s = pdu -> s		8748159	0					
ANR	8748200	IdentifierDeclType	V9fsState *		8748159	0					
ANR	8748201	Identifier	s		8748159	1					
ANR	8748202	AssignmentExpression	* s = pdu -> s		8748159	2		=			
ANR	8748203	Identifier	s		8748159	0					
ANR	8748204	PtrMemberAccess	pdu -> s		8748159	1					
ANR	8748205	Identifier	pdu		8748159	0					
ANR	8748206	Identifier	s		8748159	1					
ANR	8748207	ExpressionStatement	glock = g_malloc ( sizeof ( * glock ) )	21:4:230:262	8748159	7	True				
ANR	8748208	AssignmentExpression	glock = g_malloc ( sizeof ( * glock ) )		8748159	0		=			
ANR	8748209	Identifier	glock		8748159	0					
ANR	8748210	CallExpression	g_malloc ( sizeof ( * glock ) )		8748159	1					
ANR	8748211	Callee	g_malloc		8748159	0					
ANR	8748212	Identifier	g_malloc		8748159	0					
ANR	8748213	ArgumentList	sizeof ( * glock )		8748159	1					
ANR	8748214	Argument	sizeof ( * glock )		8748159	0					
ANR	8748215	SizeofExpression	sizeof ( * glock )		8748159	0					
ANR	8748216	Sizeof	sizeof		8748159	0					
ANR	8748217	UnaryOperationExpression	* glock		8748159	1					
ANR	8748218	UnaryOperator	*		8748159	0					
ANR	8748219	Identifier	glock		8748159	1					
ANR	8748220	ExpressionStatement	"pdu_unmarshal ( pdu , offset , ""dbqqds"" , & fid , & glock -> type , & glock -> start , & glock -> length , & glock -> proc_id , & glock -> client_id )"	23:4:269:430	8748159	8	True				
ANR	8748221	CallExpression	"pdu_unmarshal ( pdu , offset , ""dbqqds"" , & fid , & glock -> type , & glock -> start , & glock -> length , & glock -> proc_id , & glock -> client_id )"		8748159	0					
ANR	8748222	Callee	pdu_unmarshal		8748159	0					
ANR	8748223	Identifier	pdu_unmarshal		8748159	0					
ANR	8748224	ArgumentList	pdu		8748159	1					
ANR	8748225	Argument	pdu		8748159	0					
ANR	8748226	Identifier	pdu		8748159	0					
ANR	8748227	Argument	offset		8748159	1					
ANR	8748228	Identifier	offset		8748159	0					
ANR	8748229	Argument	"""dbqqds"""		8748159	2					
ANR	8748230	PrimaryExpression	"""dbqqds"""		8748159	0					
ANR	8748231	Argument	& fid		8748159	3					
ANR	8748232	UnaryOperationExpression	& fid		8748159	0					
ANR	8748233	UnaryOperator	&		8748159	0					
ANR	8748234	Identifier	fid		8748159	1					
ANR	8748235	Argument	& glock -> type		8748159	4					
ANR	8748236	UnaryOperationExpression	& glock -> type		8748159	0					
ANR	8748237	UnaryOperator	&		8748159	0					
ANR	8748238	PtrMemberAccess	glock -> type		8748159	1					
ANR	8748239	Identifier	glock		8748159	0					
ANR	8748240	Identifier	type		8748159	1					
ANR	8748241	Argument	& glock -> start		8748159	5					
