start	end	type	var
8767930	8767931	IS_AST_PARENT	
8767930	8767932	IS_AST_PARENT	
8767929	8767930	IS_AST_PARENT	
8767929	8767933	IS_AST_PARENT	
8767928	8767929	IS_AST_PARENT	
8767927	8767928	IS_AST_PARENT	
8767936	8767937	IS_AST_PARENT	
8767936	8767938	IS_AST_PARENT	
8767935	8767936	IS_AST_PARENT	
8767935	8767939	IS_AST_PARENT	
8767934	8767935	IS_AST_PARENT	
8767927	8767934	IS_AST_PARENT	
8767942	8767943	IS_AST_PARENT	
8767942	8767944	IS_AST_PARENT	
8767941	8767942	IS_AST_PARENT	
8767941	8767945	IS_AST_PARENT	
8767940	8767941	IS_AST_PARENT	
8767927	8767940	IS_AST_PARENT	
8767948	8767949	IS_AST_PARENT	
8767948	8767950	IS_AST_PARENT	
8767947	8767948	IS_AST_PARENT	
8767947	8767951	IS_AST_PARENT	
8767946	8767947	IS_AST_PARENT	
8767927	8767946	IS_AST_PARENT	
8767954	8767955	IS_AST_PARENT	
8767954	8767956	IS_AST_PARENT	
8767953	8767954	IS_AST_PARENT	
8767953	8767957	IS_AST_PARENT	
8767952	8767953	IS_AST_PARENT	
8767927	8767952	IS_AST_PARENT	
8767958	8767959	IS_AST_PARENT	
8767927	8767958	IS_AST_PARENT	
8767926	8767927	IS_AST_PARENT	
8767926	8767960	IS_AST_PARENT	
8767926	8767961	IS_AST_PARENT	
8767963	8767964	IS_AST_PARENT	
8767963	8767965	IS_AST_PARENT	
8767962	8767963	IS_AST_PARENT	
8767966	8767967	IS_AST_PARENT	
8767966	8767968	IS_AST_PARENT	
8767962	8767966	IS_AST_PARENT	
8767969	8767970	IS_AST_PARENT	
8767969	8767971	IS_AST_PARENT	
8767962	8767969	IS_AST_PARENT	
8767926	8767962	IS_AST_PARENT	
8767972	8767963	FLOWS_TO	
8767963	8767966	FLOWS_TO	
8767966	8767969	FLOWS_TO	
8767969	8767928	FLOWS_TO	
8767928	8767934	FLOWS_TO	
8767934	8767940	FLOWS_TO	
8767940	8767946	FLOWS_TO	
8767946	8767952	FLOWS_TO	
8767952	8767958	FLOWS_TO	
8767958	8767973	FLOWS_TO	
8767952	8767974	DEF	
8767953	8767974	DEF	
8767963	8767975	DEF	
8767928	8767976	DEF	
8767929	8767976	DEF	
8767934	8767976	DEF	
8767935	8767976	DEF	
8767940	8767976	DEF	
8767941	8767976	DEF	
8767946	8767976	DEF	
8767947	8767976	DEF	
8767952	8767976	DEF	
8767953	8767976	DEF	
8767934	8767977	DEF	
8767935	8767977	DEF	
8767969	8767978	DEF	
8767928	8767978	USE	
8767930	8767978	USE	
8767934	8767978	USE	
8767936	8767978	USE	
8767940	8767978	USE	
8767942	8767978	USE	
8767946	8767978	USE	
8767948	8767978	USE	
8767952	8767978	USE	
8767954	8767978	USE	
8767928	8767979	DEF	
8767929	8767979	DEF	
8767946	8767980	USE	
8767947	8767980	USE	
8767952	8767981	USE	
8767953	8767981	USE	
8767966	8767982	DEF	
8767940	8767983	DEF	
8767941	8767983	DEF	
8767946	8767984	DEF	
8767947	8767984	DEF	
8767952	8767973	REACHES	* stbuf
8767969	8767928	REACHES	stbuf
8767969	8767934	REACHES	stbuf
8767969	8767940	REACHES	stbuf
8767969	8767946	REACHES	stbuf
8767969	8767952	REACHES	stbuf
8767972	8767963	CONTROLS	
8767972	8767966	CONTROLS	
8767972	8767969	CONTROLS	
8767972	8767928	CONTROLS	
8767972	8767934	CONTROLS	
8767972	8767940	CONTROLS	
8767972	8767946	CONTROLS	
8767972	8767952	CONTROLS	
8767972	8767958	CONTROLS	
8767928	8767934	DOM	
8767934	8767940	DOM	
8767972	8767963	DOM	
8767940	8767946	DOM	
8767966	8767969	DOM	
8767963	8767966	DOM	
8767972	8767972	DOM	
8767946	8767952	DOM	
8767969	8767928	DOM	
8767952	8767958	DOM	
8767958	8767973	DOM	
8767940	8767934	POST_DOM	
8767946	8767940	POST_DOM	
8767952	8767946	POST_DOM	
8767966	8767963	POST_DOM	
8767928	8767969	POST_DOM	
8767969	8767966	POST_DOM	
8767963	8767972	POST_DOM	
8767958	8767952	POST_DOM	
8767973	8767973	POST_DOM	
8767973	8767958	POST_DOM	
8767934	8767928	POST_DOM	
8767925	8767926	IS_FUNCTION_OF_AST	
8767925	8767972	IS_FUNCTION_OF_CFG	
8767924	8767925	IS_FILE_OF	
