start	end	type	var
9028468	9028469	IS_AST_PARENT	
9028468	9028470	IS_AST_PARENT	
9028471	9028472	IS_AST_PARENT	
9028474	9028475	IS_AST_PARENT	
9028473	9028474	IS_AST_PARENT	
9028477	9028478	IS_AST_PARENT	
9028476	9028477	IS_AST_PARENT	
9028473	9028476	IS_AST_PARENT	
9028471	9028473	IS_AST_PARENT	
9028468	9028471	IS_AST_PARENT	
9028467	9028468	IS_AST_PARENT	
9028466	9028467	IS_AST_PARENT	
9028480	9028481	IS_AST_PARENT	
9028480	9028482	IS_AST_PARENT	
9028483	9028484	IS_AST_PARENT	
9028486	9028487	IS_AST_PARENT	
9028485	9028486	IS_AST_PARENT	
9028489	9028490	IS_AST_PARENT	
9028488	9028489	IS_AST_PARENT	
9028485	9028488	IS_AST_PARENT	
9028483	9028485	IS_AST_PARENT	
9028480	9028483	IS_AST_PARENT	
9028479	9028480	IS_AST_PARENT	
9028466	9028479	IS_AST_PARENT	
9028492	9028493	IS_AST_PARENT	
9028492	9028494	IS_AST_PARENT	
9028495	9028496	IS_AST_PARENT	
9028495	9028497	IS_AST_PARENT	
9028492	9028495	IS_AST_PARENT	
9028491	9028492	IS_AST_PARENT	
9028466	9028491	IS_AST_PARENT	
9028499	9028500	IS_AST_PARENT	
9028499	9028501	IS_AST_PARENT	
9028502	9028503	IS_AST_PARENT	
9028504	9028505	IS_AST_PARENT	
9028504	9028506	IS_AST_PARENT	
9028502	9028504	IS_AST_PARENT	
9028499	9028502	IS_AST_PARENT	
9028498	9028499	IS_AST_PARENT	
9028466	9028498	IS_AST_PARENT	
9028508	9028509	IS_AST_PARENT	
9028508	9028510	IS_AST_PARENT	
9028507	9028508	IS_AST_PARENT	
9028466	9028507	IS_AST_PARENT	
9028513	9028514	IS_AST_PARENT	
9028516	9028517	IS_AST_PARENT	
9028516	9028518	IS_AST_PARENT	
9028515	9028516	IS_AST_PARENT	
9028515	9028519	IS_AST_PARENT	
9028513	9028515	IS_AST_PARENT	
9028512	9028513	IS_AST_PARENT	
9028511	9028512	IS_AST_PARENT	
9028523	9028524	IS_AST_PARENT	
9028522	9028523	IS_AST_PARENT	
9028526	9028527	IS_AST_PARENT	
9028525	9028526	IS_AST_PARENT	
9028528	9028529	IS_AST_PARENT	
9028525	9028528	IS_AST_PARENT	
9028522	9028525	IS_AST_PARENT	
9028521	9028522	IS_AST_PARENT	
9028520	9028521	IS_AST_PARENT	
9028520	9028530	IS_AST_PARENT	
9028511	9028520	IS_AST_PARENT	
9028466	9028511	IS_AST_PARENT	
9028534	9028535	IS_AST_PARENT	
9028534	9028536	IS_AST_PARENT	
9028533	9028534	IS_AST_PARENT	
9028533	9028537	IS_AST_PARENT	
