start	end	type	var
9110514	9110515	IS_AST_PARENT	
9110514	9110516	IS_AST_PARENT	
9110517	9110518	IS_AST_PARENT	
9110517	9110519	IS_AST_PARENT	
9110514	9110517	IS_AST_PARENT	
9110513	9110514	IS_AST_PARENT	
9110512	9110513	IS_AST_PARENT	
9110521	9110522	IS_AST_PARENT	
9110521	9110523	IS_AST_PARENT	
9110524	9110525	IS_AST_PARENT	
9110527	9110528	IS_AST_PARENT	
9110526	9110527	IS_AST_PARENT	
9110531	9110532	IS_AST_PARENT	
9110533	9110534	IS_AST_PARENT	
9110533	9110535	IS_AST_PARENT	
9110531	9110533	IS_AST_PARENT	
9110530	9110531	IS_AST_PARENT	
9110529	9110530	IS_AST_PARENT	
9110526	9110529	IS_AST_PARENT	
9110524	9110526	IS_AST_PARENT	
9110521	9110524	IS_AST_PARENT	
9110520	9110521	IS_AST_PARENT	
9110512	9110520	IS_AST_PARENT	
9110537	9110538	IS_AST_PARENT	
9110537	9110539	IS_AST_PARENT	
9110540	9110541	IS_AST_PARENT	
9110543	9110544	IS_AST_PARENT	
9110542	9110543	IS_AST_PARENT	
9110547	9110548	IS_AST_PARENT	
9110549	9110550	IS_AST_PARENT	
9110549	9110551	IS_AST_PARENT	
9110547	9110549	IS_AST_PARENT	
9110546	9110547	IS_AST_PARENT	
9110545	9110546	IS_AST_PARENT	
9110542	9110545	IS_AST_PARENT	
9110540	9110542	IS_AST_PARENT	
9110537	9110540	IS_AST_PARENT	
9110536	9110537	IS_AST_PARENT	
9110512	9110536	IS_AST_PARENT	
9110553	9110554	IS_AST_PARENT	
9110553	9110555	IS_AST_PARENT	
9110556	9110557	IS_AST_PARENT	
9110556	9110558	IS_AST_PARENT	
9110553	9110556	IS_AST_PARENT	
9110552	9110553	IS_AST_PARENT	
9110512	9110552	IS_AST_PARENT	
9110561	9110562	IS_AST_PARENT	
9110561	9110563	IS_AST_PARENT	
9110560	9110561	IS_AST_PARENT	
9110559	9110560	IS_AST_PARENT	
9110567	9110568	IS_AST_PARENT	
9110566	9110567	IS_AST_PARENT	
9110570	9110571	IS_AST_PARENT	
9110569	9110570	IS_AST_PARENT	
9110572	9110573	IS_AST_PARENT	
9110569	9110572	IS_AST_PARENT	
9110566	9110569	IS_AST_PARENT	
