command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9121322	File	/home/p4ultr4n/workplace/ReVeal/raw_code/virtio_scsi_change_0.c								
ANR	9121323	Function	virtio_scsi_change	1:0:0:439							
ANR	9121324	FunctionDef	"virtio_scsi_change (SCSIBus * bus , SCSIDevice * dev , SCSISense sense)"		9121323	0					
ANR	9121325	CompoundStatement		3:0:80:439	9121323	0					
ANR	9121326	IdentifierDeclStatement	"VirtIOSCSI * s = container_of ( bus , VirtIOSCSI , bus ) ;"	5:4:87:137	9121323	0	True				
ANR	9121327	IdentifierDecl	"* s = container_of ( bus , VirtIOSCSI , bus )"		9121323	0					
ANR	9121328	IdentifierDeclType	VirtIOSCSI *		9121323	0					
ANR	9121329	Identifier	s		9121323	1					
ANR	9121330	AssignmentExpression	"* s = container_of ( bus , VirtIOSCSI , bus )"		9121323	2		=			
ANR	9121331	Identifier	s		9121323	0					
ANR	9121332	CallExpression	"container_of ( bus , VirtIOSCSI , bus )"		9121323	1					
ANR	9121333	Callee	container_of		9121323	0					
ANR	9121334	Identifier	container_of		9121323	0					
ANR	9121335	ArgumentList	bus		9121323	1					
ANR	9121336	Argument	bus		9121323	0					
ANR	9121337	Identifier	bus		9121323	0					
ANR	9121338	Argument	VirtIOSCSI		9121323	1					
ANR	9121339	Identifier	VirtIOSCSI		9121323	0					
ANR	9121340	Argument	bus		9121323	2					
ANR	9121341	Identifier	bus		9121323	0					
ANR	9121342	IfStatement	if ( ( ( s -> vdev . guest_features >> VIRTIO_SCSI_F_CHANGE ) & 1 ) && ( s -> vdev . status & VIRTIO_CONFIG_S_DRIVER_OK ) && dev -> type != TYPE_ROM )		9121323	1					
ANR	9121343	Condition	( ( s -> vdev . guest_features >> VIRTIO_SCSI_F_CHANGE ) & 1 ) && ( s -> vdev . status & VIRTIO_CONFIG_S_DRIVER_OK ) && dev -> type != TYPE_ROM	9:8:150:294	9121323	0	True				
ANR	9121344	AndExpression	( ( s -> vdev . guest_features >> VIRTIO_SCSI_F_CHANGE ) & 1 ) && ( s -> vdev . status & VIRTIO_CONFIG_S_DRIVER_OK ) && dev -> type != TYPE_ROM		9121323	0		&&			
ANR	9121345	BitAndExpression	( s -> vdev . guest_features >> VIRTIO_SCSI_F_CHANGE ) & 1		9121323	0		&			
ANR	9121346	ShiftExpression	s -> vdev . guest_features >> VIRTIO_SCSI_F_CHANGE		9121323	0		>>			
ANR	9121347	MemberAccess	s -> vdev . guest_features		9121323	0					
ANR	9121348	PtrMemberAccess	s -> vdev		9121323	0					
ANR	9121349	Identifier	s		9121323	0					
ANR	9121350	Identifier	vdev		9121323	1					
ANR	9121351	Identifier	guest_features		9121323	1					
ANR	9121352	Identifier	VIRTIO_SCSI_F_CHANGE		9121323	1					
ANR	9121353	PrimaryExpression	1		9121323	1					
ANR	9121354	AndExpression	( s -> vdev . status & VIRTIO_CONFIG_S_DRIVER_OK ) && dev -> type != TYPE_ROM		9121323	1		&&			
ANR	9121355	BitAndExpression	s -> vdev . status & VIRTIO_CONFIG_S_DRIVER_OK		9121323	0		&			
ANR	9121356	MemberAccess	s -> vdev . status		9121323	0					
ANR	9121357	PtrMemberAccess	s -> vdev		9121323	0					
ANR	9121358	Identifier	s		9121323	0					
ANR	9121359	Identifier	vdev		9121323	1					
ANR	9121360	Identifier	status		9121323	1					
ANR	9121361	Identifier	VIRTIO_CONFIG_S_DRIVER_OK		9121323	1					
ANR	9121362	EqualityExpression	dev -> type != TYPE_ROM		9121323	1		!=			
ANR	9121363	PtrMemberAccess	dev -> type		9121323	0					
ANR	9121364	Identifier	dev		9121323	0					
ANR	9121365	Identifier	type		9121323	1					
ANR	9121366	Identifier	TYPE_ROM		9121323	1					
ANR	9121367	CompoundStatement		11:31:216:216	9121323	1					
ANR	9121368	ExpressionStatement	"virtio_scsi_push_event ( s , dev , VIRTIO_SCSI_T_PARAM_CHANGE , sense . asc | ( sense . ascq << 8 ) )"	15:8:308:429	9121323	0	True				
ANR	9121369	CallExpression	"virtio_scsi_push_event ( s , dev , VIRTIO_SCSI_T_PARAM_CHANGE , sense . asc | ( sense . ascq << 8 ) )"		9121323	0					
ANR	9121370	Callee	virtio_scsi_push_event		9121323	0					
ANR	9121371	Identifier	virtio_scsi_push_event		9121323	0					
ANR	9121372	ArgumentList	s		9121323	1					
ANR	9121373	Argument	s		9121323	0					
ANR	9121374	Identifier	s		9121323	0					
ANR	9121375	Argument	dev		9121323	1					
ANR	9121376	Identifier	dev		9121323	0					
ANR	9121377	Argument	VIRTIO_SCSI_T_PARAM_CHANGE		9121323	2					
ANR	9121378	Identifier	VIRTIO_SCSI_T_PARAM_CHANGE		9121323	0					
ANR	9121379	Argument	sense . asc | ( sense . ascq << 8 )		9121323	3					
ANR	9121380	InclusiveOrExpression	sense . asc | ( sense . ascq << 8 )		9121323	0		|			
ANR	9121381	MemberAccess	sense . asc		9121323	0					
ANR	9121382	Identifier	sense		9121323	0					
ANR	9121383	Identifier	asc		9121323	1					
ANR	9121384	ShiftExpression	sense . ascq << 8		9121323	1		<<			
ANR	9121385	MemberAccess	sense . ascq		9121323	0					
ANR	9121386	Identifier	sense		9121323	0					
ANR	9121387	Identifier	ascq		9121323	1					
ANR	9121388	PrimaryExpression	8		9121323	1					
ANR	9121389	ReturnType	static void		9121323	1					
ANR	9121390	Identifier	virtio_scsi_change		9121323	2					
ANR	9121391	ParameterList	"SCSIBus * bus , SCSIDevice * dev , SCSISense sense"		9121323	3					
ANR	9121392	Parameter	SCSIBus * bus	1:31:31:42	9121323	0	True				
ANR	9121393	ParameterType	SCSIBus *		9121323	0					
ANR	9121394	Identifier	bus		9121323	1					
ANR	9121395	Parameter	SCSIDevice * dev	1:45:45:59	9121323	1	True				
ANR	9121396	ParameterType	SCSIDevice *		9121323	0					
ANR	9121397	Identifier	dev		9121323	1					
ANR	9121398	Parameter	SCSISense sense	1:62:62:76	9121323	2	True				
ANR	9121399	ParameterType	SCSISense		9121323	0					
ANR	9121400	Identifier	sense		9121323	1					
ANR	9121401	CFGEntryNode	ENTRY		9121323		True				
ANR	9121402	CFGExitNode	EXIT		9121323		True				
ANR	9121403	Symbol	* dev		9121323						
ANR	9121404	Symbol	dev -> type		9121323						
ANR	9121405	Symbol	sense . asc		9121323						
ANR	9121406	Symbol	bus		9121323						
ANR	9121407	Symbol	TYPE_ROM		9121323						
ANR	9121408	Symbol	s -> vdev		9121323						
ANR	9121409	Symbol	sense . ascq		9121323						
ANR	9121410	Symbol	VirtIOSCSI		9121323						
ANR	9121411	Symbol	VIRTIO_SCSI_T_PARAM_CHANGE		9121323						
ANR	9121412	Symbol	sense		9121323						
ANR	9121413	Symbol	container_of		9121323						
ANR	9121414	Symbol	s		9121323						
ANR	9121415	Symbol	dev		9121323						
ANR	9121416	Symbol	s -> vdev . guest_features		9121323						
ANR	9121417	Symbol	VIRTIO_SCSI_F_CHANGE		9121323						
ANR	9121418	Symbol	VIRTIO_CONFIG_S_DRIVER_OK		9121323						
ANR	9121419	Symbol	* s		9121323						
ANR	9121420	Symbol	s -> vdev . status		9121323						
