command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9130373	File	/home/p4ultr4n/workplace/ReVeal/raw_code/virtio_scsi_handle_ctrl_req_0.c								
ANR	9130374	Function	virtio_scsi_handle_ctrl_req	1:0:0:1205							
ANR	9130375	FunctionDef	"virtio_scsi_handle_ctrl_req (VirtIOSCSI * s , VirtIOSCSIReq * req)"		9130374	0					
ANR	9130376	CompoundStatement		3:0:69:1205	9130374	0					
ANR	9130377	IdentifierDeclStatement	VirtIODevice * vdev = ( VirtIODevice * ) s ;	5:4:76:114	9130374	0	True				
ANR	9130378	IdentifierDecl	* vdev = ( VirtIODevice * ) s		9130374	0					
ANR	9130379	IdentifierDeclType	VirtIODevice *		9130374	0					
ANR	9130380	Identifier	vdev		9130374	1					
ANR	9130381	AssignmentExpression	* vdev = ( VirtIODevice * ) s		9130374	2		=			
ANR	9130382	Identifier	vdev		9130374	0					
ANR	9130383	CastExpression	( VirtIODevice * ) s		9130374	1					
ANR	9130384	CastTarget	VirtIODevice *		9130374	0					
ANR	9130385	Identifier	s		9130374	1					
ANR	9130386	IdentifierDeclStatement	int type ;	7:4:121:129	9130374	1	True				
ANR	9130387	IdentifierDecl	type		9130374	0					
ANR	9130388	IdentifierDeclType	int		9130374	0					
ANR	9130389	Identifier	type		9130374	1					
ANR	9130390	IdentifierDeclStatement	int r = 0 ;	9:4:136:145	9130374	2	True				
ANR	9130391	IdentifierDecl	r = 0		9130374	0					
ANR	9130392	IdentifierDeclType	int		9130374	0					
ANR	9130393	Identifier	r		9130374	1					
ANR	9130394	AssignmentExpression	r = 0		9130374	2		=			
ANR	9130395	Identifier	r		9130374	0					
ANR	9130396	PrimaryExpression	0		9130374	1					
ANR	9130397	IfStatement	"if ( iov_to_buf ( req -> elem . out_sg , req -> elem . out_num , 0 , & type , sizeof ( type ) ) < sizeof ( type ) )"		9130374	3					
ANR	9130398	Condition	"iov_to_buf ( req -> elem . out_sg , req -> elem . out_num , 0 , & type , sizeof ( type ) ) < sizeof ( type )"	13:8:158:260	9130374	0	True				
ANR	9130399	RelationalExpression	"iov_to_buf ( req -> elem . out_sg , req -> elem . out_num , 0 , & type , sizeof ( type ) ) < sizeof ( type )"		9130374	0		<			
ANR	9130400	CallExpression	"iov_to_buf ( req -> elem . out_sg , req -> elem . out_num , 0 , & type , sizeof ( type ) )"		9130374	0					
ANR	9130401	Callee	iov_to_buf		9130374	0					
ANR	9130402	Identifier	iov_to_buf		9130374	0					
ANR	9130403	ArgumentList	req -> elem . out_sg		9130374	1					
ANR	9130404	Argument	req -> elem . out_sg		9130374	0					
ANR	9130405	MemberAccess	req -> elem . out_sg		9130374	0					
ANR	9130406	PtrMemberAccess	req -> elem		9130374	0					
ANR	9130407	Identifier	req		9130374	0					
ANR	9130408	Identifier	elem		9130374	1					
ANR	9130409	Identifier	out_sg		9130374	1					
ANR	9130410	Argument	req -> elem . out_num		9130374	1					
ANR	9130411	MemberAccess	req -> elem . out_num		9130374	0					
ANR	9130412	PtrMemberAccess	req -> elem		9130374	0					
ANR	9130413	Identifier	req		9130374	0					
ANR	9130414	Identifier	elem		9130374	1					
ANR	9130415	Identifier	out_num		9130374	1					
ANR	9130416	Argument	0		9130374	2					
ANR	9130417	PrimaryExpression	0		9130374	0					
ANR	9130418	Argument	& type		9130374	3					
ANR	9130419	UnaryOperationExpression	& type		9130374	0					
ANR	9130420	UnaryOperator	&		9130374	0					
ANR	9130421	Identifier	type		9130374	1					
ANR	9130422	Argument	sizeof ( type )		9130374	4					
ANR	9130423	SizeofExpression	sizeof ( type )		9130374	0					
ANR	9130424	Sizeof	sizeof		9130374	0					
ANR	9130425	SizeofOperand	type		9130374	1					
ANR	9130426	SizeofExpression	sizeof ( type )		9130374	1					
ANR	9130427	Sizeof	sizeof		9130374	0					
ANR	9130428	SizeofOperand	type		9130374	1					
ANR	9130429	CompoundStatement		13:53:193:193	9130374	1					
ANR	9130430	ExpressionStatement	virtio_scsi_bad_req ( )	17:8:274:295	9130374	0	True				
ANR	9130431	CallExpression	virtio_scsi_bad_req ( )		9130374	0					
ANR	9130432	Callee	virtio_scsi_bad_req		9130374	0					
ANR	9130433	Identifier	virtio_scsi_bad_req		9130374	0					
ANR	9130434	ArgumentList			9130374	1					
ANR	9130435	ReturnStatement	return ;	19:8:306:312	9130374	1	True				
ANR	9130436	ExpressionStatement	"virtio_tswap32s ( vdev , & req -> req . tmf . type )"	25:4:328:369	9130374	4	True				
ANR	9130437	CallExpression	"virtio_tswap32s ( vdev , & req -> req . tmf . type )"		9130374	0					
ANR	9130438	Callee	virtio_tswap32s		9130374	0					
ANR	9130439	Identifier	virtio_tswap32s		9130374	0					
ANR	9130440	ArgumentList	vdev		9130374	1					
ANR	9130441	Argument	vdev		9130374	0					
ANR	9130442	Identifier	vdev		9130374	0					
ANR	9130443	Argument	& req -> req . tmf . type		9130374	1					
ANR	9130444	UnaryOperationExpression	& req -> req . tmf . type		9130374	0					
ANR	9130445	UnaryOperator	&		9130374	0					
ANR	9130446	MemberAccess	req -> req . tmf . type		9130374	1					
ANR	9130447	MemberAccess	req -> req . tmf		9130374	0					
ANR	9130448	PtrMemberAccess	req -> req		9130374	0					
ANR	9130449	Identifier	req		9130374	0					
ANR	9130450	Identifier	req		9130374	1					
ANR	9130451	Identifier	tmf		9130374	1					
ANR	9130452	Identifier	type		9130374	1					
ANR	9130453	IfStatement	if ( req -> req . tmf . type == VIRTIO_SCSI_T_TMF )		9130374	5					
ANR	9130454	Condition	req -> req . tmf . type == VIRTIO_SCSI_T_TMF	27:8:380:417	9130374	0	True				
ANR	9130455	EqualityExpression	req -> req . tmf . type == VIRTIO_SCSI_T_TMF		9130374	0		==			
ANR	9130456	MemberAccess	req -> req . tmf . type		9130374	0					
ANR	9130457	MemberAccess	req -> req . tmf		9130374	0					
ANR	9130458	PtrMemberAccess	req -> req		9130374	0					
ANR	9130459	Identifier	req		9130374	0					
ANR	9130460	Identifier	req		9130374	1					
ANR	9130461	Identifier	tmf		9130374	1					
ANR	9130462	Identifier	type		9130374	1					
