start	end	type	var
9137878	9137879	IS_AST_PARENT	
9137878	9137880	IS_AST_PARENT	
9137881	9137882	IS_AST_PARENT	
9137883	9137884	IS_AST_PARENT	
9137883	9137885	IS_AST_PARENT	
9137881	9137883	IS_AST_PARENT	
9137878	9137881	IS_AST_PARENT	
9137877	9137878	IS_AST_PARENT	
9137876	9137877	IS_AST_PARENT	
9137887	9137888	IS_AST_PARENT	
9137887	9137889	IS_AST_PARENT	
9137886	9137887	IS_AST_PARENT	
9137876	9137886	IS_AST_PARENT	
9137893	9137894	IS_AST_PARENT	
9137896	9137897	IS_AST_PARENT	
9137895	9137896	IS_AST_PARENT	
9137899	9137900	IS_AST_PARENT	
9137898	9137899	IS_AST_PARENT	
9137895	9137898	IS_AST_PARENT	
9137893	9137895	IS_AST_PARENT	
9137892	9137893	IS_AST_PARENT	
9137902	9137903	IS_AST_PARENT	
9137907	9137908	IS_AST_PARENT	
9137907	9137909	IS_AST_PARENT	
9137906	9137907	IS_AST_PARENT	
9137906	9137910	IS_AST_PARENT	
9137905	9137906	IS_AST_PARENT	
9137905	9137911	IS_AST_PARENT	
9137904	9137905	IS_AST_PARENT	
9137904	9137912	IS_AST_PARENT	
9137902	9137904	IS_AST_PARENT	
9137901	9137902	IS_AST_PARENT	
9137914	9137915	IS_AST_PARENT	
9137913	9137914	IS_AST_PARENT	
9137917	9137918	IS_AST_PARENT	
9137916	9137917	IS_AST_PARENT	
9137913	9137916	IS_AST_PARENT	
9137901	9137913	IS_AST_PARENT	
9137892	9137901	IS_AST_PARENT	
9137891	9137892	IS_AST_PARENT	
9137890	9137891	IS_AST_PARENT	
9137920	9137921	IS_AST_PARENT	
9137919	9137920	IS_AST_PARENT	
9137890	9137919	IS_AST_PARENT	
9137876	9137890	IS_AST_PARENT	
9137926	9137927	IS_AST_PARENT	
9137925	9137926	IS_AST_PARENT	
9137930	9137931	IS_AST_PARENT	
9137930	9137932	IS_AST_PARENT	
9137929	9137930	IS_AST_PARENT	
9137928	9137929	IS_AST_PARENT	
9137925	9137928	IS_AST_PARENT	
9137924	9137925	IS_AST_PARENT	
9137933	9137934	IS_AST_PARENT	
9137935	9137936	IS_AST_PARENT	
9137935	9137937	IS_AST_PARENT	
9137933	9137935	IS_AST_PARENT	
9137924	9137933	IS_AST_PARENT	
9137923	9137924	IS_AST_PARENT	
9137922	9137923	IS_AST_PARENT	
9137939	9137940	IS_AST_PARENT	
9137938	9137939	IS_AST_PARENT	
9137922	9137938	IS_AST_PARENT	
9137876	9137922	IS_AST_PARENT	
9137943	9137944	IS_AST_PARENT	
9137942	9137943	IS_AST_PARENT	
9137946	9137947	IS_AST_PARENT	
9137945	9137946	IS_AST_PARENT	
9137949	9137950	IS_AST_PARENT	
9137949	9137951	IS_AST_PARENT	
9137948	9137949	IS_AST_PARENT	
9137945	9137948	IS_AST_PARENT	
9137952	9137953	IS_AST_PARENT	
9137945	9137952	IS_AST_PARENT	
9137942	9137945	IS_AST_PARENT	
9137941	9137942	IS_AST_PARENT	
9137876	9137941	IS_AST_PARENT	
9137954	9137955	IS_AST_PARENT	
9137876	9137954	IS_AST_PARENT	
9137875	9137876	IS_AST_PARENT	
9137875	9137956	IS_AST_PARENT	
9137875	9137957	IS_AST_PARENT	
9137959	9137960	IS_AST_PARENT	
9137959	9137961	IS_AST_PARENT	
9137958	9137959	IS_AST_PARENT	
9137875	9137958	IS_AST_PARENT	
9137962	9137959	FLOWS_TO	
9137959	9137877	FLOWS_TO	
9137877	9137886	FLOWS_TO	
9137886	9137891	FLOWS_TO	
9137891	9137920	FLOWS_TO	
9137891	9137923	FLOWS_TO	
9137920	9137963	FLOWS_TO	
9137923	9137939	FLOWS_TO	
9137923	9137941	FLOWS_TO	
9137939	9137963	FLOWS_TO	
9137941	9137954	FLOWS_TO	
9137954	9137963	FLOWS_TO	
9137891	9137964	USE	
9137923	9137965	USE	
9137941	9137966	USE	
9137952	9137966	USE	
9137923	9137967	USE	
9137877	9137968	USE	
9137881	9137968	USE	
9137891	9137969	USE	
9137906	9137969	USE	
9137923	9137969	USE	
9137929	9137969	USE	
9137891	9137970	USE	
9137905	9137970	USE	
9137891	9137971	USE	
9137905	9137971	USE	
9137877	9137972	USE	
9137881	9137972	USE	
9137891	9137972	USE	
9137906	9137972	USE	
9137923	9137972	USE	
9137929	9137972	USE	
9137941	9137973	USE	
9137948	9137973	USE	
9137959	9137974	DEF	
9137877	9137974	USE	
9137883	9137974	USE	
9137891	9137974	USE	
9137907	9137974	USE	
9137923	9137974	USE	
9137935	9137974	USE	
9137930	9137974	USE	
9137886	9137975	DEF	
9137887	9137975	DEF	
9137954	9137975	USE	
9137891	9137976	USE	
9137905	9137976	USE	
9137891	9137977	USE	
9137891	9137978	USE	
9137877	9137979	DEF	
