start	end	type	var
9158017	9158018	IS_AST_PARENT	
9158017	9158019	IS_AST_PARENT	
9158020	9158021	IS_AST_PARENT	
9158022	9158023	IS_AST_PARENT	
9158022	9158024	IS_AST_PARENT	
9158020	9158022	IS_AST_PARENT	
9158017	9158020	IS_AST_PARENT	
9158016	9158017	IS_AST_PARENT	
9158015	9158016	IS_AST_PARENT	
9158026	9158027	IS_AST_PARENT	
9158026	9158028	IS_AST_PARENT	
9158029	9158030	IS_AST_PARENT	
9158031	9158032	IS_AST_PARENT	
9158031	9158033	IS_AST_PARENT	
9158029	9158031	IS_AST_PARENT	
9158026	9158029	IS_AST_PARENT	
9158025	9158026	IS_AST_PARENT	
9158015	9158025	IS_AST_PARENT	
9158035	9158036	IS_AST_PARENT	
9158035	9158037	IS_AST_PARENT	
9158038	9158039	IS_AST_PARENT	
9158038	9158040	IS_AST_PARENT	
9158035	9158038	IS_AST_PARENT	
9158034	9158035	IS_AST_PARENT	
9158041	9158042	IS_AST_PARENT	
9158041	9158043	IS_AST_PARENT	
9158034	9158041	IS_AST_PARENT	
9158015	9158034	IS_AST_PARENT	
9158045	9158046	IS_AST_PARENT	
9158045	9158047	IS_AST_PARENT	
9158044	9158045	IS_AST_PARENT	
9158015	9158044	IS_AST_PARENT	
9158049	9158050	IS_AST_PARENT	
9158049	9158051	IS_AST_PARENT	
9158048	9158049	IS_AST_PARENT	
9158015	9158048	IS_AST_PARENT	
9158053	9158054	IS_AST_PARENT	
9158053	9158055	IS_AST_PARENT	
9158052	9158053	IS_AST_PARENT	
9158015	9158052	IS_AST_PARENT	
9158057	9158058	IS_AST_PARENT	
9158057	9158059	IS_AST_PARENT	
9158056	9158057	IS_AST_PARENT	
9158015	9158056	IS_AST_PARENT	
9158061	9158062	IS_AST_PARENT	
9158061	9158063	IS_AST_PARENT	
9158060	9158061	IS_AST_PARENT	
9158064	9158065	IS_AST_PARENT	
9158064	9158066	IS_AST_PARENT	
9158060	9158064	IS_AST_PARENT	
9158015	9158060	IS_AST_PARENT	
9158068	9158069	IS_AST_PARENT	
9158068	9158070	IS_AST_PARENT	
9158067	9158068	IS_AST_PARENT	
9158015	9158067	IS_AST_PARENT	
9158072	9158073	IS_AST_PARENT	
9158072	9158074	IS_AST_PARENT	
9158075	9158076	IS_AST_PARENT	
9158075	9158077	IS_AST_PARENT	
9158072	9158075	IS_AST_PARENT	
9158071	9158072	IS_AST_PARENT	
9158015	9158071	IS_AST_PARENT	
9158079	9158080	IS_AST_PARENT	
9158079	9158081	IS_AST_PARENT	
9158079	9158082	IS_AST_PARENT	
9158078	9158079	IS_AST_PARENT	
9158015	9158078	IS_AST_PARENT	
9158084	9158085	IS_AST_PARENT	
9158084	9158086	IS_AST_PARENT	
9158083	9158084	IS_AST_PARENT	
9158087	9158088	IS_AST_PARENT	
9158087	9158089	IS_AST_PARENT	
9158083	9158087	IS_AST_PARENT	
9158015	9158083	IS_AST_PARENT	
9158091	9158092	IS_AST_PARENT	
9158091	9158093	IS_AST_PARENT	
9158090	9158091	IS_AST_PARENT	
9158015	9158090	IS_AST_PARENT	
9158096	9158097	IS_AST_PARENT	
9158095	9158096	IS_AST_PARENT	
9158099	9158100	IS_AST_PARENT	
9158098	9158099	IS_AST_PARENT	
9158101	9158102	IS_AST_PARENT	
9158098	9158101	IS_AST_PARENT	
9158103	9158104	IS_AST_PARENT	
9158098	9158103	IS_AST_PARENT	
9158095	9158098	IS_AST_PARENT	
9158094	9158095	IS_AST_PARENT	
9158015	9158094	IS_AST_PARENT	
9158109	9158110	IS_AST_PARENT	
9158108	9158109	IS_AST_PARENT	
9158112	9158113	IS_AST_PARENT	
9158111	9158112	IS_AST_PARENT	
9158115	9158116	IS_AST_PARENT	
9158115	9158117	IS_AST_PARENT	
9158114	9158115	IS_AST_PARENT	
9158111	9158114	IS_AST_PARENT	
9158118	9158119	IS_AST_PARENT	
9158111	9158118	IS_AST_PARENT	
9158108	9158111	IS_AST_PARENT	
9158107	9158108	IS_AST_PARENT	
9158107	9158120	IS_AST_PARENT	
9158106	9158107	IS_AST_PARENT	
9158105	9158106	IS_AST_PARENT	
9158123	9158124	IS_AST_PARENT	
9158122	9158123	IS_AST_PARENT	
9158126	9158127	IS_AST_PARENT	
9158125	9158126	IS_AST_PARENT	
9158122	9158125	IS_AST_PARENT	
9158121	9158122	IS_AST_PARENT	
9158105	9158121	IS_AST_PARENT	
