start	end	type	var
9240763	9240764	IS_AST_PARENT	
9240763	9240765	IS_AST_PARENT	
9240762	9240763	IS_AST_PARENT	
9240761	9240762	IS_AST_PARENT	
9240768	9240769	IS_AST_PARENT	
9240768	9240770	IS_AST_PARENT	
9240767	9240768	IS_AST_PARENT	
9240766	9240767	IS_AST_PARENT	
9240774	9240775	IS_AST_PARENT	
9240773	9240774	IS_AST_PARENT	
9240778	9240779	IS_AST_PARENT	
9240778	9240780	IS_AST_PARENT	
9240777	9240778	IS_AST_PARENT	
9240776	9240777	IS_AST_PARENT	
9240773	9240776	IS_AST_PARENT	
9240772	9240773	IS_AST_PARENT	
9240771	9240772	IS_AST_PARENT	
9240783	9240784	IS_AST_PARENT	
9240783	9240785	IS_AST_PARENT	
9240782	9240783	IS_AST_PARENT	
9240782	9240786	IS_AST_PARENT	
9240781	9240782	IS_AST_PARENT	
9240771	9240781	IS_AST_PARENT	
9240766	9240771	IS_AST_PARENT	
9240761	9240766	IS_AST_PARENT	
9240789	9240790	IS_AST_PARENT	
9240789	9240791	IS_AST_PARENT	
9240788	9240789	IS_AST_PARENT	
9240793	9240794	IS_AST_PARENT	
9240792	9240793	IS_AST_PARENT	
9240799	9240800	IS_AST_PARENT	
9240798	9240799	IS_AST_PARENT	
9240802	9240803	IS_AST_PARENT	
9240801	9240802	IS_AST_PARENT	
9240798	9240801	IS_AST_PARENT	
9240797	9240798	IS_AST_PARENT	
9240806	9240807	IS_AST_PARENT	
9240805	9240806	IS_AST_PARENT	
9240809	9240810	IS_AST_PARENT	
9240808	9240809	IS_AST_PARENT	
9240805	9240808	IS_AST_PARENT	
9240804	9240805	IS_AST_PARENT	
9240804	9240811	IS_AST_PARENT	
9240797	9240804	IS_AST_PARENT	
9240796	9240797	IS_AST_PARENT	
9240795	9240796	IS_AST_PARENT	
9240792	9240795	IS_AST_PARENT	
9240788	9240792	IS_AST_PARENT	
9240787	9240788	IS_AST_PARENT	
9240761	9240787	IS_AST_PARENT	
9240814	9240815	IS_AST_PARENT	
9240813	9240814	IS_AST_PARENT	
9240818	9240819	IS_AST_PARENT	
9240818	9240820	IS_AST_PARENT	
9240817	9240818	IS_AST_PARENT	
9240816	9240817	IS_AST_PARENT	
9240821	9240822	IS_AST_PARENT	
9240816	9240821	IS_AST_PARENT	
9240813	9240816	IS_AST_PARENT	
9240812	9240813	IS_AST_PARENT	
9240761	9240812	IS_AST_PARENT	
9240825	9240826	IS_AST_PARENT	
9240824	9240825	IS_AST_PARENT	
9240829	9240830	IS_AST_PARENT	
9240829	9240831	IS_AST_PARENT	
9240828	9240829	IS_AST_PARENT	
9240827	9240828	IS_AST_PARENT	
9240832	9240833	IS_AST_PARENT	
9240827	9240832	IS_AST_PARENT	
9240824	9240827	IS_AST_PARENT	
9240823	9240824	IS_AST_PARENT	
9240761	9240823	IS_AST_PARENT	
9240836	9240837	IS_AST_PARENT	
9240835	9240836	IS_AST_PARENT	
9240840	9240841	IS_AST_PARENT	
