start	end	type	var
9283525	9283526	IS_AST_PARENT	
9283525	9283527	IS_AST_PARENT	
9283528	9283529	IS_AST_PARENT	
9283530	9283531	IS_AST_PARENT	
9283530	9283532	IS_AST_PARENT	
9283528	9283530	IS_AST_PARENT	
9283525	9283528	IS_AST_PARENT	
9283524	9283525	IS_AST_PARENT	
9283523	9283524	IS_AST_PARENT	
9283534	9283535	IS_AST_PARENT	
9283534	9283536	IS_AST_PARENT	
9283533	9283534	IS_AST_PARENT	
9283523	9283533	IS_AST_PARENT	
9283523	9283537	IS_AST_PARENT	
9283539	9283540	IS_AST_PARENT	
9283539	9283541	IS_AST_PARENT	
9283542	9283543	IS_AST_PARENT	
9283542	9283544	IS_AST_PARENT	
9283539	9283542	IS_AST_PARENT	
9283538	9283539	IS_AST_PARENT	
9283523	9283538	IS_AST_PARENT	
9283546	9283547	IS_AST_PARENT	
9283546	9283548	IS_AST_PARENT	
9283545	9283546	IS_AST_PARENT	
9283523	9283545	IS_AST_PARENT	
9283551	9283552	IS_AST_PARENT	
9283550	9283551	IS_AST_PARENT	
9283555	9283556	IS_AST_PARENT	
9283555	9283557	IS_AST_PARENT	
9283554	9283555	IS_AST_PARENT	
9283553	9283554	IS_AST_PARENT	
9283558	9283559	IS_AST_PARENT	
9283553	9283558	IS_AST_PARENT	
9283561	9283562	IS_AST_PARENT	
9283561	9283563	IS_AST_PARENT	
9283560	9283561	IS_AST_PARENT	
9283553	9283560	IS_AST_PARENT	
9283550	9283553	IS_AST_PARENT	
9283549	9283550	IS_AST_PARENT	
9283523	9283549	IS_AST_PARENT	
9283567	9283568	IS_AST_PARENT	
9283567	9283569	IS_AST_PARENT	
9283566	9283567	IS_AST_PARENT	
9283571	9283572	IS_AST_PARENT	
9283570	9283571	IS_AST_PARENT	
9283575	9283576	IS_AST_PARENT	
9283575	9283577	IS_AST_PARENT	
9283574	9283575	IS_AST_PARENT	
9283573	9283574	IS_AST_PARENT	
9283570	9283573	IS_AST_PARENT	
9283566	9283570	IS_AST_PARENT	
9283565	9283566	IS_AST_PARENT	
9283564	9283565	IS_AST_PARENT	
9283581	9283582	IS_AST_PARENT	
9283580	9283581	IS_AST_PARENT	
9283584	9283585	IS_AST_PARENT	
9283583	9283584	IS_AST_PARENT	
9283586	9283587	IS_AST_PARENT	
9283583	9283586	IS_AST_PARENT	
9283588	9283589	IS_AST_PARENT	
9283583	9283588	IS_AST_PARENT	
9283580	9283583	IS_AST_PARENT	
9283579	9283580	IS_AST_PARENT	
9283578	9283579	IS_AST_PARENT	
9283591	9283592	IS_AST_PARENT	
9283591	9283593	IS_AST_PARENT	
9283590	9283591	IS_AST_PARENT	
9283578	9283590	IS_AST_PARENT	
9283564	9283578	IS_AST_PARENT	
9283523	9283564	IS_AST_PARENT	
9283596	9283597	IS_AST_PARENT	
9283596	9283598	IS_AST_PARENT	
9283595	9283596	IS_AST_PARENT	
9283599	9283600	IS_AST_PARENT	
9283602	9283603	IS_AST_PARENT	
9283601	9283602	IS_AST_PARENT	
9283606	9283607	IS_AST_PARENT	
9283606	9283608	IS_AST_PARENT	
9283605	9283606	IS_AST_PARENT	
9283604	9283605	IS_AST_PARENT	
9283601	9283604	IS_AST_PARENT	
9283599	9283601	IS_AST_PARENT	
9283595	9283599	IS_AST_PARENT	
9283594	9283595	IS_AST_PARENT	
9283523	9283594	IS_AST_PARENT	
9283611	9283612	IS_AST_PARENT	
9283613	9283614	IS_AST_PARENT	
9283613	9283615	IS_AST_PARENT	
9283611	9283613	IS_AST_PARENT	
9283610	9283611	IS_AST_PARENT	
9283609	9283610	IS_AST_PARENT	
9283618	9283619	IS_AST_PARENT	
9283617	9283618	IS_AST_PARENT	
9283622	9283623	IS_AST_PARENT	
9283622	9283624	IS_AST_PARENT	
9283621	9283622	IS_AST_PARENT	
9283620	9283621	IS_AST_PARENT	
9283625	9283626	IS_AST_PARENT	
9283620	9283625	IS_AST_PARENT	
9283617	9283620	IS_AST_PARENT	
9283616	9283617	IS_AST_PARENT	
9283609	9283616	IS_AST_PARENT	
9283523	9283609	IS_AST_PARENT	
9283629	9283630	IS_AST_PARENT	
9283629	9283631	IS_AST_PARENT	
9283628	9283629	IS_AST_PARENT	
9283632	9283633	IS_AST_PARENT	
9283632	9283634	IS_AST_PARENT	
9283628	9283632	IS_AST_PARENT	
9283627	9283628	IS_AST_PARENT	
9283523	9283627	IS_AST_PARENT	
9283637	9283638	IS_AST_PARENT	
9283637	9283639	IS_AST_PARENT	
9283636	9283637	IS_AST_PARENT	
9283636	9283640	IS_AST_PARENT	
9283635	9283636	IS_AST_PARENT	
9283523	9283635	IS_AST_PARENT	
9283646	9283647	IS_AST_PARENT	
9283646	9283648	IS_AST_PARENT	
9283645	9283646	IS_AST_PARENT	
9283650	9283651	IS_AST_PARENT	
9283650	9283652	IS_AST_PARENT	
9283649	9283650	IS_AST_PARENT	
9283649	9283653	IS_AST_PARENT	
9283645	9283649	IS_AST_PARENT	
9283644	9283645	IS_AST_PARENT	
9283655	9283656	IS_AST_PARENT	
9283654	9283655	IS_AST_PARENT	
9283659	9283660	IS_AST_PARENT	
9283659	9283661	IS_AST_PARENT	
9283658	9283659	IS_AST_PARENT	
9283657	9283658	IS_AST_PARENT	
9283662	9283663	IS_AST_PARENT	
9283657	9283662	IS_AST_PARENT	
