start	end	type	var
9334740	9334741	IS_AST_PARENT	
9334740	9334742	IS_AST_PARENT	
9334743	9334744	IS_AST_PARENT	
9334745	9334746	IS_AST_PARENT	
9334745	9334747	IS_AST_PARENT	
9334743	9334745	IS_AST_PARENT	
9334740	9334743	IS_AST_PARENT	
9334739	9334740	IS_AST_PARENT	
9334738	9334739	IS_AST_PARENT	
9334749	9334750	IS_AST_PARENT	
9334749	9334751	IS_AST_PARENT	
9334752	9334753	IS_AST_PARENT	
9334754	9334755	IS_AST_PARENT	
9334756	9334757	IS_AST_PARENT	
9334756	9334758	IS_AST_PARENT	
9334754	9334756	IS_AST_PARENT	
9334752	9334754	IS_AST_PARENT	
9334749	9334752	IS_AST_PARENT	
9334748	9334749	IS_AST_PARENT	
9334738	9334748	IS_AST_PARENT	
9334760	9334761	IS_AST_PARENT	
9334760	9334762	IS_AST_PARENT	
9334759	9334760	IS_AST_PARENT	
9334763	9334764	IS_AST_PARENT	
9334763	9334765	IS_AST_PARENT	
9334759	9334763	IS_AST_PARENT	
9334738	9334759	IS_AST_PARENT	
9334767	9334768	IS_AST_PARENT	
9334767	9334769	IS_AST_PARENT	
9334766	9334767	IS_AST_PARENT	
9334738	9334766	IS_AST_PARENT	
9334771	9334772	IS_AST_PARENT	
9334771	9334773	IS_AST_PARENT	
9334770	9334771	IS_AST_PARENT	
9334738	9334770	IS_AST_PARENT	
9334775	9334776	IS_AST_PARENT	
9334775	9334777	IS_AST_PARENT	
9334774	9334775	IS_AST_PARENT	
9334738	9334774	IS_AST_PARENT	
9334782	9334783	IS_AST_PARENT	
9334781	9334782	IS_AST_PARENT	
9334786	9334787	IS_AST_PARENT	
9334786	9334788	IS_AST_PARENT	
9334785	9334786	IS_AST_PARENT	
9334784	9334785	IS_AST_PARENT	
9334781	9334784	IS_AST_PARENT	
9334780	9334781	IS_AST_PARENT	
9334780	9334789	IS_AST_PARENT	
9334779	9334780	IS_AST_PARENT	
9334778	9334779	IS_AST_PARENT	
9334793	9334794	IS_AST_PARENT	
9334793	9334795	IS_AST_PARENT	
9334792	9334793	IS_AST_PARENT	
9334792	9334796	IS_AST_PARENT	
9334791	9334792	IS_AST_PARENT	
9334790	9334791	IS_AST_PARENT	
9334799	9334800	IS_AST_PARENT	
9334799	9334801	IS_AST_PARENT	
9334798	9334799	IS_AST_PARENT	
9334803	9334804	IS_AST_PARENT	
9334803	9334805	IS_AST_PARENT	
9334802	9334803	IS_AST_PARENT	
9334802	9334806	IS_AST_PARENT	
9334798	9334802	IS_AST_PARENT	
9334797	9334798	IS_AST_PARENT	
9334790	9334797	IS_AST_PARENT	
9334808	9334809	IS_AST_PARENT	
9334810	9334811	IS_AST_PARENT	
9334812	9334813	IS_AST_PARENT	
9334812	9334814	IS_AST_PARENT	
9334810	9334812	IS_AST_PARENT	
9334808	9334810	IS_AST_PARENT	
9334807	9334808	IS_AST_PARENT	
9334790	9334807	IS_AST_PARENT	
9334778	9334790	IS_AST_PARENT	
9334738	9334778	IS_AST_PARENT	
9334817	9334818	IS_AST_PARENT	
9334816	9334817	IS_AST_PARENT	
9334821	9334822	IS_AST_PARENT	
9334823	9334824	IS_AST_PARENT	
9334823	9334825	IS_AST_PARENT	
