start	end	type	var
9439343	9439344	IS_AST_PARENT	
9439343	9439345	IS_AST_PARENT	
9439342	9439343	IS_AST_PARENT	
9439341	9439342	IS_AST_PARENT	
9439347	9439348	IS_AST_PARENT	
9439347	9439349	IS_AST_PARENT	
9439350	9439351	IS_AST_PARENT	
9439353	9439354	IS_AST_PARENT	
9439353	9439355	IS_AST_PARENT	
9439352	9439353	IS_AST_PARENT	
9439352	9439356	IS_AST_PARENT	
9439350	9439352	IS_AST_PARENT	
9439347	9439350	IS_AST_PARENT	
9439346	9439347	IS_AST_PARENT	
9439341	9439346	IS_AST_PARENT	
9439358	9439359	IS_AST_PARENT	
9439358	9439360	IS_AST_PARENT	
9439361	9439362	IS_AST_PARENT	
9439364	9439365	IS_AST_PARENT	
9439364	9439366	IS_AST_PARENT	
9439363	9439364	IS_AST_PARENT	
9439367	9439368	IS_AST_PARENT	
9439367	9439369	IS_AST_PARENT	
9439363	9439367	IS_AST_PARENT	
9439361	9439363	IS_AST_PARENT	
9439358	9439361	IS_AST_PARENT	
9439357	9439358	IS_AST_PARENT	
9439341	9439357	IS_AST_PARENT	
9439371	9439372	IS_AST_PARENT	
9439371	9439373	IS_AST_PARENT	
9439370	9439371	IS_AST_PARENT	
9439341	9439370	IS_AST_PARENT	
9439376	9439377	IS_AST_PARENT	
9439375	9439376	IS_AST_PARENT	
9439380	9439381	IS_AST_PARENT	
9439380	9439382	IS_AST_PARENT	
9439379	9439380	IS_AST_PARENT	
9439378	9439379	IS_AST_PARENT	
9439383	9439384	IS_AST_PARENT	
9439378	9439383	IS_AST_PARENT	
9439386	9439387	IS_AST_PARENT	
9439386	9439388	IS_AST_PARENT	
9439385	9439386	IS_AST_PARENT	
9439378	9439385	IS_AST_PARENT	
9439375	9439378	IS_AST_PARENT	
9439374	9439375	IS_AST_PARENT	
9439341	9439374	IS_AST_PARENT	
9439391	9439392	IS_AST_PARENT	
9439391	9439393	IS_AST_PARENT	
9439390	9439391	IS_AST_PARENT	
9439395	9439396	IS_AST_PARENT	
9439394	9439395	IS_AST_PARENT	
9439398	9439399	IS_AST_PARENT	
9439397	9439398	IS_AST_PARENT	
9439400	9439401	IS_AST_PARENT	
9439397	9439400	IS_AST_PARENT	
9439394	9439397	IS_AST_PARENT	
9439390	9439394	IS_AST_PARENT	
9439389	9439390	IS_AST_PARENT	
9439341	9439389	IS_AST_PARENT	
9439404	9439405	IS_AST_PARENT	
9439404	9439406	IS_AST_PARENT	
9439403	9439404	IS_AST_PARENT	
9439408	9439409	IS_AST_PARENT	
9439407	9439408	IS_AST_PARENT	
9439411	9439412	IS_AST_PARENT	
9439410	9439411	IS_AST_PARENT	
9439413	9439414	IS_AST_PARENT	
9439410	9439413	IS_AST_PARENT	
9439407	9439410	IS_AST_PARENT	
9439403	9439407	IS_AST_PARENT	
9439402	9439403	IS_AST_PARENT	
9439341	9439402	IS_AST_PARENT	
9439417	9439418	IS_AST_PARENT	
9439417	9439419	IS_AST_PARENT	
9439416	9439417	IS_AST_PARENT	
9439416	9439420	IS_AST_PARENT	
9439415	9439416	IS_AST_PARENT	
9439341	9439415	IS_AST_PARENT	
9439423	9439424	IS_AST_PARENT	
9439423	9439425	IS_AST_PARENT	
9439422	9439423	IS_AST_PARENT	
9439427	9439428	IS_AST_PARENT	
9439426	9439427	IS_AST_PARENT	
9439431	9439432	IS_AST_PARENT	
