command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9466748	File	/home/p4ultr4n/workplace/ReVeal/raw_code/wsd_read_header_1.c								
ANR	9466749	Function	wsd_read_header	1:0:0:2202							
ANR	9466750	FunctionDef	wsd_read_header (AVFormatContext * s)		9466749	0					
ANR	9466751	CompoundStatement		3:0:48:2202	9466749	0					
ANR	9466752	IdentifierDeclStatement	AVIOContext * pb = s -> pb ;	5:4:55:78	9466749	0	True				
ANR	9466753	IdentifierDecl	* pb = s -> pb		9466749	0					
ANR	9466754	IdentifierDeclType	AVIOContext *		9466749	0					
ANR	9466755	Identifier	pb		9466749	1					
ANR	9466756	AssignmentExpression	* pb = s -> pb		9466749	2		=			
ANR	9466757	Identifier	pb		9466749	0					
ANR	9466758	PtrMemberAccess	s -> pb		9466749	1					
ANR	9466759	Identifier	s		9466749	0					
ANR	9466760	Identifier	pb		9466749	1					
ANR	9466761	IdentifierDeclStatement	AVStream * st ;	7:4:85:97	9466749	1	True				
ANR	9466762	IdentifierDecl	* st		9466749	0					
ANR	9466763	IdentifierDeclType	AVStream *		9466749	0					
ANR	9466764	Identifier	st		9466749	1					
ANR	9466765	IdentifierDeclStatement	int version ;	9:4:104:115	9466749	2	True				
ANR	9466766	IdentifierDecl	version		9466749	0					
ANR	9466767	IdentifierDeclType	int		9466749	0					
ANR	9466768	Identifier	version		9466749	1					
ANR	9466769	IdentifierDeclStatement	"uint32_t text_offset , data_offset , channel_assign ;"	11:4:122:171	9466749	3	True				
ANR	9466770	IdentifierDecl	text_offset		9466749	0					
ANR	9466771	IdentifierDeclType	uint32_t		9466749	0					
ANR	9466772	Identifier	text_offset		9466749	1					
ANR	9466773	IdentifierDecl	data_offset		9466749	1					
ANR	9466774	IdentifierDeclType	uint32_t		9466749	0					
ANR	9466775	Identifier	data_offset		9466749	1					
ANR	9466776	IdentifierDecl	channel_assign		9466749	2					
ANR	9466777	IdentifierDeclType	uint32_t		9466749	0					
ANR	9466778	Identifier	channel_assign		9466749	1					
ANR	9466779	IdentifierDeclStatement	char playback_time [ AV_TIMECODE_STR_SIZE ] ;	13:4:178:218	9466749	4	True				
ANR	9466780	IdentifierDecl	playback_time [ AV_TIMECODE_STR_SIZE ]		9466749	0					
ANR	9466781	IdentifierDeclType	char [ AV_TIMECODE_STR_SIZE ]		9466749	0					
ANR	9466782	Identifier	playback_time		9466749	1					
ANR	9466783	Identifier	AV_TIMECODE_STR_SIZE		9466749	2					
ANR	9466784	ExpressionStatement	"st = avformat_new_stream ( s , NULL )"	17:4:227:260	9466749	5	True				
ANR	9466785	AssignmentExpression	"st = avformat_new_stream ( s , NULL )"		9466749	0		=			
ANR	9466786	Identifier	st		9466749	0					
ANR	9466787	CallExpression	"avformat_new_stream ( s , NULL )"		9466749	1					
ANR	9466788	Callee	avformat_new_stream		9466749	0					
ANR	9466789	Identifier	avformat_new_stream		9466749	0					
ANR	9466790	ArgumentList	s		9466749	1					
ANR	9466791	Argument	s		9466749	0					
ANR	9466792	Identifier	s		9466749	0					
ANR	9466793	Argument	NULL		9466749	1					
ANR	9466794	Identifier	NULL		9466749	0					
ANR	9466795	IfStatement	if ( ! st )		9466749	6					
ANR	9466796	Condition	! st	19:8:271:273	9466749	0	True				
ANR	9466797	UnaryOperationExpression	! st		9466749	0					
