start	end	type	var
9602179	9602180	IS_AST_PARENT	
9602179	9602181	IS_AST_PARENT	
9602178	9602179	IS_AST_PARENT	
9602177	9602178	IS_AST_PARENT	
9602184	9602185	IS_AST_PARENT	
9602184	9602186	IS_AST_PARENT	
9602183	9602184	IS_AST_PARENT	
9602182	9602183	IS_AST_PARENT	
9602188	9602189	IS_AST_PARENT	
9602190	9602191	IS_AST_PARENT	
9602190	9602192	IS_AST_PARENT	
9602188	9602190	IS_AST_PARENT	
9602187	9602188	IS_AST_PARENT	
9602182	9602187	IS_AST_PARENT	
9602193	9602194	IS_AST_PARENT	
9602193	9602195	IS_AST_PARENT	
9602182	9602193	IS_AST_PARENT	
9602198	9602199	IS_AST_PARENT	
9602198	9602200	IS_AST_PARENT	
9602197	9602198	IS_AST_PARENT	
9602196	9602197	IS_AST_PARENT	
9602202	9602203	IS_AST_PARENT	
9602202	9602204	IS_AST_PARENT	
9602205	9602206	IS_AST_PARENT	
9602207	9602208	IS_AST_PARENT	
9602207	9602209	IS_AST_PARENT	
9602205	9602207	IS_AST_PARENT	
9602202	9602205	IS_AST_PARENT	
9602201	9602202	IS_AST_PARENT	
9602196	9602201	IS_AST_PARENT	
9602211	9602212	IS_AST_PARENT	
9602211	9602213	IS_AST_PARENT	
9602214	9602215	IS_AST_PARENT	
9602216	9602217	IS_AST_PARENT	
9602216	9602218	IS_AST_PARENT	
9602214	9602216	IS_AST_PARENT	
9602211	9602214	IS_AST_PARENT	
9602210	9602211	IS_AST_PARENT	
9602196	9602210	IS_AST_PARENT	
9602221	9602222	IS_AST_PARENT	
9602221	9602223	IS_AST_PARENT	
9602220	9602221	IS_AST_PARENT	
9602219	9602220	IS_AST_PARENT	
9602225	9602226	IS_AST_PARENT	
9602225	9602227	IS_AST_PARENT	
9602224	9602225	IS_AST_PARENT	
9602219	9602224	IS_AST_PARENT	
9602228	9602229	IS_AST_PARENT	
9602228	9602230	IS_AST_PARENT	
9602219	9602228	IS_AST_PARENT	
9602233	9602234	IS_AST_PARENT	
9602237	9602238	IS_AST_PARENT	
9602237	9602239	IS_AST_PARENT	
9602236	9602237	IS_AST_PARENT	
9602240	9602241	IS_AST_PARENT	
9602240	9602242	IS_AST_PARENT	
9602236	9602240	IS_AST_PARENT	
9602235	9602236	IS_AST_PARENT	
9602243	9602244	IS_AST_PARENT	
9602243	9602245	IS_AST_PARENT	
9602235	9602243	IS_AST_PARENT	
9602233	9602235	IS_AST_PARENT	
9602232	9602233	IS_AST_PARENT	
9602231	9602232	IS_AST_PARENT	
9602247	9602248	IS_AST_PARENT	
9602251	9602252	IS_AST_PARENT	
9602251	9602253	IS_AST_PARENT	
9602250	9602251	IS_AST_PARENT	
9602255	9602256	IS_AST_PARENT	
9602255	9602257	IS_AST_PARENT	
9602254	9602255	IS_AST_PARENT	
9602254	9602258	IS_AST_PARENT	
9602250	9602254	IS_AST_PARENT	
9602249	9602250	IS_AST_PARENT	
9602259	9602260	IS_AST_PARENT	
9602259	9602261	IS_AST_PARENT	
9602249	9602259	IS_AST_PARENT	
9602247	9602249	IS_AST_PARENT	
9602246	9602247	IS_AST_PARENT	
9602231	9602246	IS_AST_PARENT	
9602219	9602231	IS_AST_PARENT	
