start	end	type	var
9609540	9609541	IS_AST_PARENT	
9609540	9609542	IS_AST_PARENT	
9609543	9609544	IS_AST_PARENT	
9609545	9609546	IS_AST_PARENT	
9609545	9609547	IS_AST_PARENT	
9609543	9609545	IS_AST_PARENT	
9609540	9609543	IS_AST_PARENT	
9609539	9609540	IS_AST_PARENT	
9609548	9609549	IS_AST_PARENT	
9609548	9609550	IS_AST_PARENT	
9609551	9609552	IS_AST_PARENT	
9609553	9609554	IS_AST_PARENT	
9609553	9609555	IS_AST_PARENT	
9609551	9609553	IS_AST_PARENT	
9609548	9609551	IS_AST_PARENT	
9609539	9609548	IS_AST_PARENT	
9609556	9609557	IS_AST_PARENT	
9609556	9609558	IS_AST_PARENT	
9609559	9609560	IS_AST_PARENT	
9609561	9609562	IS_AST_PARENT	
9609561	9609563	IS_AST_PARENT	
9609559	9609561	IS_AST_PARENT	
9609556	9609559	IS_AST_PARENT	
9609539	9609556	IS_AST_PARENT	
9609564	9609565	IS_AST_PARENT	
9609564	9609566	IS_AST_PARENT	
9609567	9609568	IS_AST_PARENT	
9609569	9609570	IS_AST_PARENT	
9609569	9609571	IS_AST_PARENT	
9609567	9609569	IS_AST_PARENT	
9609564	9609567	IS_AST_PARENT	
9609539	9609564	IS_AST_PARENT	
9609572	9609573	IS_AST_PARENT	
9609572	9609574	IS_AST_PARENT	
9609575	9609576	IS_AST_PARENT	
9609577	9609578	IS_AST_PARENT	
9609577	9609579	IS_AST_PARENT	
9609575	9609577	IS_AST_PARENT	
9609572	9609575	IS_AST_PARENT	
9609539	9609572	IS_AST_PARENT	
9609580	9609581	IS_AST_PARENT	
9609580	9609582	IS_AST_PARENT	
9609583	9609584	IS_AST_PARENT	
9609585	9609586	IS_AST_PARENT	
9609585	9609587	IS_AST_PARENT	
9609583	9609585	IS_AST_PARENT	
9609580	9609583	IS_AST_PARENT	
9609539	9609580	IS_AST_PARENT	
9609538	9609539	IS_AST_PARENT	
9609589	9609590	IS_AST_PARENT	
9609589	9609591	IS_AST_PARENT	
9609592	9609593	IS_AST_PARENT	
9609594	9609595	IS_AST_PARENT	
9609594	9609596	IS_AST_PARENT	
9609592	9609594	IS_AST_PARENT	
9609589	9609592	IS_AST_PARENT	
9609588	9609589	IS_AST_PARENT	
9609538	9609588	IS_AST_PARENT	
9609598	9609599	IS_AST_PARENT	
9609598	9609600	IS_AST_PARENT	
9609601	9609602	IS_AST_PARENT	
9609603	9609604	IS_AST_PARENT	
9609603	9609605	IS_AST_PARENT	
9609601	9609603	IS_AST_PARENT	
9609598	9609601	IS_AST_PARENT	
9609597	9609598	IS_AST_PARENT	
9609538	9609597	IS_AST_PARENT	
9609607	9609608	IS_AST_PARENT	
9609607	9609609	IS_AST_PARENT	
9609606	9609607	IS_AST_PARENT	
9609538	9609606	IS_AST_PARENT	
9609612	9609613	IS_AST_PARENT	
9609612	9609614	IS_AST_PARENT	
9609611	9609612	IS_AST_PARENT	
9609610	9609611	IS_AST_PARENT	
9609616	9609617	IS_AST_PARENT	
9609619	9609620	IS_AST_PARENT	
9609619	9609621	IS_AST_PARENT	
9609618	9609619	IS_AST_PARENT	
9609618	9609622	IS_AST_PARENT	
9609616	9609618	IS_AST_PARENT	
9609615	9609616	IS_AST_PARENT	
9609610	9609615	IS_AST_PARENT	
9609623	9609624	IS_AST_PARENT	
9609623	9609625	IS_AST_PARENT	
9609610	9609623	IS_AST_PARENT	
9609628	9609629	IS_AST_PARENT	
9609628	9609630	IS_AST_PARENT	
9609631	9609632	IS_AST_PARENT	
9609636	9609637	IS_AST_PARENT	
9609638	9609639	IS_AST_PARENT	
9609638	9609640	IS_AST_PARENT	
9609636	9609638	IS_AST_PARENT	
9609635	9609636	IS_AST_PARENT	
9609635	9609641	IS_AST_PARENT	
9609634	9609635	IS_AST_PARENT	
9609643	9609644	IS_AST_PARENT	
9609645	9609646	IS_AST_PARENT	
9609645	9609647	IS_AST_PARENT	
9609643	9609645	IS_AST_PARENT	
9609642	9609643	IS_AST_PARENT	
9609642	9609648	IS_AST_PARENT	
9609634	9609642	IS_AST_PARENT	
9609633	9609634	IS_AST_PARENT	
9609633	9609649	IS_AST_PARENT	
9609631	9609633	IS_AST_PARENT	
9609628	9609631	IS_AST_PARENT	
9609627	9609628	IS_AST_PARENT	
9609626	9609627	IS_AST_PARENT	
9609651	9609652	IS_AST_PARENT	
9609651	9609653	IS_AST_PARENT	
9609654	9609655	IS_AST_PARENT	
9609659	9609660	IS_AST_PARENT	
9609662	9609663	IS_AST_PARENT	
9609662	9609664	IS_AST_PARENT	
9609661	9609662	IS_AST_PARENT	
9609661	9609665	IS_AST_PARENT	
9609659	9609661	IS_AST_PARENT	
9609658	9609659	IS_AST_PARENT	
9609658	9609666	IS_AST_PARENT	
9609657	9609658	IS_AST_PARENT	
9609668	9609669	IS_AST_PARENT	
9609671	9609672	IS_AST_PARENT	
9609671	9609673	IS_AST_PARENT	
