command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9614462	File	/home/p4ultr4n/workplace/ReVeal/raw_code/yuv2rgb_altivec_init_tables_0.c								
ANR	9614463	Function	yuv2rgb_altivec_init_tables	1:0:0:1604							
ANR	9614464	FunctionDef	"yuv2rgb_altivec_init_tables (SwsContext * c , const int inv_table [ 4 ])"		9614463	0					
ANR	9614465	CompoundStatement		3:0:74:1604	9614463	0					
ANR	9614466	Statement	vector	5:2:79:84	9614463	0	True				
ANR	9614467	IdentifierDeclStatement	"signed short CY , CRV , CBU , CGU , CGV , OY , Y0 ;"	5:9:86:129	9614463	1	True				
ANR	9614468	IdentifierDecl	CY		9614463	0					
ANR	9614469	IdentifierDeclType	signed short		9614463	0					
ANR	9614470	Identifier	CY		9614463	1					
ANR	9614471	IdentifierDecl	CRV		9614463	1					
ANR	9614472	IdentifierDeclType	signed short		9614463	0					
ANR	9614473	Identifier	CRV		9614463	1					
ANR	9614474	IdentifierDecl	CBU		9614463	2					
ANR	9614475	IdentifierDeclType	signed short		9614463	0					
ANR	9614476	Identifier	CBU		9614463	1					
ANR	9614477	IdentifierDecl	CGU		9614463	3					
ANR	9614478	IdentifierDeclType	signed short		9614463	0					
ANR	9614479	Identifier	CGU		9614463	1					
ANR	9614480	IdentifierDecl	CGV		9614463	4					
ANR	9614481	IdentifierDeclType	signed short		9614463	0					
ANR	9614482	Identifier	CGV		9614463	1					
ANR	9614483	IdentifierDecl	OY		9614463	5					
ANR	9614484	IdentifierDeclType	signed short		9614463	0					
ANR	9614485	Identifier	OY		9614463	1					
ANR	9614486	IdentifierDecl	Y0		9614463	6					
ANR	9614487	IdentifierDeclType	signed short		9614463	0					
ANR	9614488	Identifier	Y0		9614463	1					
ANR	9614489	Statement	int64_t	7:2:134:140	9614463	2	True				
ANR	9614490	Statement	crv	7:10:142:144	9614463	3	True				
ANR	9614491	ExpressionStatement	__attribute__ ( ( aligned ( 16 ) ) ) = inv_table [ 0 ]	7:14:146:190	9614463	4	True				
ANR	9614492	AssignmentExpression	__attribute__ ( ( aligned ( 16 ) ) ) = inv_table [ 0 ]		9614463	0		=			
ANR	9614493	CallExpression	__attribute__ ( ( aligned ( 16 ) ) )		9614463	0					
ANR	9614494	Callee	__attribute__		9614463	0					
ANR	9614495	Identifier	__attribute__		9614463	0					
ANR	9614496	ArgumentList	aligned ( 16 )		9614463	1					
ANR	9614497	Argument	aligned ( 16 )		9614463	0					
