command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7261326	File	/home/p4ultr4n/workplace/ReVeal/raw_code/rdt_free_extradata_0.c								
ANR	7261327	Function	rdt_free_extradata	1:0:0:340							
ANR	7261328	FunctionDef	rdt_free_extradata (PayloadContext * rdt)		7261327	0					
ANR	7261329	CompoundStatement		3:0:42:340	7261327	0					
ANR	7261330	IdentifierDeclStatement	int i ;	5:4:49:54	7261327	0	True				
ANR	7261331	IdentifierDecl	i		7261327	0					
ANR	7261332	IdentifierDeclType	int		7261327	0					
ANR	7261333	Identifier	i		7261327	1					
ANR	7261334	ForStatement	for ( i = 0 ; i < MAX_STREAMS ; i ++ )		7261327	1					
ANR	7261335	ForInit	i = 0 ;	9:9:68:73	7261327	0	True				
ANR	7261336	AssignmentExpression	i = 0		7261327	0		=			
ANR	7261337	Identifier	i		7261327	0					
ANR	7261338	PrimaryExpression	0		7261327	1					
ANR	7261339	Condition	i < MAX_STREAMS	9:16:75:89	7261327	1	True				
ANR	7261340	RelationalExpression	i < MAX_STREAMS		7261327	0		<			
ANR	7261341	Identifier	i		7261327	0					
ANR	7261342	Identifier	MAX_STREAMS		7261327	1					
ANR	7261343	PostIncDecOperationExpression	i ++	9:33:92:94	7261327	2	True				
ANR	7261344	Identifier	i		7261327	0					
ANR	7261345	IncDec	++		7261327	1					
ANR	7261346	IfStatement	if ( rdt -> rmst [ i ] )		7261327	3					
ANR	7261347	Condition	rdt -> rmst [ i ]	11:12:110:121	7261327	0	True				
ANR	7261348	ArrayIndexing	rdt -> rmst [ i ]		7261327	0					
ANR	7261349	PtrMemberAccess	rdt -> rmst		7261327	0					
ANR	7261350	Identifier	rdt		7261327	0					
ANR	7261351	Identifier	rmst		7261327	1					
ANR	7261352	Identifier	i		7261327	1					
ANR	7261353	CompoundStatement		9:26:81:81	7261327	1					
ANR	7261354	ExpressionStatement	ff_rm_free_rmstream ( rdt -> rmst [ i ] )	13:12:139:172	7261327	0	True				
ANR	7261355	CallExpression	ff_rm_free_rmstream ( rdt -> rmst [ i ] )		7261327	0					
ANR	7261356	Callee	ff_rm_free_rmstream		7261327	0					
ANR	7261357	Identifier	ff_rm_free_rmstream		7261327	0					
ANR	7261358	ArgumentList	rdt -> rmst [ i ]		7261327	1					
ANR	7261359	Argument	rdt -> rmst [ i ]		7261327	0					
ANR	7261360	ArrayIndexing	rdt -> rmst [ i ]		7261327	0					
ANR	7261361	PtrMemberAccess	rdt -> rmst		7261327	0					
ANR	7261362	Identifier	rdt		7261327	0					
ANR	7261363	Identifier	rmst		7261327	1					
ANR	7261364	Identifier	i		7261327	1					
ANR	7261365	ExpressionStatement	av_freep ( & rdt -> rmst [ i ] )	15:12:187:210	7261327	1	True				
ANR	7261366	CallExpression	av_freep ( & rdt -> rmst [ i ] )		7261327	0					
ANR	7261367	Callee	av_freep		7261327	0					
ANR	7261368	Identifier	av_freep		7261327	0					
ANR	7261369	ArgumentList	& rdt -> rmst [ i ]		7261327	1					
ANR	7261370	Argument	& rdt -> rmst [ i ]		7261327	0					
ANR	7261371	UnaryOperationExpression	& rdt -> rmst [ i ]		7261327	0					
ANR	7261372	UnaryOperator	&		7261327	0					
ANR	7261373	ArrayIndexing	rdt -> rmst [ i ]		7261327	1					
