command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7341069	File	/home/p4ultr4n/workplace/ReVeal/raw_code/readline_hist_add_1.c								
ANR	7341070	Function	readline_hist_add	1:0:0:1407							
ANR	7341071	FunctionDef	"readline_hist_add (ReadLineState * rs , const char * cmdline)"		7341070	0					
ANR	7341072	CompoundStatement		3:0:71:1407	7341070	0					
ANR	7341073	IdentifierDeclStatement	"char * hist_entry , * new_entry ;"	5:4:78:106	7341070	0	True				
ANR	7341074	IdentifierDecl	* hist_entry		7341070	0					
ANR	7341075	IdentifierDeclType	char *		7341070	0					
ANR	7341076	Identifier	hist_entry		7341070	1					
ANR	7341077	IdentifierDecl	* new_entry		7341070	1					
ANR	7341078	IdentifierDeclType	char *		7341070	0					
ANR	7341079	Identifier	new_entry		7341070	1					
ANR	7341080	IdentifierDeclStatement	int idx ;	7:4:113:120	7341070	1	True				
ANR	7341081	IdentifierDecl	idx		7341070	0					
ANR	7341082	IdentifierDeclType	int		7341070	0					
ANR	7341083	Identifier	idx		7341070	1					
ANR	7341084	IfStatement	if ( cmdline [ 0 ] == '\\0' )		7341070	2					
ANR	7341085	Condition	cmdline [ 0 ] == '\\0'	11:8:133:150	7341070	0	True				
ANR	7341086	EqualityExpression	cmdline [ 0 ] == '\\0'		7341070	0		==			
ANR	7341087	ArrayIndexing	cmdline [ 0 ]		7341070	0					
ANR	7341088	Identifier	cmdline		7341070	0					
ANR	7341089	PrimaryExpression	0		7341070	1					
ANR	7341090	PrimaryExpression	'\\0'		7341070	1					
ANR	7341091	ReturnStatement	return ;	13:1:155:161	7341070	1	True				
ANR	7341092	ExpressionStatement	new_entry = NULL	15:4:168:184	7341070	3	True				
ANR	7341093	AssignmentExpression	new_entry = NULL		7341070	0		=			
ANR	7341094	Identifier	new_entry		7341070	0					
ANR	7341095	Identifier	NULL		7341070	1					
ANR	7341096	IfStatement	if ( rs -> hist_entry != - 1 )		7341070	4					
ANR	7341097	Condition	rs -> hist_entry != - 1	17:8:195:214	7341070	0	True				
ANR	7341098	EqualityExpression	rs -> hist_entry != - 1		7341070	0		!=			
ANR	7341099	PtrMemberAccess	rs -> hist_entry		7341070	0					
ANR	7341100	Identifier	rs		7341070	0					
ANR	7341101	Identifier	hist_entry		7341070	1					
ANR	7341102	UnaryOperationExpression	- 1		7341070	1					
ANR	7341103	UnaryOperator	-		7341070	0					
ANR	7341104	PrimaryExpression	1		7341070	1					
ANR	7341105	CompoundStatement		15:30:145:145	7341070	1					
ANR	7341106	ExpressionStatement	hist_entry = rs -> history [ rs -> hist_entry ]	21:1:283:323	7341070	0	True				
ANR	7341107	AssignmentExpression	hist_entry = rs -> history [ rs -> hist_entry ]		7341070	0		=			
ANR	7341108	Identifier	hist_entry		7341070	0					
ANR	7341109	ArrayIndexing	rs -> history [ rs -> hist_entry ]		7341070	1					
ANR	7341110	PtrMemberAccess	rs -> history		7341070	0					
ANR	7341111	Identifier	rs		7341070	0					
ANR	7341112	Identifier	history		7341070	1					
ANR	7341113	PtrMemberAccess	rs -> hist_entry		7341070	1					
ANR	7341114	Identifier	rs		7341070	0					
ANR	7341115	Identifier	hist_entry		7341070	1					
ANR	7341116	ExpressionStatement	idx = rs -> hist_entry	23:1:327:347	7341070	1	True				
ANR	7341117	AssignmentExpression	idx = rs -> hist_entry		7341070	0		=			
ANR	7341118	Identifier	idx		7341070	0					
ANR	7341119	PtrMemberAccess	rs -> hist_entry		7341070	1					
ANR	7341120	Identifier	rs		7341070	0					
ANR	7341121	Identifier	hist_entry		7341070	1					
ANR	7341122	IfStatement	"if ( strcmp ( hist_entry , cmdline ) == 0 )"		7341070	2					
ANR	7341123	Condition	"strcmp ( hist_entry , cmdline ) == 0"	25:5:355:386	7341070	0	True				
ANR	7341124	EqualityExpression	"strcmp ( hist_entry , cmdline ) == 0"		7341070	0		==			
ANR	7341125	CallExpression	"strcmp ( hist_entry , cmdline )"		7341070	0					
ANR	7341126	Callee	strcmp		7341070	0					
ANR	7341127	Identifier	strcmp		7341070	0					
ANR	7341128	ArgumentList	hist_entry		7341070	1					
ANR	7341129	Argument	hist_entry		7341070	0					
ANR	7341130	Identifier	hist_entry		7341070	0					
ANR	7341131	Argument	cmdline		7341070	1					
ANR	7341132	Identifier	cmdline		7341070	0					
ANR	7341133	PrimaryExpression	0		7341070	1					
ANR	7341134	CompoundStatement		23:39:317:317	7341070	1					
ANR	7341135	GotoStatement	goto same_entry ;	27:5:397:412	7341070	0	True				
ANR	7341136	Identifier	same_entry		7341070	0					
ANR	7341137	ForStatement	for ( idx = 0 ; idx < READLINE_MAX_CMDS ; idx ++ )		7341070	5					
ANR	7341138	ForInit	idx = 0 ;	35:9:480:487	7341070	0	True				
ANR	7341139	AssignmentExpression	idx = 0		7341070	0		=			
ANR	7341140	Identifier	idx		7341070	0					
ANR	7341141	PrimaryExpression	0		7341070	1					
ANR	7341142	Condition	idx < READLINE_MAX_CMDS	35:18:489:511	7341070	1	True				
ANR	7341143	RelationalExpression	idx < READLINE_MAX_CMDS		7341070	0		<			
ANR	7341144	Identifier	idx		7341070	0					
ANR	7341145	Identifier	READLINE_MAX_CMDS		7341070	1					
ANR	7341146	PostIncDecOperationExpression	idx ++	35:43:514:518	7341070	2	True				
ANR	7341147	Identifier	idx		7341070	0					
ANR	7341148	IncDec	++		7341070	1					
ANR	7341149	CompoundStatement		33:50:449:449	7341070	3					
ANR	7341150	ExpressionStatement	hist_entry = rs -> history [ idx ]	37:1:525:554	7341070	0	True				
ANR	7341151	AssignmentExpression	hist_entry = rs -> history [ idx ]		7341070	0		=			
ANR	7341152	Identifier	hist_entry		7341070	0					
ANR	7341153	ArrayIndexing	rs -> history [ idx ]		7341070	1					
ANR	7341154	PtrMemberAccess	rs -> history		7341070	0					
ANR	7341155	Identifier	rs		7341070	0					
ANR	7341156	Identifier	history		7341070	1					
ANR	7341157	Identifier	idx		7341070	1					
ANR	7341158	IfStatement	if ( hist_entry == NULL )		7341070	1					
ANR	7341159	Condition	hist_entry == NULL	39:5:562:579	7341070	0	True				
ANR	7341160	EqualityExpression	hist_entry == NULL		7341070	0		==			
ANR	7341161	Identifier	hist_entry		7341070	0					
ANR	7341162	Identifier	NULL		7341070	1					
ANR	7341163	BreakStatement	break ;	41:5:588:593	7341070	1	True				
ANR	7341164	IfStatement	"if ( strcmp ( hist_entry , cmdline ) == 0 )"		7341070	2					
ANR	7341165	Condition	"strcmp ( hist_entry , cmdline ) == 0"	43:5:601:632	7341070	0	True				
ANR	7341166	EqualityExpression	"strcmp ( hist_entry , cmdline ) == 0"		7341070	0		==			
ANR	7341167	CallExpression	"strcmp ( hist_entry , cmdline )"		7341070	0					
ANR	7341168	Callee	strcmp		7341070	0					
ANR	7341169	Identifier	strcmp		7341070	0					
ANR	7341170	ArgumentList	hist_entry		7341070	1					
ANR	7341171	Argument	hist_entry		7341070	0					
ANR	7341172	Identifier	hist_entry		7341070	0					
ANR	7341173	Argument	cmdline		7341070	1					
ANR	7341174	Identifier	cmdline		7341070	0					
ANR	7341175	PrimaryExpression	0		7341070	1					
ANR	7341176	CompoundStatement		41:39:563:563	7341070	1					
ANR	7341177	Label	same_entry :	45:1:639:649	7341070	0	True				
ANR	7341178	Identifier	same_entry		7341070	0					
ANR	7341179	ExpressionStatement	new_entry = hist_entry	47:5:657:679	7341070	1	True				
ANR	7341180	AssignmentExpression	new_entry = hist_entry		7341070	0		=			
ANR	7341181	Identifier	new_entry		7341070	0					
ANR	7341182	Identifier	hist_entry		7341070	1					
ANR	7341183	ExpressionStatement	"memmove ( & rs -> history [ idx ] , & rs -> history [ idx + 1 ] , ( READLINE_MAX_CMDS - idx + 1 ) * sizeof ( char * ) )"	51:5:736:840	7341070	2	True				
ANR	7341184	CallExpression	"memmove ( & rs -> history [ idx ] , & rs -> history [ idx + 1 ] , ( READLINE_MAX_CMDS - idx + 1 ) * sizeof ( char * ) )"		7341070	0					
ANR	7341185	Callee	memmove		7341070	0					
