command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7345014	File	/home/p4ultr4n/workplace/ReVeal/raw_code/real_parse_asm_rule_0.c								
ANR	7345015	Function	real_parse_asm_rule	1:0:0:505							
ANR	7345016	FunctionDef	"real_parse_asm_rule (AVStream * st , const char * p , const char * end)"		7345015	0					
ANR	7345017	CompoundStatement		3:0:67:505	7345015	0					
ANR	7345018	DoStatement	do		7345015	0					
ANR	7345019	CompoundStatement		3:7:9:9	7345015	0					
ANR	7345020	IfStatement	"if ( sscanf ( p , "" %*1[Aa]verage%*1[Bb]andwidth=%d"" , & st -> codec -> bit_rate ) == 1 )"		7345015	0					
ANR	7345021	Condition	"sscanf ( p , "" %*1[Aa]verage%*1[Bb]andwidth=%d"" , & st -> codec -> bit_rate ) == 1"	11:12:196:267	7345015	0	True				
ANR	7345022	EqualityExpression	"sscanf ( p , "" %*1[Aa]verage%*1[Bb]andwidth=%d"" , & st -> codec -> bit_rate ) == 1"		7345015	0		==			
ANR	7345023	CallExpression	"sscanf ( p , "" %*1[Aa]verage%*1[Bb]andwidth=%d"" , & st -> codec -> bit_rate )"		7345015	0					
ANR	7345024	Callee	sscanf		7345015	0					
ANR	7345025	Identifier	sscanf		7345015	0					
ANR	7345026	ArgumentList	p		7345015	1					
ANR	7345027	Argument	p		7345015	0					
ANR	7345028	Identifier	p		7345015	0					
ANR	7345029	Argument	""" %*1[Aa]verage%*1[Bb]andwidth=%d"""		7345015	1					
ANR	7345030	PrimaryExpression	""" %*1[Aa]verage%*1[Bb]andwidth=%d"""		7345015	0					
ANR	7345031	Argument	& st -> codec -> bit_rate		7345015	2					
ANR	7345032	UnaryOperationExpression	& st -> codec -> bit_rate		7345015	0					
ANR	7345033	UnaryOperator	&		7345015	0					
ANR	7345034	PtrMemberAccess	st -> codec -> bit_rate		7345015	1					
ANR	7345035	PtrMemberAccess	st -> codec		7345015	0					
ANR	7345036	Identifier	st		7345015	0					
ANR	7345037	Identifier	codec		7345015	1					
ANR	7345038	Identifier	bit_rate		7345015	1					
ANR	7345039	PrimaryExpression	1		7345015	1					
ANR	7345040	BreakStatement	break ;	19:12:390:395	7345015	1	True				
ANR	7345041	IfStatement	"if ( ! ( p = strchr ( p , ',' ) ) || p > end )"		7345015	1					
ANR	7345042	Condition	"! ( p = strchr ( p , ',' ) ) || p > end"	21:12:410:441	7345015	0	True				
ANR	7345043	OrExpression	"! ( p = strchr ( p , ',' ) ) || p > end"		7345015	0		||			
ANR	7345044	UnaryOperationExpression	"! ( p = strchr ( p , ',' ) )"		7345015	0					
ANR	7345045	UnaryOperator	!		7345015	0					
ANR	7345046	AssignmentExpression	"p = strchr ( p , ',' )"		7345015	1		=			
ANR	7345047	Identifier	p		7345015	0					
ANR	7345048	CallExpression	"strchr ( p , ',' )"		7345015	1					
ANR	7345049	Callee	strchr		7345015	0					
ANR	7345050	Identifier	strchr		7345015	0					
ANR	7345051	ArgumentList	p		7345015	1					
ANR	7345052	Argument	p		7345015	0					
ANR	7345053	Identifier	p		7345015	0					
ANR	7345054	Argument	"','"		7345015	1					
ANR	7345055	PrimaryExpression	"','"		7345015	0					
ANR	7345056	RelationalExpression	p > end		7345015	1		>			
ANR	7345057	Identifier	p		7345015	0					
ANR	7345058	Identifier	end		7345015	1					
ANR	7345059	ExpressionStatement	p = end	23:12:457:464	7345015	1	True				
ANR	7345060	AssignmentExpression	p = end		7345015	0		=			
ANR	7345061	Identifier	p		7345015	0					
ANR	7345062	Identifier	end		7345015	1					
ANR	7345063	ExpressionStatement	p ++	25:8:475:478	7345015	2	True				
ANR	7345064	PostIncDecOperationExpression	p ++		7345015	0					
ANR	7345065	Identifier	p		7345015	0					
ANR	7345066	IncDec	++		7345015	1					
ANR	7345067	Condition	p < end	27:13:494:500	7345015	1	True				
ANR	7345068	RelationalExpression	p < end		7345015	0		<			
ANR	7345069	Identifier	p		7345015	0					
ANR	7345070	Identifier	end		7345015	1					
ANR	7345071	Identifier	real_parse_asm_rule		7345015	1					
ANR	7345072	ParameterList	"AVStream * st , const char * p , const char * end"		7345015	2					
ANR	7345073	Parameter	AVStream * st	1:20:20:31	7345015	0	True				
ANR	7345074	ParameterType	AVStream *		7345015	0					
ANR	7345075	Identifier	st		7345015	1					
ANR	7345076	Parameter	const char * p	1:34:34:46	7345015	1	True				
ANR	7345077	ParameterType	const char *		7345015	0					
ANR	7345078	Identifier	p		7345015	1					
ANR	7345079	Parameter	const char * end	1:49:49:63	7345015	2	True				
ANR	7345080	ParameterType	const char *		7345015	0					
ANR	7345081	Identifier	end		7345015	1					
ANR	7345082	CFGEntryNode	ENTRY		7345015		True				
ANR	7345083	CFGExitNode	EXIT		7345015		True				
ANR	7345084	Symbol	p		7345015						
ANR	7345085	Symbol	st		7345015						
ANR	7345086	Symbol	* st		7345015						
ANR	7345087	Symbol	sscanf		7345015						
ANR	7345088	Symbol	strchr		7345015						
ANR	7345089	Symbol	end		7345015						
ANR	7345090	Symbol	st -> codec		7345015						
ANR	7345091	Symbol	& st -> codec -> bit_rate		7345015						
