command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7430011	File	/home/p4ultr4n/workplace/ReVeal/raw_code/rm_assemble_video_frame_02_1.c								
ANR	7430012	Function	rm_assemble_video_frame	1:0:0:2720							
ANR	7430013	FunctionDef	"rm_assemble_video_frame (AVFormatContext * s , ByteIOContext * pb , RMDemuxContext * rm , RMStream * vst , AVPacket * pkt , int len)"		7430012	0					
ANR	7430014	CompoundStatement		7:0:206:2720	7430012	0					
ANR	7430015	IdentifierDeclStatement	"int hdr , seq , pic_num , len2 , pos ;"	9:4:213:245	7430012	0	True				
ANR	7430016	IdentifierDecl	hdr		7430012	0					
ANR	7430017	IdentifierDeclType	int		7430012	0					
ANR	7430018	Identifier	hdr		7430012	1					
ANR	7430019	IdentifierDecl	seq		7430012	1					
ANR	7430020	IdentifierDeclType	int		7430012	0					
ANR	7430021	Identifier	seq		7430012	1					
ANR	7430022	IdentifierDecl	pic_num		7430012	2					
ANR	7430023	IdentifierDeclType	int		7430012	0					
ANR	7430024	Identifier	pic_num		7430012	1					
ANR	7430025	IdentifierDecl	len2		7430012	3					
ANR	7430026	IdentifierDeclType	int		7430012	0					
ANR	7430027	Identifier	len2		7430012	1					
ANR	7430028	IdentifierDecl	pos		7430012	4					
ANR	7430029	IdentifierDeclType	int		7430012	0					
ANR	7430030	Identifier	pos		7430012	1					
ANR	7430031	IdentifierDeclStatement	int type ;	11:4:252:260	7430012	1	True				
ANR	7430032	IdentifierDecl	type		7430012	0					
ANR	7430033	IdentifierDeclType	int		7430012	0					
ANR	7430034	Identifier	type		7430012	1					
ANR	7430035	ExpressionStatement	hdr = get_byte ( pb )	15:4:269:287	7430012	2	True				
ANR	7430036	AssignmentExpression	hdr = get_byte ( pb )		7430012	0		=			
ANR	7430037	Identifier	hdr		7430012	0					
ANR	7430038	CallExpression	get_byte ( pb )		7430012	1					
ANR	7430039	Callee	get_byte		7430012	0					
ANR	7430040	Identifier	get_byte		7430012	0					
ANR	7430041	ArgumentList	pb		7430012	1					
ANR	7430042	Argument	pb		7430012	0					
ANR	7430043	Identifier	pb		7430012	0					
ANR	7430044	ExpressionStatement	len --	15:24:289:294	7430012	3	True				
ANR	7430045	PostIncDecOperationExpression	len --		7430012	0					
ANR	7430046	Identifier	len		7430012	0					
ANR	7430047	IncDec	--		7430012	1					
ANR	7430048	ExpressionStatement	type = hdr >> 6	17:4:301:316	7430012	4	True				
ANR	7430049	AssignmentExpression	type = hdr >> 6		7430012	0		=			
ANR	7430050	Identifier	type		7430012	0					
ANR	7430051	ShiftExpression	hdr >> 6		7430012	1		>>			
ANR	7430052	Identifier	hdr		7430012	0					
ANR	7430053	PrimaryExpression	6		7430012	1					
ANR	7430054	IfStatement	if ( type != 3 )		7430012	5					
ANR	7430055	Condition	type != 3	21:7:328:336	7430012	0	True				
ANR	7430056	EqualityExpression	type != 3		7430012	0		!=			
ANR	7430057	Identifier	type		7430012	0					
ANR	7430058	PrimaryExpression	3		7430012	1					
ANR	7430059	CompoundStatement		15:17:131:131	7430012	1					
ANR	7430060	ExpressionStatement	seq = get_byte ( pb )	23:8:383:401	7430012	0	True				
ANR	7430061	AssignmentExpression	seq = get_byte ( pb )		7430012	0		=			
ANR	7430062	Identifier	seq		7430012	0					
ANR	7430063	CallExpression	get_byte ( pb )		7430012	1					
ANR	7430064	Callee	get_byte		7430012	0					
ANR	7430065	Identifier	get_byte		7430012	0					
ANR	7430066	ArgumentList	pb		7430012	1					
ANR	7430067	Argument	pb		7430012	0					
ANR	7430068	Identifier	pb		7430012	0					
ANR	7430069	ExpressionStatement	len --	23:28:403:408	7430012	1	True				
ANR	7430070	PostIncDecOperationExpression	len --		7430012	0					
ANR	7430071	Identifier	len		7430012	0					
ANR	7430072	IncDec	--		7430012	1					
ANR	7430073	IfStatement	if ( type != 1 )		7430012	6					
ANR	7430074	Condition	type != 1	27:7:425:433	7430012	0	True				
ANR	7430075	EqualityExpression	type != 1		7430012	0		!=			
ANR	7430076	Identifier	type		7430012	0					
ANR	7430077	PrimaryExpression	1		7430012	1					
ANR	7430078	CompoundStatement		21:17:228:228	7430012	1					
ANR	7430079	ExpressionStatement	"len2 = get_num ( pb , & len )"	29:8:466:490	7430012	0	True				
ANR	7430080	AssignmentExpression	"len2 = get_num ( pb , & len )"		7430012	0		=			
ANR	7430081	Identifier	len2		7430012	0					
ANR	7430082	CallExpression	"get_num ( pb , & len )"		7430012	1					
ANR	7430083	Callee	get_num		7430012	0					
ANR	7430084	Identifier	get_num		7430012	0					
ANR	7430085	ArgumentList	pb		7430012	1					
ANR	7430086	Argument	pb		7430012	0					
ANR	7430087	Identifier	pb		7430012	0					
ANR	7430088	Argument	& len		7430012	1					
ANR	7430089	UnaryOperationExpression	& len		7430012	0					
ANR	7430090	UnaryOperator	&		7430012	0					
ANR	7430091	Identifier	len		7430012	1					
ANR	7430092	ExpressionStatement	"pos = get_num ( pb , & len )"	31:8:501:525	7430012	1	True				
ANR	7430093	AssignmentExpression	"pos = get_num ( pb , & len )"		7430012	0		=			
ANR	7430094	Identifier	pos		7430012	0					
ANR	7430095	CallExpression	"get_num ( pb , & len )"		7430012	1					
ANR	7430096	Callee	get_num		7430012	0					
ANR	7430097	Identifier	get_num		7430012	0					
ANR	7430098	ArgumentList	pb		7430012	1					
ANR	7430099	Argument	pb		7430012	0					
ANR	7430100	Identifier	pb		7430012	0					
ANR	7430101	Argument	& len		7430012	1					
ANR	7430102	UnaryOperationExpression	& len		7430012	0					
ANR	7430103	UnaryOperator	&		7430012	0					
ANR	7430104	Identifier	len		7430012	1					
ANR	7430105	ExpressionStatement	pic_num = get_byte ( pb )	33:8:536:558	7430012	2	True				
ANR	7430106	AssignmentExpression	pic_num = get_byte ( pb )		7430012	0		=			
ANR	7430107	Identifier	pic_num		7430012	0					
ANR	7430108	CallExpression	get_byte ( pb )		7430012	1					
ANR	7430109	Callee	get_byte		7430012	0					
ANR	7430110	Identifier	get_byte		7430012	0					
ANR	7430111	ArgumentList	pb		7430012	1					
ANR	7430112	Argument	pb		7430012	0					
ANR	7430113	Identifier	pb		7430012	0					
ANR	7430114	ExpressionStatement	len --	33:32:560:565	7430012	3	True				
ANR	7430115	PostIncDecOperationExpression	len --		7430012	0					
ANR	7430116	Identifier	len		7430012	0					
ANR	7430117	IncDec	--		7430012	1					
ANR	7430118	IfStatement	if ( len < 0 )		7430012	7					
ANR	7430119	Condition	len < 0	37:7:582:586	7430012	0	True				
ANR	7430120	RelationalExpression	len < 0		7430012	0		<			
ANR	7430121	Identifier	len		7430012	0					
ANR	7430122	PrimaryExpression	0		7430012	1					
ANR	7430123	ReturnStatement	return - 1 ;	39:8:598:607	7430012	1	True				
ANR	7430124	UnaryOperationExpression	- 1		7430012	0					
ANR	7430125	UnaryOperator	-		7430012	0					
ANR	7430126	PrimaryExpression	1		7430012	1					
ANR	7430127	ExpressionStatement	rm -> remaining_len = len	41:4:614:637	7430012	8	True				
ANR	7430128	AssignmentExpression	rm -> remaining_len = len		7430012	0		=			
ANR	7430129	PtrMemberAccess	rm -> remaining_len		7430012	0					
ANR	7430130	Identifier	rm		7430012	0					
ANR	7430131	Identifier	remaining_len		7430012	1					
ANR	7430132	Identifier	len		7430012	1					
ANR	7430133	IfStatement	if ( type & 1 )		7430012	9					
ANR	7430134	Condition	type & 1	43:7:647:652	7430012	0	True				
ANR	7430135	BitAndExpression	type & 1		7430012	0		&			
ANR	7430136	Identifier	type		7430012	0					
ANR	7430137	PrimaryExpression	1		7430012	1					
ANR	7430138	CompoundStatement		37:14:447:447	7430012	1					
ANR	7430139	IfStatement	if ( type == 3 )		7430012	0					
ANR	7430140	Condition	type == 3	45:11:692:700	7430012	0	True				
ANR	7430141	EqualityExpression	type == 3		7430012	0		==			
ANR	7430142	Identifier	type		7430012	0					
ANR	7430143	PrimaryExpression	3		7430012	1					
ANR	7430144	ExpressionStatement	len = len2	47:12:746:755	7430012	1	True				
ANR	7430145	AssignmentExpression	len = len2		7430012	0		=			
ANR	7430146	Identifier	len		7430012	0					
ANR	7430147	Identifier	len2		7430012	1					
ANR	7430148	IfStatement	if ( rm -> remaining_len < len )		7430012	1					
ANR	7430149	Condition	rm -> remaining_len < len	49:11:769:791	7430012	0	True				
ANR	7430150	RelationalExpression	rm -> remaining_len < len		7430012	0		<			
ANR	7430151	PtrMemberAccess	rm -> remaining_len		7430012	0					
ANR	7430152	Identifier	rm		7430012	0					
ANR	7430153	Identifier	remaining_len		7430012	1					
ANR	7430154	Identifier	len		7430012	1					
ANR	7430155	ReturnStatement	return - 1 ;	51:12:807:816	7430012	1	True				
ANR	7430156	UnaryOperationExpression	- 1		7430012	0					
ANR	7430157	UnaryOperator	-		7430012	0					
ANR	7430158	PrimaryExpression	1		7430012	1					
ANR	7430159	ExpressionStatement	rm -> remaining_len -= len	53:8:827:851	7430012	2	True				
ANR	7430160	AssignmentExpression	rm -> remaining_len -= len		7430012	0		-=			
ANR	7430161	PtrMemberAccess	rm -> remaining_len		7430012	0					
ANR	7430162	Identifier	rm		7430012	0					
ANR	7430163	Identifier	remaining_len		7430012	1					
ANR	7430164	Identifier	len		7430012	1					
ANR	7430165	IfStatement	"if ( av_new_packet ( pkt , len + 9 ) < 0 )"		7430012	3					
ANR	7430166	Condition	"av_new_packet ( pkt , len + 9 ) < 0"	55:11:865:895	7430012	0	True				
ANR	7430167	RelationalExpression	"av_new_packet ( pkt , len + 9 ) < 0"		7430012	0		<			
ANR	7430168	CallExpression	"av_new_packet ( pkt , len + 9 )"		7430012	0					
ANR	7430169	Callee	av_new_packet		7430012	0					
ANR	7430170	Identifier	av_new_packet		7430012	0					
ANR	7430171	ArgumentList	pkt		7430012	1					
ANR	7430172	Argument	pkt		7430012	0					
ANR	7430173	Identifier	pkt		7430012	0					
ANR	7430174	Argument	len + 9		7430012	1					
ANR	7430175	AdditiveExpression	len + 9		7430012	0		+			
ANR	7430176	Identifier	len		7430012	0					
ANR	7430177	PrimaryExpression	9		7430012	1					
ANR	7430178	PrimaryExpression	0		7430012	1					
ANR	7430179	ReturnStatement	return AVERROR ( EIO ) ;	57:12:911:930	7430012	1	True				
ANR	7430180	CallExpression	AVERROR ( EIO )		7430012	0					
ANR	7430181	Callee	AVERROR		7430012	0					
ANR	7430182	Identifier	AVERROR		7430012	0					
ANR	7430183	ArgumentList	EIO		7430012	1					
ANR	7430184	Argument	EIO		7430012	0					
ANR	7430185	Identifier	EIO		7430012	0					
ANR	7430186	ExpressionStatement	pkt -> data [ 0 ] = 0	59:8:941:957	7430012	4	True				
ANR	7430187	AssignmentExpression	pkt -> data [ 0 ] = 0		7430012	0		=			
ANR	7430188	ArrayIndexing	pkt -> data [ 0 ]		7430012	0					
ANR	7430189	PtrMemberAccess	pkt -> data		7430012	0					
ANR	7430190	Identifier	pkt		7430012	0					
ANR	7430191	Identifier	data		7430012	1					
ANR	7430192	PrimaryExpression	0		7430012	1					
ANR	7430193	PrimaryExpression	0		7430012	1					
ANR	7430194	ExpressionStatement	"AV_WL32 ( pkt -> data + 1 , 1 )"	61:8:968:993	7430012	5	True				
ANR	7430195	CallExpression	"AV_WL32 ( pkt -> data + 1 , 1 )"		7430012	0					
ANR	7430196	Callee	AV_WL32		7430012	0					
ANR	7430197	Identifier	AV_WL32		7430012	0					
ANR	7430198	ArgumentList	pkt -> data + 1		7430012	1					
ANR	7430199	Argument	pkt -> data + 1		7430012	0					
ANR	7430200	AdditiveExpression	pkt -> data + 1		7430012	0		+			
ANR	7430201	PtrMemberAccess	pkt -> data		7430012	0					
ANR	7430202	Identifier	pkt		7430012	0					
ANR	7430203	Identifier	data		7430012	1					
ANR	7430204	PrimaryExpression	1		7430012	1					
ANR	7430205	Argument	1		7430012	1					
ANR	7430206	PrimaryExpression	1		7430012	0					
ANR	7430207	ExpressionStatement	"AV_WL32 ( pkt -> data + 5 , 0 )"	63:8:1004:1029	7430012	6	True				
ANR	7430208	CallExpression	"AV_WL32 ( pkt -> data + 5 , 0 )"		7430012	0					
ANR	7430209	Callee	AV_WL32		7430012	0					
ANR	7430210	Identifier	AV_WL32		7430012	0					
ANR	7430211	ArgumentList	pkt -> data + 5		7430012	1					
ANR	7430212	Argument	pkt -> data + 5		7430012	0					
ANR	7430213	AdditiveExpression	pkt -> data + 5		7430012	0		+			
ANR	7430214	PtrMemberAccess	pkt -> data		7430012	0					
ANR	7430215	Identifier	pkt		7430012	0					
ANR	7430216	Identifier	data		7430012	1					
ANR	7430217	PrimaryExpression	5		7430012	1					
ANR	7430218	Argument	0		7430012	1					
ANR	7430219	PrimaryExpression	0		7430012	0					
ANR	7430220	ExpressionStatement	"get_buffer ( pb , pkt -> data + 9 , len )"	65:8:1040:1074	7430012	7	True				
ANR	7430221	CallExpression	"get_buffer ( pb , pkt -> data + 9 , len )"		7430012	0					
ANR	7430222	Callee	get_buffer		7430012	0					
ANR	7430223	Identifier	get_buffer		7430012	0					
ANR	7430224	ArgumentList	pb		7430012	1					
ANR	7430225	Argument	pb		7430012	0					
ANR	7430226	Identifier	pb		7430012	0					
ANR	7430227	Argument	pkt -> data + 9		7430012	1					
ANR	7430228	AdditiveExpression	pkt -> data + 9		7430012	0		+			
ANR	7430229	PtrMemberAccess	pkt -> data		7430012	0					
ANR	7430230	Identifier	pkt		7430012	0					
ANR	7430231	Identifier	data		7430012	1					
ANR	7430232	PrimaryExpression	9		7430012	1					
ANR	7430233	Argument	len		7430012	2					
ANR	7430234	Identifier	len		7430012	0					
ANR	7430235	ReturnStatement	return 0 ;	67:8:1085:1093	7430012	8	True				
ANR	7430236	PrimaryExpression	0		7430012	0					
ANR	7430237	IfStatement	if ( ( seq & 0x7F ) == 1 || vst -> curpic_num != pic_num )		7430012	10					
ANR	7430238	Condition	( seq & 0x7F ) == 1 || vst -> curpic_num != pic_num	75:7:1157:1203	7430012	0	True				
ANR	7430239	OrExpression	( seq & 0x7F ) == 1 || vst -> curpic_num != pic_num		7430012	0		||			
