command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7451050	File	/home/p4ultr4n/workplace/ReVeal/raw_code/roundAndPackFloat64_1.c								
ANR	7451051	Function	roundAndPackFloat64	1:0:0:1993							
ANR	7451052	FunctionDef	"roundAndPackFloat64 (flag zSign , int16 zExp , uint64_t zSig STATUS_PARAM)"		7451051	0					
ANR	7451053	CompoundStatement		3:0:89:1993	7451051	0					
ANR	7451054	IdentifierDeclStatement	int8 roundingMode ;	5:4:96:113	7451051	0	True				
ANR	7451055	IdentifierDecl	roundingMode		7451051	0					
ANR	7451056	IdentifierDeclType	int8		7451051	0					
ANR	7451057	Identifier	roundingMode		7451051	1					
ANR	7451058	IdentifierDeclStatement	flag roundNearestEven ;	7:4:120:141	7451051	1	True				
ANR	7451059	IdentifierDecl	roundNearestEven		7451051	0					
ANR	7451060	IdentifierDeclType	flag		7451051	0					
ANR	7451061	Identifier	roundNearestEven		7451051	1					
ANR	7451062	IdentifierDeclStatement	"int16 roundIncrement , roundBits ;"	9:4:148:179	7451051	2	True				
ANR	7451063	IdentifierDecl	roundIncrement		7451051	0					
ANR	7451064	IdentifierDeclType	int16		7451051	0					
ANR	7451065	Identifier	roundIncrement		7451051	1					
ANR	7451066	IdentifierDecl	roundBits		7451051	1					
ANR	7451067	IdentifierDeclType	int16		7451051	0					
ANR	7451068	Identifier	roundBits		7451051	1					
ANR	7451069	IdentifierDeclStatement	flag isTiny ;	11:4:186:197	7451051	3	True				
ANR	7451070	IdentifierDecl	isTiny		7451051	0					
ANR	7451071	IdentifierDeclType	flag		7451051	0					
ANR	7451072	Identifier	isTiny		7451051	1					
ANR	7451073	ExpressionStatement	roundingMode = STATUS ( float_rounding_mode )	15:4:206:248	7451051	4	True				
ANR	7451074	AssignmentExpression	roundingMode = STATUS ( float_rounding_mode )		7451051	0		=			
ANR	7451075	Identifier	roundingMode		7451051	0					
ANR	7451076	CallExpression	STATUS ( float_rounding_mode )		7451051	1					
ANR	7451077	Callee	STATUS		7451051	0					
ANR	7451078	Identifier	STATUS		7451051	0					
ANR	7451079	ArgumentList	float_rounding_mode		7451051	1					
ANR	7451080	Argument	float_rounding_mode		7451051	0					
ANR	7451081	Identifier	float_rounding_mode		7451051	0					
ANR	7451082	ExpressionStatement	roundNearestEven = ( roundingMode == float_round_nearest_even )	17:4:255:318	7451051	5	True				
ANR	7451083	AssignmentExpression	roundNearestEven = ( roundingMode == float_round_nearest_even )		7451051	0		=			
ANR	7451084	Identifier	roundNearestEven		7451051	0					
ANR	7451085	EqualityExpression	roundingMode == float_round_nearest_even		7451051	1		==			
ANR	7451086	Identifier	roundingMode		7451051	0					
ANR	7451087	Identifier	float_round_nearest_even		7451051	1					
ANR	7451088	ExpressionStatement	roundIncrement = 0x200	19:4:325:347	7451051	6	True				
ANR	7451089	AssignmentExpression	roundIncrement = 0x200		7451051	0		=			
ANR	7451090	Identifier	roundIncrement		7451051	0					
ANR	7451091	PrimaryExpression	0x200		7451051	1					
ANR	7451092	IfStatement	if ( ! roundNearestEven )		7451051	7					
ANR	7451093	Condition	! roundNearestEven	21:9:359:376	7451051	0	True				
ANR	7451094	UnaryOperationExpression	! roundNearestEven		7451051	0					
ANR	7451095	UnaryOperator	!		7451051	0					
ANR	7451096	Identifier	roundNearestEven		7451051	1					
ANR	7451097	CompoundStatement		19:30:290:290	7451051	1					
ANR	7451098	IfStatement	if ( roundingMode == float_round_to_zero )		7451051	0					
ANR	7451099	Condition	roundingMode == float_round_to_zero	23:13:396:430	7451051	0	True				
ANR	7451100	EqualityExpression	roundingMode == float_round_to_zero		7451051	0		==			
ANR	7451101	Identifier	roundingMode		7451051	0					
ANR	7451102	Identifier	float_round_to_zero		7451051	1					
ANR	7451103	CompoundStatement		21:51:344:344	7451051	1					
ANR	7451104	ExpressionStatement	roundIncrement = 0	25:12:449:467	7451051	0	True				
ANR	7451105	AssignmentExpression	roundIncrement = 0		7451051	0		=			
ANR	7451106	Identifier	roundIncrement		7451051	0					
ANR	7451107	PrimaryExpression	0		7451051	1					
ANR	7451108	ElseStatement	else		7451051	0					
ANR	7451109	CompoundStatement		27:13:404:404	7451051	0					
ANR	7451110	ExpressionStatement	roundIncrement = 0x3FF	31:12:509:531	7451051	0	True				
ANR	7451111	AssignmentExpression	roundIncrement = 0x3FF		7451051	0		=			
ANR	7451112	Identifier	roundIncrement		7451051	0					
ANR	7451113	PrimaryExpression	0x3FF		7451051	1					
ANR	7451114	IfStatement	if ( zSign )		7451051	1					
ANR	7451115	Condition	zSign	33:17:551:555	7451051	0	True				
ANR	7451116	Identifier	zSign		7451051	0					
ANR	7451117	CompoundStatement		31:25:469:469	7451051	1					
ANR	7451118	IfStatement	if ( roundingMode == float_round_up )		7451051	0					
ANR	7451119	Condition	roundingMode == float_round_up	35:21:583:612	7451051	0	True				
ANR	7451120	EqualityExpression	roundingMode == float_round_up		7451051	0		==			
ANR	7451121	Identifier	roundingMode		7451051	0					
ANR	7451122	Identifier	float_round_up		7451051	1					
ANR	7451123	ExpressionStatement	roundIncrement = 0	35:54:616:634	7451051	1	True				
