command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7631361	File	/home/p4ultr4n/workplace/ReVeal/raw_code/scsi_do_read_01_0.c								
ANR	7631362	Function	scsi_do_read	1:0:0:1231							
ANR	7631363	FunctionDef	"scsi_do_read (void * opaque , int ret)"		7631362	0					
ANR	7631364	CompoundStatement		3:0:49:1231	7631362	0					
ANR	7631365	IdentifierDeclStatement	SCSIDiskReq * r = opaque ;	5:4:56:79	7631362	0	True				
ANR	7631366	IdentifierDecl	* r = opaque		7631362	0					
ANR	7631367	IdentifierDeclType	SCSIDiskReq *		7631362	0					
ANR	7631368	Identifier	r		7631362	1					
ANR	7631369	AssignmentExpression	* r = opaque		7631362	2		=			
ANR	7631370	Identifier	opaque		7631362	0					
ANR	7631371	Identifier	opaque		7631362	1					
ANR	7631372	IdentifierDeclStatement	"SCSIDiskState * s = DO_UPCAST ( SCSIDiskState , qdev , r -> req . dev ) ;"	7:4:86:147	7631362	1	True				
ANR	7631373	IdentifierDecl	"* s = DO_UPCAST ( SCSIDiskState , qdev , r -> req . dev )"		7631362	0					
ANR	7631374	IdentifierDeclType	SCSIDiskState *		7631362	0					
ANR	7631375	Identifier	s		7631362	1					
ANR	7631376	AssignmentExpression	"* s = DO_UPCAST ( SCSIDiskState , qdev , r -> req . dev )"		7631362	2		=			
ANR	7631377	Identifier	s		7631362	0					
ANR	7631378	CallExpression	"DO_UPCAST ( SCSIDiskState , qdev , r -> req . dev )"		7631362	1					
ANR	7631379	Callee	DO_UPCAST		7631362	0					
ANR	7631380	Identifier	DO_UPCAST		7631362	0					
ANR	7631381	ArgumentList	SCSIDiskState		7631362	1					
ANR	7631382	Argument	SCSIDiskState		7631362	0					
ANR	7631383	Identifier	SCSIDiskState		7631362	0					
ANR	7631384	Argument	qdev		7631362	1					
ANR	7631385	Identifier	qdev		7631362	0					
ANR	7631386	Argument	r -> req . dev		7631362	2					
ANR	7631387	MemberAccess	r -> req . dev		7631362	0					
