command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7633042	File	/home/p4ultr4n/workplace/ReVeal/raw_code/scsi_generic_purge_requests_1.c								
ANR	7633043	Function	scsi_generic_purge_requests	1:0:0:341							
ANR	7633044	FunctionDef	scsi_generic_purge_requests (SCSIGenericState * s)		7633043	0					
ANR	7633045	CompoundStatement		3:0:62:341	7633043	0					
ANR	7633046	IdentifierDeclStatement	SCSIGenericReq * r ;	5:4:69:86	7633043	0	True				
ANR	7633047	IdentifierDecl	* r		7633043	0					
ANR	7633048	IdentifierDeclType	SCSIGenericReq *		7633043	0					
ANR	7633049	Identifier	r		7633043	1					
ANR	7633050	WhileStatement	while ( ! QTAILQ_EMPTY ( & s -> qdev . requests ) )		7633043	1					
ANR	7633051	Condition	! QTAILQ_EMPTY ( & s -> qdev . requests )	9:11:102:133	7633043	0	True				
ANR	7633052	UnaryOperationExpression	! QTAILQ_EMPTY ( & s -> qdev . requests )		7633043	0					
ANR	7633053	UnaryOperator	!		7633043	0					
ANR	7633054	CallExpression	QTAILQ_EMPTY ( & s -> qdev . requests )		7633043	1					
ANR	7633055	Callee	QTAILQ_EMPTY		7633043	0					
ANR	7633056	Identifier	QTAILQ_EMPTY		7633043	0					
ANR	7633057	ArgumentList	& s -> qdev . requests		7633043	1					
ANR	7633058	Argument	& s -> qdev . requests		7633043	0					
ANR	7633059	UnaryOperationExpression	& s -> qdev . requests		7633043	0					
ANR	7633060	UnaryOperator	&		7633043	0					
ANR	7633061	MemberAccess	s -> qdev . requests		7633043	1					
ANR	7633062	PtrMemberAccess	s -> qdev		7633043	0					
ANR	7633063	Identifier	s		7633043	0					
ANR	7633064	Identifier	qdev		7633043	1					
ANR	7633065	Identifier	requests		7633043	1					
ANR	7633066	CompoundStatement		7:45:73:73	7633043	1					
ANR	7633067	ExpressionStatement	"r = DO_UPCAST ( SCSIGenericReq , req , QTAILQ_FIRST ( & s -> qdev . requests ) )"	11:8:147:214	7633043	0	True				
ANR	7633068	AssignmentExpression	"r = DO_UPCAST ( SCSIGenericReq , req , QTAILQ_FIRST ( & s -> qdev . requests ) )"		7633043	0		=			
ANR	7633069	Identifier	r		7633043	0					
ANR	7633070	CallExpression	"DO_UPCAST ( SCSIGenericReq , req , QTAILQ_FIRST ( & s -> qdev . requests ) )"		7633043	1					
ANR	7633071	Callee	DO_UPCAST		7633043	0					
ANR	7633072	Identifier	DO_UPCAST		7633043	0					
ANR	7633073	ArgumentList	SCSIGenericReq		7633043	1					
ANR	7633074	Argument	SCSIGenericReq		7633043	0					
ANR	7633075	Identifier	SCSIGenericReq		7633043	0					
ANR	7633076	Argument	req		7633043	1					
ANR	7633077	Identifier	req		7633043	0					
ANR	7633078	Argument	QTAILQ_FIRST ( & s -> qdev . requests )		7633043	2					
ANR	7633079	CallExpression	QTAILQ_FIRST ( & s -> qdev . requests )		7633043	0					
ANR	7633080	Callee	QTAILQ_FIRST		7633043	0					
ANR	7633081	Identifier	QTAILQ_FIRST		7633043	0					
ANR	7633082	ArgumentList	& s -> qdev . requests		7633043	1					
ANR	7633083	Argument	& s -> qdev . requests		7633043	0					
ANR	7633084	UnaryOperationExpression	& s -> qdev . requests		7633043	0					
ANR	7633085	UnaryOperator	&		7633043	0					
ANR	7633086	MemberAccess	s -> qdev . requests		7633043	1					
ANR	7633087	PtrMemberAccess	s -> qdev		7633043	0					
ANR	7633088	Identifier	s		7633043	0					
ANR	7633089	Identifier	qdev		7633043	1					
ANR	7633090	Identifier	requests		7633043	1					
ANR	7633091	IfStatement	if ( r -> req . aiocb )		7633043	1					
ANR	7633092	Condition	r -> req . aiocb	13:12:229:240	7633043	0	True				
ANR	7633093	MemberAccess	r -> req . aiocb		7633043	0					
ANR	7633094	PtrMemberAccess	r -> req		7633043	0					
ANR	7633095	Identifier	r		7633043	0					
ANR	7633096	Identifier	req		7633043	1					
ANR	7633097	Identifier	aiocb		7633043	1					
ANR	7633098	CompoundStatement		11:26:180:180	7633043	1					
ANR	7633099	ExpressionStatement	bdrv_aio_cancel ( r -> req . aiocb )	15:12:258:287	7633043	0	True				
ANR	7633100	CallExpression	bdrv_aio_cancel ( r -> req . aiocb )		7633043	0					
ANR	7633101	Callee	bdrv_aio_cancel		7633043	0					
ANR	7633102	Identifier	bdrv_aio_cancel		7633043	0					
ANR	7633103	ArgumentList	r -> req . aiocb		7633043	1					
ANR	7633104	Argument	r -> req . aiocb		7633043	0					
ANR	7633105	MemberAccess	r -> req . aiocb		7633043	0					
ANR	7633106	PtrMemberAccess	r -> req		7633043	0					
ANR	7633107	Identifier	r		7633043	0					
ANR	7633108	Identifier	req		7633043	1					
ANR	7633109	Identifier	aiocb		7633043	1					
ANR	7633110	ExpressionStatement	scsi_remove_request ( r )	19:8:309:331	7633043	2	True				
ANR	7633111	CallExpression	scsi_remove_request ( r )		7633043	0					
ANR	7633112	Callee	scsi_remove_request		7633043	0					
ANR	7633113	Identifier	scsi_remove_request		7633043	0					
ANR	7633114	ArgumentList	r		7633043	1					
ANR	7633115	Argument	r		7633043	0					
ANR	7633116	Identifier	r		7633043	0					
ANR	7633117	ReturnType	static void		7633043	1					
ANR	7633118	Identifier	scsi_generic_purge_requests		7633043	2					
ANR	7633119	ParameterList	SCSIGenericState * s		7633043	3					
ANR	7633120	Parameter	SCSIGenericState * s	1:40:40:58	7633043	0	True				
ANR	7633121	ParameterType	SCSIGenericState *		7633043	0					
ANR	7633122	Identifier	s		7633043	1					
ANR	7633123	CFGEntryNode	ENTRY		7633043		True				
ANR	7633124	CFGExitNode	EXIT		7633043		True				
ANR	7633125	Symbol	DO_UPCAST		7633043						
ANR	7633126	Symbol	s -> qdev		7633043						
ANR	7633127	Symbol	& s -> qdev		7633043						
ANR	7633128	Symbol	r -> req		7633043						
ANR	7633129	Symbol	r -> req . aiocb		7633043						
ANR	7633130	Symbol	r		7633043						
ANR	7633131	Symbol	s		7633043						
ANR	7633132	Symbol	QTAILQ_FIRST		7633043						
ANR	7633133	Symbol	QTAILQ_EMPTY		7633043						
ANR	7633134	Symbol	& s -> qdev . requests		7633043						
ANR	7633135	Symbol	SCSIGenericReq		7633043						
ANR	7633136	Symbol	* r		7633043						
ANR	7633137	Symbol	* s		7633043						
ANR	7633138	Symbol	req		7633043						
