command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7662884	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sd_blk_write_0.c								
ANR	7662885	Function	sd_blk_write	1:0:0:1227							
ANR	7662886	FunctionDef	"sd_blk_write (SDState * sd , uint64_t addr , uint32_t len)"		7662885	0					
ANR	7662887	CompoundStatement		3:0:68:1227	7662885	0					
ANR	7662888	IdentifierDeclStatement	uint64_t end = addr + len ;	5:4:75:100	7662885	0	True				
ANR	7662889	IdentifierDecl	end = addr + len		7662885	0					
ANR	7662890	IdentifierDeclType	uint64_t		7662885	0					
ANR	7662891	Identifier	end		7662885	1					
ANR	7662892	AssignmentExpression	end = addr + len		7662885	2		=			
ANR	7662893	Identifier	end		7662885	0					
ANR	7662894	AdditiveExpression	addr + len		7662885	1		+			
ANR	7662895	Identifier	addr		7662885	0					
ANR	7662896	Identifier	len		7662885	1					
ANR	7662897	IfStatement	if ( ( addr & 511 ) || len < 512 )		7662885	1					
ANR	7662898	Condition	( addr & 511 ) || len < 512	9:8:113:137	7662885	0	True				
ANR	7662899	OrExpression	( addr & 511 ) || len < 512		7662885	0		||			
ANR	7662900	BitAndExpression	addr & 511		7662885	0		&			
ANR	7662901	Identifier	addr		7662885	0					
ANR	7662902	PrimaryExpression	511		7662885	1					
ANR	7662903	RelationalExpression	len < 512		7662885	1		<			
ANR	7662904	Identifier	len		7662885	0					
ANR	7662905	PrimaryExpression	512		7662885	1					
ANR	7662906	IfStatement	"if ( ! sd -> bdrv || bdrv_read ( sd -> bdrv , addr >> 9 , sd -> buf , 1 ) < 0 )"		7662885	1					
ANR	7662907	Condition	"! sd -> bdrv || bdrv_read ( sd -> bdrv , addr >> 9 , sd -> buf , 1 ) < 0"	11:12:153:211	7662885	0	True				
ANR	7662908	OrExpression	"! sd -> bdrv || bdrv_read ( sd -> bdrv , addr >> 9 , sd -> buf , 1 ) < 0"		7662885	0		||			
ANR	7662909	UnaryOperationExpression	! sd -> bdrv		7662885	0					
ANR	7662910	UnaryOperator	!		7662885	0					
ANR	7662911	PtrMemberAccess	sd -> bdrv		7662885	1					
ANR	7662912	Identifier	sd		7662885	0					
ANR	7662913	Identifier	bdrv		7662885	1					
ANR	7662914	RelationalExpression	"bdrv_read ( sd -> bdrv , addr >> 9 , sd -> buf , 1 ) < 0"		7662885	1		<			
ANR	7662915	CallExpression	"bdrv_read ( sd -> bdrv , addr >> 9 , sd -> buf , 1 )"		7662885	0					
ANR	7662916	Callee	bdrv_read		7662885	0					
ANR	7662917	Identifier	bdrv_read		7662885	0					
ANR	7662918	ArgumentList	sd -> bdrv		7662885	1					
ANR	7662919	Argument	sd -> bdrv		7662885	0					
ANR	7662920	PtrMemberAccess	sd -> bdrv		7662885	0					
ANR	7662921	Identifier	sd		7662885	0					
ANR	7662922	Identifier	bdrv		7662885	1					
ANR	7662923	Argument	addr >> 9		7662885	1					
ANR	7662924	ShiftExpression	addr >> 9		7662885	0		>>			
ANR	7662925	Identifier	addr		7662885	0					
ANR	7662926	PrimaryExpression	9		7662885	1					
ANR	7662927	Argument	sd -> buf		7662885	2					
ANR	7662928	PtrMemberAccess	sd -> buf		7662885	0					
ANR	7662929	Identifier	sd		7662885	0					
ANR	7662930	Identifier	buf		7662885	1					
ANR	7662931	Argument	1		7662885	3					
ANR	7662932	PrimaryExpression	1		7662885	0					
ANR	7662933	PrimaryExpression	0		7662885	1					
ANR	7662934	CompoundStatement		9:73:145:145	7662885	1					
ANR	7662935	ExpressionStatement	"fprintf ( stderr , ""sd_blk_write: read error on host side\\n"" )"	13:12:229:287	7662885	0	True				
ANR	7662936	CallExpression	"fprintf ( stderr , ""sd_blk_write: read error on host side\\n"" )"		7662885	0					
ANR	7662937	Callee	fprintf		7662885	0					
ANR	7662938	Identifier	fprintf		7662885	0					
ANR	7662939	ArgumentList	stderr		7662885	1					
ANR	7662940	Argument	stderr		7662885	0					
ANR	7662941	Identifier	stderr		7662885	0					
ANR	7662942	Argument	"""sd_blk_write: read error on host side\\n"""		7662885	1					
ANR	7662943	PrimaryExpression	"""sd_blk_write: read error on host side\\n"""		7662885	0					
