command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7691243	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sdhci_send_command_0.c								
ANR	7691244	Function	sdhci_send_command	1:0:0:2376							
ANR	7691245	FunctionDef	sdhci_send_command (SDHCIState * s)		7691244	0					
ANR	7691246	CompoundStatement		3:0:47:2376	7691244	0					
ANR	7691247	IdentifierDeclStatement	SDRequest request ;	5:4:54:71	7691244	0	True				
ANR	7691248	IdentifierDecl	request		7691244	0					
ANR	7691249	IdentifierDeclType	SDRequest		7691244	0					
ANR	7691250	Identifier	request		7691244	1					
ANR	7691251	IdentifierDeclStatement	uint8_t response [ 16 ] ;	7:4:78:98	7691244	1	True				
ANR	7691252	IdentifierDecl	response [ 16 ]		7691244	0					
ANR	7691253	IdentifierDeclType	uint8_t [ 16 ]		7691244	0					
ANR	7691254	Identifier	response		7691244	1					
ANR	7691255	PrimaryExpression	16		7691244	2					
ANR	7691256	IdentifierDeclStatement	int rlen ;	9:4:105:113	7691244	2	True				
ANR	7691257	IdentifierDecl	rlen		7691244	0					
ANR	7691258	IdentifierDeclType	int		7691244	0					
ANR	7691259	Identifier	rlen		7691244	1					
ANR	7691260	ExpressionStatement	s -> errintsts = 0	13:4:122:138	7691244	3	True				
ANR	7691261	AssignmentExpression	s -> errintsts = 0		7691244	0		=			
ANR	7691262	PtrMemberAccess	s -> errintsts		7691244	0					
ANR	7691263	Identifier	s		7691244	0					
ANR	7691264	Identifier	errintsts		7691244	1					
ANR	7691265	PrimaryExpression	0		7691244	1					
ANR	7691266	ExpressionStatement	s -> acmd12errsts = 0	15:4:145:164	7691244	4	True				
ANR	7691267	AssignmentExpression	s -> acmd12errsts = 0		7691244	0		=			
ANR	7691268	PtrMemberAccess	s -> acmd12errsts		7691244	0					
ANR	7691269	Identifier	s		7691244	0					
ANR	7691270	Identifier	acmd12errsts		7691244	1					
ANR	7691271	PrimaryExpression	0		7691244	1					
ANR	7691272	ExpressionStatement	request . cmd = s -> cmdreg >> 8	17:4:171:199	7691244	5	True				
ANR	7691273	AssignmentExpression	request . cmd = s -> cmdreg >> 8		7691244	0		=			
ANR	7691274	MemberAccess	request . cmd		7691244	0					
ANR	7691275	Identifier	request		7691244	0					
ANR	7691276	Identifier	cmd		7691244	1					
ANR	7691277	ShiftExpression	s -> cmdreg >> 8		7691244	1		>>			
ANR	7691278	PtrMemberAccess	s -> cmdreg		7691244	0					
ANR	7691279	Identifier	s		7691244	0					
ANR	7691280	Identifier	cmdreg		7691244	1					
ANR	7691281	PrimaryExpression	8		7691244	1					
ANR	7691282	ExpressionStatement	request . arg = s -> argument	19:4:206:231	7691244	6	True				
ANR	7691283	AssignmentExpression	request . arg = s -> argument		7691244	0		=			
ANR	7691284	MemberAccess	request . arg		7691244	0					
ANR	7691285	Identifier	request		7691244	0					
ANR	7691286	Identifier	arg		7691244	1					
ANR	7691287	PtrMemberAccess	s -> argument		7691244	1					
ANR	7691288	Identifier	s		7691244	0					
ANR	7691289	Identifier	argument		7691244	1					
ANR	7691290	ExpressionStatement	"DPRINT_L1 ( ""sending CMD%u ARG[0x%08x]\\n"" , request . cmd , request . arg )"	21:4:238:304	7691244	7	True				
ANR	7691291	CallExpression	"DPRINT_L1 ( ""sending CMD%u ARG[0x%08x]\\n"" , request . cmd , request . arg )"		7691244	0					
ANR	7691292	Callee	DPRINT_L1		7691244	0					
ANR	7691293	Identifier	DPRINT_L1		7691244	0					
ANR	7691294	ArgumentList	"""sending CMD%u ARG[0x%08x]\\n"""		7691244	1					
ANR	7691295	Argument	"""sending CMD%u ARG[0x%08x]\\n"""		7691244	0					
ANR	7691296	PrimaryExpression	"""sending CMD%u ARG[0x%08x]\\n"""		7691244	0					
ANR	7691297	Argument	request . cmd		7691244	1					
ANR	7691298	MemberAccess	request . cmd		7691244	0					
ANR	7691299	Identifier	request		7691244	0					
ANR	7691300	Identifier	cmd		7691244	1					
ANR	7691301	Argument	request . arg		7691244	2					
ANR	7691302	MemberAccess	request . arg		7691244	0					
ANR	7691303	Identifier	request		7691244	0					
ANR	7691304	Identifier	arg		7691244	1					
ANR	7691305	ExpressionStatement	"rlen = sd_do_command ( s -> card , & request , response )"	23:4:311:360	7691244	8	True				
ANR	7691306	AssignmentExpression	"rlen = sd_do_command ( s -> card , & request , response )"		7691244	0		=			
ANR	7691307	Identifier	rlen		7691244	0					
ANR	7691308	CallExpression	"sd_do_command ( s -> card , & request , response )"		7691244	1					
ANR	7691309	Callee	sd_do_command		7691244	0					
ANR	7691310	Identifier	sd_do_command		7691244	0					
ANR	7691311	ArgumentList	s -> card		7691244	1					
ANR	7691312	Argument	s -> card		7691244	0					
ANR	7691313	PtrMemberAccess	s -> card		7691244	0					
ANR	7691314	Identifier	s		7691244	0					
ANR	7691315	Identifier	card		7691244	1					
ANR	7691316	Argument	& request		7691244	1					
ANR	7691317	UnaryOperationExpression	& request		7691244	0					
ANR	7691318	UnaryOperator	&		7691244	0					
ANR	7691319	Identifier	request		7691244	1					
ANR	7691320	Argument	response		7691244	2					
ANR	7691321	Identifier	response		7691244	0					
ANR	7691322	IfStatement	if ( s -> cmdreg & SDHC_CMD_RESPONSE )		7691244	9					
ANR	7691323	Condition	s -> cmdreg & SDHC_CMD_RESPONSE	27:8:373:401	7691244	0	True				
ANR	7691324	BitAndExpression	s -> cmdreg & SDHC_CMD_RESPONSE		7691244	0		&			
ANR	7691325	PtrMemberAccess	s -> cmdreg		7691244	0					
ANR	7691326	Identifier	s		7691244	0					
ANR	7691327	Identifier	cmdreg		7691244	1					
ANR	7691328	Identifier	SDHC_CMD_RESPONSE		7691244	1					
ANR	7691329	CompoundStatement		25:39:356:356	7691244	1					
ANR	7691330	IfStatement	if ( rlen == 4 )		7691244	0					
ANR	7691331	Condition	rlen == 4	29:12:419:427	7691244	0	True				
ANR	7691332	EqualityExpression	rlen == 4		7691244	0		==			
ANR	7691333	Identifier	rlen		7691244	0					
ANR	7691334	PrimaryExpression	4		7691244	1					
ANR	7691335	CompoundStatement		27:23:382:382	7691244	1					
ANR	7691336	ExpressionStatement	s -> rspreg [ 0 ] = ( response [ 0 ] << 24 ) | ( response [ 1 ] << 16 ) | ( response [ 2 ] << 8 ) | response [ 3 ]	31:12:445:566	7691244	0	True				
