start	end	type	var
7726886	7726887	IS_AST_PARENT	
7726886	7726888	IS_AST_PARENT	
7726889	7726890	IS_AST_PARENT	
7726891	7726892	IS_AST_PARENT	
7726891	7726893	IS_AST_PARENT	
7726889	7726891	IS_AST_PARENT	
7726886	7726889	IS_AST_PARENT	
7726885	7726886	IS_AST_PARENT	
7726884	7726885	IS_AST_PARENT	
7726895	7726896	IS_AST_PARENT	
7726895	7726897	IS_AST_PARENT	
7726894	7726895	IS_AST_PARENT	
7726898	7726899	IS_AST_PARENT	
7726898	7726900	IS_AST_PARENT	
7726894	7726898	IS_AST_PARENT	
7726901	7726902	IS_AST_PARENT	
7726901	7726903	IS_AST_PARENT	
7726894	7726901	IS_AST_PARENT	
7726884	7726894	IS_AST_PARENT	
7726905	7726906	IS_AST_PARENT	
7726907	7726908	IS_AST_PARENT	
7726909	7726910	IS_AST_PARENT	
7726909	7726911	IS_AST_PARENT	
7726907	7726909	IS_AST_PARENT	
7726905	7726907	IS_AST_PARENT	
7726904	7726905	IS_AST_PARENT	
7726884	7726904	IS_AST_PARENT	
7726913	7726914	IS_AST_PARENT	
7726915	7726916	IS_AST_PARENT	
7726917	7726918	IS_AST_PARENT	
7726917	7726919	IS_AST_PARENT	
7726915	7726917	IS_AST_PARENT	
7726913	7726915	IS_AST_PARENT	
7726912	7726913	IS_AST_PARENT	
7726884	7726912	IS_AST_PARENT	
7726923	7726924	IS_AST_PARENT	
7726925	7726926	IS_AST_PARENT	
7726925	7726927	IS_AST_PARENT	
7726923	7726925	IS_AST_PARENT	
7726922	7726923	IS_AST_PARENT	
7726930	7726931	IS_AST_PARENT	
7726930	7726932	IS_AST_PARENT	
7726929	7726930	IS_AST_PARENT	
7726929	7726933	IS_AST_PARENT	
7726928	7726929	IS_AST_PARENT	
7726928	7726934	IS_AST_PARENT	
7726922	7726928	IS_AST_PARENT	
7726921	7726922	IS_AST_PARENT	
7726920	7726921	IS_AST_PARENT	
7726936	7726937	IS_AST_PARENT	
7726936	7726938	IS_AST_PARENT	
7726935	7726936	IS_AST_PARENT	
7726920	7726935	IS_AST_PARENT	
