start	end	type	var
7929887	7929888	IS_AST_PARENT	
7929887	7929889	IS_AST_PARENT	
7929890	7929891	IS_AST_PARENT	
7929890	7929892	IS_AST_PARENT	
7929887	7929890	IS_AST_PARENT	
7929886	7929887	IS_AST_PARENT	
7929885	7929886	IS_AST_PARENT	
7929894	7929895	IS_AST_PARENT	
7929894	7929896	IS_AST_PARENT	
7929897	7929898	IS_AST_PARENT	
7929900	7929901	IS_AST_PARENT	
7929899	7929900	IS_AST_PARENT	
7929903	7929904	IS_AST_PARENT	
7929902	7929903	IS_AST_PARENT	
7929899	7929902	IS_AST_PARENT	
7929897	7929899	IS_AST_PARENT	
7929894	7929897	IS_AST_PARENT	
7929893	7929894	IS_AST_PARENT	
7929885	7929893	IS_AST_PARENT	
7929906	7929907	IS_AST_PARENT	
7929906	7929908	IS_AST_PARENT	
7929909	7929910	IS_AST_PARENT	
7929912	7929913	IS_AST_PARENT	
7929911	7929912	IS_AST_PARENT	
7929915	7929916	IS_AST_PARENT	
7929914	7929915	IS_AST_PARENT	
7929911	7929914	IS_AST_PARENT	
7929909	7929911	IS_AST_PARENT	
7929906	7929909	IS_AST_PARENT	
7929905	7929906	IS_AST_PARENT	
7929885	7929905	IS_AST_PARENT	
7929918	7929919	IS_AST_PARENT	
7929918	7929920	IS_AST_PARENT	
7929921	7929922	IS_AST_PARENT	
7929924	7929925	IS_AST_PARENT	
7929923	7929924	IS_AST_PARENT	
7929927	7929928	IS_AST_PARENT	
7929926	7929927	IS_AST_PARENT	
7929923	7929926	IS_AST_PARENT	
7929921	7929923	IS_AST_PARENT	
7929918	7929921	IS_AST_PARENT	
7929917	7929918	IS_AST_PARENT	
7929885	7929917	IS_AST_PARENT	
7929930	7929931	IS_AST_PARENT	
7929930	7929932	IS_AST_PARENT	
7929933	7929934	IS_AST_PARENT	
7929937	7929938	IS_AST_PARENT	
7929937	7929939	IS_AST_PARENT	
7929936	7929937	IS_AST_PARENT	
7929935	7929936	IS_AST_PARENT	
7929941	7929942	IS_AST_PARENT	
7929940	7929941	IS_AST_PARENT	
7929935	7929940	IS_AST_PARENT	
7929933	7929935	IS_AST_PARENT	
7929930	7929933	IS_AST_PARENT	
7929929	7929930	IS_AST_PARENT	
7929885	7929929	IS_AST_PARENT	
7929944	7929945	IS_AST_PARENT	
7929944	7929946	IS_AST_PARENT	
7929947	7929948	IS_AST_PARENT	
7929950	7929951	IS_AST_PARENT	
7929949	7929950	IS_AST_PARENT	
7929953	7929954	IS_AST_PARENT	
7929952	7929953	IS_AST_PARENT	
7929949	7929952	IS_AST_PARENT	
7929947	7929949	IS_AST_PARENT	
7929944	7929947	IS_AST_PARENT	
7929943	7929944	IS_AST_PARENT	
7929885	7929943	IS_AST_PARENT	
7929956	7929957	IS_AST_PARENT	
7929956	7929958	IS_AST_PARENT	
7929959	7929960	IS_AST_PARENT	
7929962	7929963	IS_AST_PARENT	
7929961	7929962	IS_AST_PARENT	
7929965	7929966	IS_AST_PARENT	
7929964	7929965	IS_AST_PARENT	
7929961	7929964	IS_AST_PARENT	
7929959	7929961	IS_AST_PARENT	
7929956	7929959	IS_AST_PARENT	
7929955	7929956	IS_AST_PARENT	
7929885	7929955	IS_AST_PARENT	
7929968	7929969	IS_AST_PARENT	
7929968	7929970	IS_AST_PARENT	
7929967	7929968	IS_AST_PARENT	
7929885	7929967	IS_AST_PARENT	
7929973	7929974	IS_AST_PARENT	
7929973	7929975	IS_AST_PARENT	
7929972	7929973	IS_AST_PARENT	
7929971	7929972	IS_AST_PARENT	
7929976	7929977	IS_AST_PARENT	
7929976	7929978	IS_AST_PARENT	
7929976	7929979	IS_AST_PARENT	
7929976	7929980	IS_AST_PARENT	
7929976	7929981	IS_AST_PARENT	
7929976	7929982	IS_AST_PARENT	
7929976	7929983	IS_AST_PARENT	
7929976	7929984	IS_AST_PARENT	
7929976	7929985	IS_AST_PARENT	
7929976	7929986	IS_AST_PARENT	
7929976	7929987	IS_AST_PARENT	
7929976	7929988	IS_AST_PARENT	
7929976	7929989	IS_AST_PARENT	
7929990	7929991	IS_AST_PARENT	
7929976	7929990	IS_AST_PARENT	
7929971	7929976	IS_AST_PARENT	
7929885	7929971	IS_AST_PARENT	
7929994	7929995	IS_AST_PARENT	
7929993	7929994	IS_AST_PARENT	
7929997	7929998	IS_AST_PARENT	
7929996	7929997	IS_AST_PARENT	
7930000	7930001	IS_AST_PARENT	
7930002	7930003	IS_AST_PARENT	
7930002	7930004	IS_AST_PARENT	
7930000	7930002	IS_AST_PARENT	
7929999	7930000	IS_AST_PARENT	
7929996	7929999	IS_AST_PARENT	
7930005	7930006	IS_AST_PARENT	
7929996	7930005	IS_AST_PARENT	
7930007	7930008	IS_AST_PARENT	
7929996	7930007	IS_AST_PARENT	
7930010	7930011	IS_AST_PARENT	
7930010	7930012	IS_AST_PARENT	
7930009	7930010	IS_AST_PARENT	
7929996	7930009	IS_AST_PARENT	
7929993	7929996	IS_AST_PARENT	
7929992	7929993	IS_AST_PARENT	
7929885	7929992	IS_AST_PARENT	
7930014	7930015	IS_AST_PARENT	
7930013	7930014	IS_AST_PARENT	
7930017	7930018	IS_AST_PARENT	
7930016	7930017	IS_AST_PARENT	
7930013	7930016	IS_AST_PARENT	
7929885	7930013	IS_AST_PARENT	
7930020	7930021	IS_AST_PARENT	
7930023	7930024	IS_AST_PARENT	
7930022	7930023	IS_AST_PARENT	
7930028	7930029	IS_AST_PARENT	
7930027	7930028	IS_AST_PARENT	
7930031	7930032	IS_AST_PARENT	
7930030	7930031	IS_AST_PARENT	
7930027	7930030	IS_AST_PARENT	
7930026	7930027	IS_AST_PARENT	
7930025	7930026	IS_AST_PARENT	
7930033	7930034	IS_AST_PARENT	
7930025	7930033	IS_AST_PARENT	
7930036	7930037	IS_AST_PARENT	
7930036	7930038	IS_AST_PARENT	
7930035	7930036	IS_AST_PARENT	
7930025	7930035	IS_AST_PARENT	
7930022	7930025	IS_AST_PARENT	
7930020	7930022	IS_AST_PARENT	
7930019	7930020	IS_AST_PARENT	
7929885	7930019	IS_AST_PARENT	
7930040	7930041	IS_AST_PARENT	
7930039	7930040	IS_AST_PARENT	
7930045	7930046	IS_AST_PARENT	
7930044	7930045	IS_AST_PARENT	
7930048	7930049	IS_AST_PARENT	
7930047	7930048	IS_AST_PARENT	
7930051	7930052	IS_AST_PARENT	
7930053	7930054	IS_AST_PARENT	
7930053	7930055	IS_AST_PARENT	
7930051	7930053	IS_AST_PARENT	
7930050	7930051	IS_AST_PARENT	
7930047	7930050	IS_AST_PARENT	
7930056	7930057	IS_AST_PARENT	
7930047	7930056	IS_AST_PARENT	
7930044	7930047	IS_AST_PARENT	
7930043	7930044	IS_AST_PARENT	
7930042	7930043	IS_AST_PARENT	
7930058	7930059	IS_AST_PARENT	
7930042	7930058	IS_AST_PARENT	
7930039	7930042	IS_AST_PARENT	
7929885	7930039	IS_AST_PARENT	
7930062	7930063	IS_AST_PARENT	
7930061	7930062	IS_AST_PARENT	
7930065	7930066	IS_AST_PARENT	
7930064	7930065	IS_AST_PARENT	
7930067	7930068	IS_AST_PARENT	
7930064	7930067	IS_AST_PARENT	
7930069	7930070	IS_AST_PARENT	
7930064	7930069	IS_AST_PARENT	
7930071	7930072	IS_AST_PARENT	
7930064	7930071	IS_AST_PARENT	
7930074	7930075	IS_AST_PARENT	
7930074	7930076	IS_AST_PARENT	
7930073	7930074	IS_AST_PARENT	
7930064	7930073	IS_AST_PARENT	
7930061	7930064	IS_AST_PARENT	
7930060	7930061	IS_AST_PARENT	
7929885	7930060	IS_AST_PARENT	
7930077	7930078	IS_AST_PARENT	
7929885	7930077	IS_AST_PARENT	
7930081	7930082	IS_AST_PARENT	
7930080	7930081	IS_AST_PARENT	
7930084	7930085	IS_AST_PARENT	
7930083	7930084	IS_AST_PARENT	
7930086	7930087	IS_AST_PARENT	
7930083	7930086	IS_AST_PARENT	
7930080	7930083	IS_AST_PARENT	
7930079	7930080	IS_AST_PARENT	
7929885	7930079	IS_AST_PARENT	
7929884	7929885	IS_AST_PARENT	
7929884	7930088	IS_AST_PARENT	
7929884	7930089	IS_AST_PARENT	
7930091	7930092	IS_AST_PARENT	
7930091	7930093	IS_AST_PARENT	
7930090	7930091	IS_AST_PARENT	
7930094	7930095	IS_AST_PARENT	
7930094	7930096	IS_AST_PARENT	
