command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7999057	File	/home/p4ultr4n/workplace/ReVeal/raw_code/store_cpu_offset_1.c								
ANR	7999058	Function	store_cpu_offset	1:0:0:125							
ANR	7999059	FunctionDef	"store_cpu_offset (TCGv var , int offset)"		7999058	0					
ANR	7999060	CompoundStatement		3:0:59:125	7999058	0					
ANR	7999061	ExpressionStatement	"tcg_gen_st_i32 ( var , cpu_env , offset )"	5:4:66:102	7999058	0	True				
ANR	7999062	CallExpression	"tcg_gen_st_i32 ( var , cpu_env , offset )"		7999058	0					
ANR	7999063	Callee	tcg_gen_st_i32		7999058	0					
ANR	7999064	Identifier	tcg_gen_st_i32		7999058	0					
ANR	7999065	ArgumentList	var		7999058	1					
ANR	7999066	Argument	var		7999058	0					
ANR	7999067	Identifier	var		7999058	0					
ANR	7999068	Argument	cpu_env		7999058	1					
ANR	7999069	Identifier	cpu_env		7999058	0					
ANR	7999070	Argument	offset		7999058	2					
ANR	7999071	Identifier	offset		7999058	0					
ANR	7999072	ExpressionStatement	dead_tmp ( var )	7:4:109:122	7999058	1	True				
ANR	7999073	CallExpression	dead_tmp ( var )		7999058	0					
ANR	7999074	Callee	dead_tmp		7999058	0					
ANR	7999075	Identifier	dead_tmp		7999058	0					
ANR	7999076	ArgumentList	var		7999058	1					
ANR	7999077	Argument	var		7999058	0					
ANR	7999078	Identifier	var		7999058	0					
ANR	7999079	ReturnType	static inline void		7999058	1					
ANR	7999080	Identifier	store_cpu_offset		7999058	2					
ANR	7999081	ParameterList	"TCGv var , int offset"		7999058	3					
ANR	7999082	Parameter	TCGv var	1:36:36:43	7999058	0	True				
ANR	7999083	ParameterType	TCGv		7999058	0					
ANR	7999084	Identifier	var		7999058	1					
ANR	7999085	Parameter	int offset	1:46:46:55	7999058	1	True				
ANR	7999086	ParameterType	int		7999058	0					
ANR	7999087	Identifier	offset		7999058	1					
ANR	7999088	CFGEntryNode	ENTRY		7999058		True				
ANR	7999089	CFGExitNode	EXIT		7999058		True				
ANR	7999090	Symbol	cpu_env		7999058						
ANR	7999091	Symbol	offset		7999058						
ANR	7999092	Symbol	var		7999058						
