start	end	type	var
8106327	8106328	IS_AST_PARENT	
8106327	8106329	IS_AST_PARENT	
8106326	8106327	IS_AST_PARENT	
8106330	8106331	IS_AST_PARENT	
8106330	8106332	IS_AST_PARENT	
8106326	8106330	IS_AST_PARENT	
8106333	8106334	IS_AST_PARENT	
8106333	8106335	IS_AST_PARENT	
8106326	8106333	IS_AST_PARENT	
8106336	8106337	IS_AST_PARENT	
8106336	8106338	IS_AST_PARENT	
8106326	8106336	IS_AST_PARENT	
8106339	8106340	IS_AST_PARENT	
8106339	8106341	IS_AST_PARENT	
8106326	8106339	IS_AST_PARENT	
8106342	8106343	IS_AST_PARENT	
8106342	8106344	IS_AST_PARENT	
8106326	8106342	IS_AST_PARENT	
8106345	8106346	IS_AST_PARENT	
8106345	8106347	IS_AST_PARENT	
8106326	8106345	IS_AST_PARENT	
8106348	8106349	IS_AST_PARENT	
8106348	8106350	IS_AST_PARENT	
8106326	8106348	IS_AST_PARENT	
8106325	8106326	IS_AST_PARENT	
8106352	8106353	IS_AST_PARENT	
8106352	8106354	IS_AST_PARENT	
8106351	8106352	IS_AST_PARENT	
8106325	8106351	IS_AST_PARENT	
8106356	8106357	IS_AST_PARENT	
8106356	8106358	IS_AST_PARENT	
8106356	8106359	IS_AST_PARENT	
8106355	8106356	IS_AST_PARENT	
8106360	8106361	IS_AST_PARENT	
8106360	8106362	IS_AST_PARENT	
8106360	8106363	IS_AST_PARENT	
8106355	8106360	IS_AST_PARENT	
8106325	8106355	IS_AST_PARENT	
8106365	8106366	IS_AST_PARENT	
8106365	8106367	IS_AST_PARENT	
8106364	8106365	IS_AST_PARENT	
8106368	8106369	IS_AST_PARENT	
8106368	8106370	IS_AST_PARENT	
8106364	8106368	IS_AST_PARENT	
8106371	8106372	IS_AST_PARENT	
8106371	8106373	IS_AST_PARENT	
8106364	8106371	IS_AST_PARENT	
8106374	8106375	IS_AST_PARENT	
8106374	8106376	IS_AST_PARENT	
8106364	8106374	IS_AST_PARENT	
8106377	8106378	IS_AST_PARENT	
8106377	8106379	IS_AST_PARENT	
8106364	8106377	IS_AST_PARENT	
8106325	8106364	IS_AST_PARENT	
8106381	8106382	IS_AST_PARENT	
8106381	8106383	IS_AST_PARENT	
8106380	8106381	IS_AST_PARENT	
8106384	8106385	IS_AST_PARENT	
8106384	8106386	IS_AST_PARENT	
8106380	8106384	IS_AST_PARENT	
8106325	8106380	IS_AST_PARENT	
8106388	8106389	IS_AST_PARENT	
8106388	8106390	IS_AST_PARENT	
8106387	8106388	IS_AST_PARENT	
8106325	8106387	IS_AST_PARENT	
8106392	8106393	IS_AST_PARENT	
8106392	8106394	IS_AST_PARENT	
8106391	8106392	IS_AST_PARENT	
8106325	8106391	IS_AST_PARENT	
8106396	8106397	IS_AST_PARENT	
8106396	8106398	IS_AST_PARENT	
8106395	8106396	IS_AST_PARENT	
8106325	8106395	IS_AST_PARENT	
8106400	8106401	IS_AST_PARENT	
8106403	8106404	IS_AST_PARENT	
8106403	8106405	IS_AST_PARENT	
8106402	8106403	IS_AST_PARENT	
8106402	8106406	IS_AST_PARENT	
8106400	8106402	IS_AST_PARENT	
8106399	8106400	IS_AST_PARENT	
8106325	8106399	IS_AST_PARENT	
8106409	8106410	IS_AST_PARENT	
8106408	8106409	IS_AST_PARENT	
8106412	8106413	IS_AST_PARENT	
8106411	8106412	IS_AST_PARENT	
8106414	8106415	IS_AST_PARENT	
8106411	8106414	IS_AST_PARENT	
8106416	8106417	IS_AST_PARENT	
8106411	8106416	IS_AST_PARENT	
8106418	8106419	IS_AST_PARENT	
8106411	8106418	IS_AST_PARENT	
8106408	8106411	IS_AST_PARENT	
8106407	8106408	IS_AST_PARENT	
8106325	8106407	IS_AST_PARENT	
8106422	8106423	IS_AST_PARENT	
8106422	8106424	IS_AST_PARENT	
8106421	8106422	IS_AST_PARENT	
8106420	8106421	IS_AST_PARENT	
8106428	8106429	IS_AST_PARENT	
8106430	8106431	IS_AST_PARENT	
8106430	8106432	IS_AST_PARENT	
8106428	8106430	IS_AST_PARENT	
8106427	8106428	IS_AST_PARENT	
8106426	8106427	IS_AST_PARENT	
8106436	8106437	IS_AST_PARENT	
8106435	8106436	IS_AST_PARENT	
8106439	8106440	IS_AST_PARENT	
8106438	8106439	IS_AST_PARENT	
8106441	8106442	IS_AST_PARENT	
8106438	8106441	IS_AST_PARENT	
8106444	8106445	IS_AST_PARENT	
8106444	8106446	IS_AST_PARENT	
8106443	8106444	IS_AST_PARENT	
8106438	8106443	IS_AST_PARENT	
8106435	8106438	IS_AST_PARENT	
8106434	8106435	IS_AST_PARENT	
8106433	8106434	IS_AST_PARENT	
8106426	8106433	IS_AST_PARENT	
8106425	8106426	IS_AST_PARENT	
8106448	8106449	IS_AST_PARENT	
8106450	8106451	IS_AST_PARENT	
8106450	8106452	IS_AST_PARENT	
8106448	8106450	IS_AST_PARENT	
8106447	8106448	IS_AST_PARENT	
8106425	8106447	IS_AST_PARENT	
8106455	8106456	IS_AST_PARENT	
8106455	8106457	IS_AST_PARENT	
8106454	8106455	IS_AST_PARENT	
8106453	8106454	IS_AST_PARENT	
8106461	8106462	IS_AST_PARENT	
8106460	8106461	IS_AST_PARENT	
8106464	8106465	IS_AST_PARENT	
8106463	8106464	IS_AST_PARENT	
8106466	8106467	IS_AST_PARENT	
8106463	8106466	IS_AST_PARENT	
8106469	8106470	IS_AST_PARENT	
8106469	8106471	IS_AST_PARENT	
8106468	8106469	IS_AST_PARENT	
8106463	8106468	IS_AST_PARENT	
8106460	8106463	IS_AST_PARENT	
8106459	8106460	IS_AST_PARENT	
8106458	8106459	IS_AST_PARENT	
8106453	8106458	IS_AST_PARENT	
