start	end	type	var
8231033	8231034	IS_AST_PARENT	
8231032	8231033	IS_AST_PARENT	
8231036	8231037	IS_AST_PARENT	
8231035	8231036	IS_AST_PARENT	
8231038	8231039	IS_AST_PARENT	
8231035	8231038	IS_AST_PARENT	
8231040	8231041	IS_AST_PARENT	
8231035	8231040	IS_AST_PARENT	
8231042	8231043	IS_AST_PARENT	
8231035	8231042	IS_AST_PARENT	
8231044	8231045	IS_AST_PARENT	
8231035	8231044	IS_AST_PARENT	
8231046	8231047	IS_AST_PARENT	
8231035	8231046	IS_AST_PARENT	
8231048	8231049	IS_AST_PARENT	
8231035	8231048	IS_AST_PARENT	
8231032	8231035	IS_AST_PARENT	
8231031	8231032	IS_AST_PARENT	
8231030	8231031	IS_AST_PARENT	
8231052	8231053	IS_AST_PARENT	
8231051	8231052	IS_AST_PARENT	
8231055	8231056	IS_AST_PARENT	
8231054	8231055	IS_AST_PARENT	
8231058	8231059	IS_AST_PARENT	
8231058	8231060	IS_AST_PARENT	
8231057	8231058	IS_AST_PARENT	
8231054	8231057	IS_AST_PARENT	
8231061	8231062	IS_AST_PARENT	
8231054	8231061	IS_AST_PARENT	
8231051	8231054	IS_AST_PARENT	
8231050	8231051	IS_AST_PARENT	
8231030	8231050	IS_AST_PARENT	
8231029	8231030	IS_AST_PARENT	
8231029	8231063	IS_AST_PARENT	
8231029	8231064	IS_AST_PARENT	
8231066	8231067	IS_AST_PARENT	
8231066	8231068	IS_AST_PARENT	
8231065	8231066	IS_AST_PARENT	
8231069	8231070	IS_AST_PARENT	
8231069	8231071	IS_AST_PARENT	
8231065	8231069	IS_AST_PARENT	
8231072	8231073	IS_AST_PARENT	
8231072	8231074	IS_AST_PARENT	
8231065	8231072	IS_AST_PARENT	
8231075	8231076	IS_AST_PARENT	
8231075	8231077	IS_AST_PARENT	
8231065	8231075	IS_AST_PARENT	
8231078	8231079	IS_AST_PARENT	
8231078	8231080	IS_AST_PARENT	
8231065	8231078	IS_AST_PARENT	
8231081	8231082	IS_AST_PARENT	
8231081	8231083	IS_AST_PARENT	
8231065	8231081	IS_AST_PARENT	
8231084	8231085	IS_AST_PARENT	
8231084	8231086	IS_AST_PARENT	
8231065	8231084	IS_AST_PARENT	
8231029	8231065	IS_AST_PARENT	
8231087	8231066	FLOWS_TO	
8231066	8231069	FLOWS_TO	
8231069	8231072	FLOWS_TO	
8231072	8231075	FLOWS_TO	
8231075	8231078	FLOWS_TO	
8231078	8231081	FLOWS_TO	
8231081	8231084	FLOWS_TO	
8231084	8231031	FLOWS_TO	
8231031	8231050	FLOWS_TO	
8231050	8231088	FLOWS_TO	
8231075	8231089	DEF	
8231031	8231089	USE	
8231042	8231089	USE	
8231066	8231090	DEF	
8231031	8231090	USE	
8231036	8231090	USE	
8231050	8231090	USE	
8231055	8231090	USE	
8231078	8231091	DEF	
8231031	8231091	USE	
8231044	8231091	USE	
8231050	8231092	USE	
8231057	8231092	USE	
8231050	8231093	USE	
8231058	8231093	USE	
8231072	8231094	DEF	
8231031	8231094	USE	
8231040	8231094	USE	
8231081	8231095	DEF	
8231050	8231095	USE	
8231061	8231095	USE	
8231050	8231096	USE	
8231057	8231096	USE	
8231069	8231097	DEF	
8231031	8231097	USE	
8231038	8231097	USE	
8231050	8231097	USE	
8231058	8231097	USE	
8231084	8231098	DEF	
8231031	8231098	USE	
8231048	8231098	USE	
8231075	8231031	REACHES	arg2
8231066	8231031	REACHES	s
8231078	8231031	REACHES	const_arg2
8231066	8231050	REACHES	s
8231072	8231031	REACHES	arg1
8231081	8231050	REACHES	label_index
8231084	8231031	REACHES	type
8231069	8231031	REACHES	cond
8231069	8231050	REACHES	cond
8231087	8231066	CONTROLS	
8231087	8231069	CONTROLS	
8231087	8231072	CONTROLS	
8231087	8231075	CONTROLS	
8231087	8231078	CONTROLS	
8231087	8231081	CONTROLS	
8231087	8231084	CONTROLS	
8231087	8231031	CONTROLS	
8231087	8231050	CONTROLS	
8231081	8231084	DOM	
8231078	8231081	DOM	
8231066	8231069	DOM	
8231072	8231075	DOM	
8231087	8231087	DOM	
8231075	8231078	DOM	
8231050	8231088	DOM	
8231087	8231066	DOM	
8231084	8231031	DOM	
8231069	8231072	DOM	
8231031	8231050	DOM	
8231031	8231084	POST_DOM	
8231084	8231081	POST_DOM	
8231072	8231069	POST_DOM	
8231078	8231075	POST_DOM	
8231088	8231088	POST_DOM	
8231081	8231078	POST_DOM	
8231066	8231087	POST_DOM	
8231050	8231031	POST_DOM	
8231069	8231066	POST_DOM	
8231075	8231072	POST_DOM	
8231088	8231050	POST_DOM	
8231028	8231029	IS_FUNCTION_OF_AST	
8231028	8231087	IS_FUNCTION_OF_CFG	
8231027	8231028	IS_FILE_OF	
