start	end	type	var
8308519	8308520	IS_AST_PARENT	
8308519	8308521	IS_AST_PARENT	
8308522	8308523	IS_AST_PARENT	
8308524	8308525	IS_AST_PARENT	
8308524	8308526	IS_AST_PARENT	
8308522	8308524	IS_AST_PARENT	
8308519	8308522	IS_AST_PARENT	
8308518	8308519	IS_AST_PARENT	
8308517	8308518	IS_AST_PARENT	
8308528	8308529	IS_AST_PARENT	
8308528	8308530	IS_AST_PARENT	
8308527	8308528	IS_AST_PARENT	
8308531	8308532	IS_AST_PARENT	
8308531	8308533	IS_AST_PARENT	
8308527	8308531	IS_AST_PARENT	
8308534	8308535	IS_AST_PARENT	
8308534	8308536	IS_AST_PARENT	
8308527	8308534	IS_AST_PARENT	
8308517	8308527	IS_AST_PARENT	
8308538	8308539	IS_AST_PARENT	
8308538	8308540	IS_AST_PARENT	
8308537	8308538	IS_AST_PARENT	
8308517	8308537	IS_AST_PARENT	
8308542	8308543	IS_AST_PARENT	
8308542	8308544	IS_AST_PARENT	
8308541	8308542	IS_AST_PARENT	
8308517	8308541	IS_AST_PARENT	
8308546	8308547	IS_AST_PARENT	
8308546	8308548	IS_AST_PARENT	
8308545	8308546	IS_AST_PARENT	
8308517	8308545	IS_AST_PARENT	
8308551	8308552	IS_AST_PARENT	
8308551	8308553	IS_AST_PARENT	
8308550	8308551	IS_AST_PARENT	
8308549	8308550	IS_AST_PARENT	
8308558	8308559	IS_AST_PARENT	
8308557	8308558	IS_AST_PARENT	
8308557	8308560	IS_AST_PARENT	
8308556	8308557	IS_AST_PARENT	
8308555	8308556	IS_AST_PARENT	
8308562	8308563	IS_AST_PARENT	
8308562	8308564	IS_AST_PARENT	
8308561	8308562	IS_AST_PARENT	
8308555	8308561	IS_AST_PARENT	
8308554	8308555	IS_AST_PARENT	
8308566	8308567	IS_AST_PARENT	
8308568	8308569	IS_AST_PARENT	
8308568	8308570	IS_AST_PARENT	
8308566	8308568	IS_AST_PARENT	
8308565	8308566	IS_AST_PARENT	
8308554	8308565	IS_AST_PARENT	
8308573	8308574	IS_AST_PARENT	
8308572	8308573	IS_AST_PARENT	
8308577	8308578	IS_AST_PARENT	
8308577	8308579	IS_AST_PARENT	
8308576	8308577	IS_AST_PARENT	
8308575	8308576	IS_AST_PARENT	
