command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8316893	File	/home/p4ultr4n/workplace/ReVeal/raw_code/tcx_update_display_0.c								
ANR	8316894	Function	tcx_update_display	1:0:0:1865							
ANR	8316895	FunctionDef	tcx_update_display (void * opaque)		8316894	0					
ANR	8316896	CompoundStatement		3:0:46:1865	8316894	0					
ANR	8316897	IdentifierDeclStatement	TCXState * ts = opaque ;	5:4:53:74	8316894	0	True				
ANR	8316898	IdentifierDecl	* ts = opaque		8316894	0					
ANR	8316899	IdentifierDeclType	TCXState *		8316894	0					
ANR	8316900	Identifier	ts		8316894	1					
ANR	8316901	AssignmentExpression	* ts = opaque		8316894	2		=			
ANR	8316902	Identifier	opaque		8316894	0					
ANR	8316903	Identifier	opaque		8316894	1					
ANR	8316904	IdentifierDeclStatement	"ram_addr_t page , page_min , page_max ;"	7:4:81:116	8316894	1	True				
ANR	8316905	IdentifierDecl	page		8316894	0					
ANR	8316906	IdentifierDeclType	ram_addr_t		8316894	0					
ANR	8316907	Identifier	page		8316894	1					
ANR	8316908	IdentifierDecl	page_min		8316894	1					
ANR	8316909	IdentifierDeclType	ram_addr_t		8316894	0					
ANR	8316910	Identifier	page_min		8316894	1					
ANR	8316911	IdentifierDecl	page_max		8316894	2					
ANR	8316912	IdentifierDeclType	ram_addr_t		8316894	0					
ANR	8316913	Identifier	page_max		8316894	1					
ANR	8316914	IdentifierDeclStatement	"int y , y_start , dd , ds ;"	9:4:123:145	8316894	2	True				
ANR	8316915	IdentifierDecl	y		8316894	0					
ANR	8316916	IdentifierDeclType	int		8316894	0					
ANR	8316917	Identifier	y		8316894	1					
ANR	8316918	IdentifierDecl	y_start		8316894	1					
ANR	8316919	IdentifierDeclType	int		8316894	0					
ANR	8316920	Identifier	y_start		8316894	1					
ANR	8316921	IdentifierDecl	dd		8316894	2					
ANR	8316922	IdentifierDeclType	int		8316894	0					
ANR	8316923	Identifier	dd		8316894	1					
ANR	8316924	IdentifierDecl	ds		8316894	3					
ANR	8316925	IdentifierDeclType	int		8316894	0					
ANR	8316926	Identifier	ds		8316894	1					
ANR	8316927	IdentifierDeclStatement	"uint8_t * d , * s ;"	11:4:152:166	8316894	3	True				
ANR	8316928	IdentifierDecl	* d		8316894	0					
ANR	8316929	IdentifierDeclType	uint8_t *		8316894	0					
ANR	8316930	Identifier	d		8316894	1					
ANR	8316931	IdentifierDecl	* s		8316894	1					
ANR	8316932	IdentifierDeclType	uint8_t *		8316894	0					
ANR	8316933	Identifier	s		8316894	1					
ANR	8316934	IdentifierDeclStatement	"void ( * f ) ( TCXState * s1 , uint8_t * d , const uint8_t * s , int width ) ;"	13:4:173:237	8316894	4	True				
ANR	8316935	IdentifierDecl	"( * f ) ( TCXState * s1 , uint8_t * d , const uint8_t * s , int width )"		8316894	0					
ANR	8316936	IdentifierDeclType	"void ( * ) ( TCXState * s1 , uint8_t * d , const uint8_t * s , int width )"		8316894	0					
ANR	8316937	Identifier	f		8316894	1					
ANR	8316938	Identifier	s1		8316894	2					
ANR	8316939	Identifier	d		8316894	3					
ANR	8316940	Identifier	s		8316894	4					
ANR	8316941	IfStatement	if ( ts -> ds -> depth == 0 )		8316894	5					
ANR	8316942	Condition	ts -> ds -> depth == 0	17:8:250:267	8316894	0	True				
