start	end	type	var
8641041	8641042	IS_AST_PARENT	
8641041	8641043	IS_AST_PARENT	
8641044	8641045	IS_AST_PARENT	
8641046	8641047	IS_AST_PARENT	
8641046	8641048	IS_AST_PARENT	
8641044	8641046	IS_AST_PARENT	
8641041	8641044	IS_AST_PARENT	
8641040	8641041	IS_AST_PARENT	
8641039	8641040	IS_AST_PARENT	
8641050	8641051	IS_AST_PARENT	
8641050	8641052	IS_AST_PARENT	
8641053	8641054	IS_AST_PARENT	
8641055	8641056	IS_AST_PARENT	
8641055	8641057	IS_AST_PARENT	
8641053	8641055	IS_AST_PARENT	
8641050	8641053	IS_AST_PARENT	
8641049	8641050	IS_AST_PARENT	
8641039	8641049	IS_AST_PARENT	
8641059	8641060	IS_AST_PARENT	
8641059	8641061	IS_AST_PARENT	
8641062	8641063	IS_AST_PARENT	
8641064	8641065	IS_AST_PARENT	
8641064	8641066	IS_AST_PARENT	
8641062	8641064	IS_AST_PARENT	
8641059	8641062	IS_AST_PARENT	
8641058	8641059	IS_AST_PARENT	
8641039	8641058	IS_AST_PARENT	
8641068	8641069	IS_AST_PARENT	
8641068	8641070	IS_AST_PARENT	
8641071	8641072	IS_AST_PARENT	
8641073	8641074	IS_AST_PARENT	
8641073	8641075	IS_AST_PARENT	
8641071	8641073	IS_AST_PARENT	
8641068	8641071	IS_AST_PARENT	
8641067	8641068	IS_AST_PARENT	
8641039	8641067	IS_AST_PARENT	
8641077	8641078	IS_AST_PARENT	
8641077	8641079	IS_AST_PARENT	
8641080	8641081	IS_AST_PARENT	
8641082	8641083	IS_AST_PARENT	
8641082	8641084	IS_AST_PARENT	
8641080	8641082	IS_AST_PARENT	
8641077	8641080	IS_AST_PARENT	
8641076	8641077	IS_AST_PARENT	
8641039	8641076	IS_AST_PARENT	
8641086	8641087	IS_AST_PARENT	
8641086	8641088	IS_AST_PARENT	
8641089	8641090	IS_AST_PARENT	
8641091	8641092	IS_AST_PARENT	
8641091	8641093	IS_AST_PARENT	
8641089	8641091	IS_AST_PARENT	
8641086	8641089	IS_AST_PARENT	
8641085	8641086	IS_AST_PARENT	
8641039	8641085	IS_AST_PARENT	
8641095	8641096	IS_AST_PARENT	
8641095	8641097	IS_AST_PARENT	
8641098	8641099	IS_AST_PARENT	
8641100	8641101	IS_AST_PARENT	
8641100	8641102	IS_AST_PARENT	
8641098	8641100	IS_AST_PARENT	
8641095	8641098	IS_AST_PARENT	
8641094	8641095	IS_AST_PARENT	
8641039	8641094	IS_AST_PARENT	
8641104	8641105	IS_AST_PARENT	
8641104	8641106	IS_AST_PARENT	
8641107	8641108	IS_AST_PARENT	
8641109	8641110	IS_AST_PARENT	
8641109	8641111	IS_AST_PARENT	
8641107	8641109	IS_AST_PARENT	
8641104	8641107	IS_AST_PARENT	
8641103	8641104	IS_AST_PARENT	
8641039	8641103	IS_AST_PARENT	
8641113	8641114	IS_AST_PARENT	
8641113	8641115	IS_AST_PARENT	
8641116	8641117	IS_AST_PARENT	
8641118	8641119	IS_AST_PARENT	
8641118	8641120	IS_AST_PARENT	
8641116	8641118	IS_AST_PARENT	
8641113	8641116	IS_AST_PARENT	
8641112	8641113	IS_AST_PARENT	
8641039	8641112	IS_AST_PARENT	
8641122	8641123	IS_AST_PARENT	
8641122	8641124	IS_AST_PARENT	
8641125	8641126	IS_AST_PARENT	
8641127	8641128	IS_AST_PARENT	
8641127	8641129	IS_AST_PARENT	
8641125	8641127	IS_AST_PARENT	
8641122	8641125	IS_AST_PARENT	
8641121	8641122	IS_AST_PARENT	
8641039	8641121	IS_AST_PARENT	
8641131	8641132	IS_AST_PARENT	
8641131	8641133	IS_AST_PARENT	
8641134	8641135	IS_AST_PARENT	
8641136	8641137	IS_AST_PARENT	
8641136	8641138	IS_AST_PARENT	
8641134	8641136	IS_AST_PARENT	
8641131	8641134	IS_AST_PARENT	
8641130	8641131	IS_AST_PARENT	
8641039	8641130	IS_AST_PARENT	
8641140	8641141	IS_AST_PARENT	
8641140	8641142	IS_AST_PARENT	
8641143	8641144	IS_AST_PARENT	
8641145	8641146	IS_AST_PARENT	
8641145	8641147	IS_AST_PARENT	
8641143	8641145	IS_AST_PARENT	
8641140	8641143	IS_AST_PARENT	
8641139	8641140	IS_AST_PARENT	
8641039	8641139	IS_AST_PARENT	
8641149	8641150	IS_AST_PARENT	
8641149	8641151	IS_AST_PARENT	
8641152	8641153	IS_AST_PARENT	
8641154	8641155	IS_AST_PARENT	
8641154	8641156	IS_AST_PARENT	
8641152	8641154	IS_AST_PARENT	
8641149	8641152	IS_AST_PARENT	
8641148	8641149	IS_AST_PARENT	
8641039	8641148	IS_AST_PARENT	
8641158	8641159	IS_AST_PARENT	
8641158	8641160	IS_AST_PARENT	
8641161	8641162	IS_AST_PARENT	
8641163	8641164	IS_AST_PARENT	
8641163	8641165	IS_AST_PARENT	
8641161	8641163	IS_AST_PARENT	
8641158	8641161	IS_AST_PARENT	
8641157	8641158	IS_AST_PARENT	
8641039	8641157	IS_AST_PARENT	
8641167	8641168	IS_AST_PARENT	
8641167	8641169	IS_AST_PARENT	
8641170	8641171	IS_AST_PARENT	
8641172	8641173	IS_AST_PARENT	
8641172	8641174	IS_AST_PARENT	
8641170	8641172	IS_AST_PARENT	
8641167	8641170	IS_AST_PARENT	
8641166	8641167	IS_AST_PARENT	
8641039	8641166	IS_AST_PARENT	
8641176	8641177	IS_AST_PARENT	
8641176	8641178	IS_AST_PARENT	
8641179	8641180	IS_AST_PARENT	
8641181	8641182	IS_AST_PARENT	
8641181	8641183	IS_AST_PARENT	
8641179	8641181	IS_AST_PARENT	
8641176	8641179	IS_AST_PARENT	
8641175	8641176	IS_AST_PARENT	
8641039	8641175	IS_AST_PARENT	
8641185	8641186	IS_AST_PARENT	
8641185	8641187	IS_AST_PARENT	
8641188	8641189	IS_AST_PARENT	
8641190	8641191	IS_AST_PARENT	
8641190	8641192	IS_AST_PARENT	
8641188	8641190	IS_AST_PARENT	
8641185	8641188	IS_AST_PARENT	
8641184	8641185	IS_AST_PARENT	
8641039	8641184	IS_AST_PARENT	
8641194	8641195	IS_AST_PARENT	
8641194	8641196	IS_AST_PARENT	
8641197	8641198	IS_AST_PARENT	
8641199	8641200	IS_AST_PARENT	
8641201	8641202	IS_AST_PARENT	
8641201	8641203	IS_AST_PARENT	
8641199	8641201	IS_AST_PARENT	
8641197	8641199	IS_AST_PARENT	
8641194	8641197	IS_AST_PARENT	
8641193	8641194	IS_AST_PARENT	
8641039	8641193	IS_AST_PARENT	
8641205	8641206	IS_AST_PARENT	
8641205	8641207	IS_AST_PARENT	
8641208	8641209	IS_AST_PARENT	
8641210	8641211	IS_AST_PARENT	
8641210	8641212	IS_AST_PARENT	
8641208	8641210	IS_AST_PARENT	
8641205	8641208	IS_AST_PARENT	
8641204	8641205	IS_AST_PARENT	
8641039	8641204	IS_AST_PARENT	
8641214	8641215	IS_AST_PARENT	
8641214	8641216	IS_AST_PARENT	
8641217	8641218	IS_AST_PARENT	
8641219	8641220	IS_AST_PARENT	
8641219	8641221	IS_AST_PARENT	
8641217	8641219	IS_AST_PARENT	
8641214	8641217	IS_AST_PARENT	
8641213	8641214	IS_AST_PARENT	
8641039	8641213	IS_AST_PARENT	
8641224	8641225	IS_AST_PARENT	
8641224	8641226	IS_AST_PARENT	
8641223	8641224	IS_AST_PARENT	
8641227	8641228	IS_AST_PARENT	
8641229	8641230	IS_AST_PARENT	
8641229	8641231	IS_AST_PARENT	
8641227	8641229	IS_AST_PARENT	
8641223	8641227	IS_AST_PARENT	
8641222	8641223	IS_AST_PARENT	
8641039	8641222	IS_AST_PARENT	
8641236	8641237	IS_AST_PARENT	
8641236	8641238	IS_AST_PARENT	
8641235	8641236	IS_AST_PARENT	
8641235	8641239	IS_AST_PARENT	
8641234	8641235	IS_AST_PARENT	
8641241	8641242	IS_AST_PARENT	
8641241	8641243	IS_AST_PARENT	
8641240	8641241	IS_AST_PARENT	
8641240	8641244	IS_AST_PARENT	
8641234	8641240	IS_AST_PARENT	
8641233	8641234	IS_AST_PARENT	
8641232	8641233	IS_AST_PARENT	
8641247	8641248	IS_AST_PARENT	
8641247	8641249	IS_AST_PARENT	
8641246	8641247	IS_AST_PARENT	
8641250	8641251	IS_AST_PARENT	
8641252	8641253	IS_AST_PARENT	
8641252	8641254	IS_AST_PARENT	
8641250	8641252	IS_AST_PARENT	
8641246	8641250	IS_AST_PARENT	
8641245	8641246	IS_AST_PARENT	
8641232	8641245	IS_AST_PARENT	
8641258	8641259	IS_AST_PARENT	
8641258	8641260	IS_AST_PARENT	
8641257	8641258	IS_AST_PARENT	
8641261	8641262	IS_AST_PARENT	
8641263	8641264	IS_AST_PARENT	
8641263	8641265	IS_AST_PARENT	
8641261	8641263	IS_AST_PARENT	
8641257	8641261	IS_AST_PARENT	
8641256	8641257	IS_AST_PARENT	
8641255	8641256	IS_AST_PARENT	
