start	end	type	var
8719537	8719538	IS_AST_PARENT	
8719537	8719539	IS_AST_PARENT	
8719540	8719541	IS_AST_PARENT	
8719543	8719544	IS_AST_PARENT	
8719542	8719543	IS_AST_PARENT	
8719546	8719547	IS_AST_PARENT	
8719545	8719546	IS_AST_PARENT	
8719548	8719549	IS_AST_PARENT	
8719545	8719548	IS_AST_PARENT	
8719550	8719551	IS_AST_PARENT	
8719545	8719550	IS_AST_PARENT	
8719542	8719545	IS_AST_PARENT	
8719540	8719542	IS_AST_PARENT	
8719537	8719540	IS_AST_PARENT	
8719536	8719537	IS_AST_PARENT	
8719535	8719536	IS_AST_PARENT	
8719553	8719554	IS_AST_PARENT	
8719553	8719555	IS_AST_PARENT	
8719552	8719553	IS_AST_PARENT	
8719535	8719552	IS_AST_PARENT	
8719557	8719558	IS_AST_PARENT	
8719559	8719560	IS_AST_PARENT	
8719559	8719561	IS_AST_PARENT	
8719557	8719559	IS_AST_PARENT	
8719556	8719557	IS_AST_PARENT	
8719535	8719556	IS_AST_PARENT	
8719565	8719566	IS_AST_PARENT	
8719565	8719567	IS_AST_PARENT	
8719564	8719565	IS_AST_PARENT	
8719564	8719568	IS_AST_PARENT	
8719563	8719564	IS_AST_PARENT	
8719562	8719563	IS_AST_PARENT	
8719571	8719572	IS_AST_PARENT	
8719571	8719573	IS_AST_PARENT	
8719570	8719571	IS_AST_PARENT	
8719569	8719570	IS_AST_PARENT	
8719562	8719569	IS_AST_PARENT	
8719535	8719562	IS_AST_PARENT	
8719578	8719579	IS_AST_PARENT	
8719578	8719580	IS_AST_PARENT	
8719577	8719578	IS_AST_PARENT	
8719582	8719583	IS_AST_PARENT	
8719581	8719582	IS_AST_PARENT	
8719585	8719586	IS_AST_PARENT	
8719584	8719585	IS_AST_PARENT	
8719581	8719584	IS_AST_PARENT	
8719577	8719581	IS_AST_PARENT	
8719576	8719577	IS_AST_PARENT	
8719576	8719587	IS_AST_PARENT	
8719575	8719576	IS_AST_PARENT	
8719574	8719575	IS_AST_PARENT	
8719589	8719590	IS_AST_PARENT	
8719588	8719589	IS_AST_PARENT	
8719593	8719594	IS_AST_PARENT	
8719592	8719593	IS_AST_PARENT	
8719596	8719597	IS_AST_PARENT	
8719595	8719596	IS_AST_PARENT	
8719598	8719599	IS_AST_PARENT	
8719595	8719598	IS_AST_PARENT	
8719592	8719595	IS_AST_PARENT	
8719591	8719592	IS_AST_PARENT	
