start	end	type	var
8799469	8799470	IS_AST_PARENT	
8799469	8799471	IS_AST_PARENT	
8799472	8799473	IS_AST_PARENT	
8799475	8799476	IS_AST_PARENT	
8799475	8799477	IS_AST_PARENT	
8799474	8799475	IS_AST_PARENT	
8799474	8799478	IS_AST_PARENT	
8799472	8799474	IS_AST_PARENT	
8799469	8799472	IS_AST_PARENT	
8799468	8799469	IS_AST_PARENT	
8799467	8799468	IS_AST_PARENT	
8799480	8799481	IS_AST_PARENT	
8799480	8799482	IS_AST_PARENT	
8799479	8799480	IS_AST_PARENT	
8799467	8799479	IS_AST_PARENT	
8799484	8799485	IS_AST_PARENT	
8799484	8799486	IS_AST_PARENT	
8799483	8799484	IS_AST_PARENT	
8799467	8799483	IS_AST_PARENT	
8799488	8799489	IS_AST_PARENT	
8799488	8799490	IS_AST_PARENT	
8799487	8799488	IS_AST_PARENT	
8799467	8799487	IS_AST_PARENT	
8799492	8799493	IS_AST_PARENT	
8799492	8799494	IS_AST_PARENT	
8799491	8799492	IS_AST_PARENT	
8799467	8799491	IS_AST_PARENT	
8799496	8799497	IS_AST_PARENT	
8799499	8799500	IS_AST_PARENT	
8799498	8799499	IS_AST_PARENT	
8799503	8799504	IS_AST_PARENT	
8799505	8799506	IS_AST_PARENT	
8799505	8799507	IS_AST_PARENT	
8799503	8799505	IS_AST_PARENT	
8799502	8799503	IS_AST_PARENT	
8799501	8799502	IS_AST_PARENT	
8799498	8799501	IS_AST_PARENT	
8799496	8799498	IS_AST_PARENT	
8799495	8799496	IS_AST_PARENT	
8799467	8799495	IS_AST_PARENT	
8799510	8799511	IS_AST_PARENT	
8799510	8799512	IS_AST_PARENT	
8799509	8799510	IS_AST_PARENT	
8799508	8799509	IS_AST_PARENT	
8799516	8799517	IS_AST_PARENT	
8799515	8799516	IS_AST_PARENT	
8799519	8799520	IS_AST_PARENT	
8799518	8799519	IS_AST_PARENT	
8799522	8799523	IS_AST_PARENT	
8799524	8799525	IS_AST_PARENT	
8799524	8799526	IS_AST_PARENT	
8799522	8799524	IS_AST_PARENT	
8799521	8799522	IS_AST_PARENT	
8799518	8799521	IS_AST_PARENT	
8799515	8799518	IS_AST_PARENT	
8799514	8799515	IS_AST_PARENT	
8799513	8799514	IS_AST_PARENT	
8799529	8799530	IS_AST_PARENT	
8799528	8799529	IS_AST_PARENT	
8799533	8799534	IS_AST_PARENT	
8799535	8799536	IS_AST_PARENT	
8799535	8799537	IS_AST_PARENT	
8799533	8799535	IS_AST_PARENT	
8799532	8799533	IS_AST_PARENT	
8799531	8799532	IS_AST_PARENT	
8799528	8799531	IS_AST_PARENT	
8799527	8799528	IS_AST_PARENT	
8799513	8799527	IS_AST_PARENT	
8799508	8799513	IS_AST_PARENT	
8799467	8799508	IS_AST_PARENT	
8799539	8799540	IS_AST_PARENT	
8799542	8799543	IS_AST_PARENT	
8799541	8799542	IS_AST_PARENT	
8799545	8799546	IS_AST_PARENT	
8799544	8799545	IS_AST_PARENT	
8799547	8799548	IS_AST_PARENT	
8799544	8799547	IS_AST_PARENT	
8799549	8799550	IS_AST_PARENT	
8799544	8799549	IS_AST_PARENT	
8799541	8799544	IS_AST_PARENT	
8799539	8799541	IS_AST_PARENT	
8799538	8799539	IS_AST_PARENT	
8799467	8799538	IS_AST_PARENT	
8799552	8799553	IS_AST_PARENT	
8799555	8799556	IS_AST_PARENT	
8799554	8799555	IS_AST_PARENT	
8799559	8799560	IS_AST_PARENT	
8799559	8799561	IS_AST_PARENT	
8799558	8799559	IS_AST_PARENT	
8799557	8799558	IS_AST_PARENT	
8799554	8799557	IS_AST_PARENT	
8799552	8799554	IS_AST_PARENT	
8799551	8799552	IS_AST_PARENT	
8799467	8799551	IS_AST_PARENT	
8799563	8799564	IS_AST_PARENT	
8799566	8799567	IS_AST_PARENT	
8799568	8799569	IS_AST_PARENT	
8799568	8799570	IS_AST_PARENT	
8799566	8799568	IS_AST_PARENT	
8799565	8799566	IS_AST_PARENT	
8799565	8799571	IS_AST_PARENT	
8799563	8799565	IS_AST_PARENT	
8799562	8799563	IS_AST_PARENT	
8799467	8799562	IS_AST_PARENT	
8799574	8799575	IS_AST_PARENT	
8799574	8799576	IS_AST_PARENT	
8799573	8799574	IS_AST_PARENT	
8799573	8799577	IS_AST_PARENT	
8799572	8799573	IS_AST_PARENT	
8799467	8799572	IS_AST_PARENT	
8799579	8799580	IS_AST_PARENT	
8799581	8799582	IS_AST_PARENT	
8799581	8799583	IS_AST_PARENT	
8799579	8799581	IS_AST_PARENT	
8799578	8799579	IS_AST_PARENT	
8799467	8799578	IS_AST_PARENT	
8799585	8799586	IS_AST_PARENT	
8799585	8799587	IS_AST_PARENT	
8799584	8799585	IS_AST_PARENT	
8799467	8799584	IS_AST_PARENT	
8799589	8799590	IS_AST_PARENT	
8799592	8799593	IS_AST_PARENT	
8799591	8799592	IS_AST_PARENT	
8799595	8799596	IS_AST_PARENT	
8799594	8799595	IS_AST_PARENT	
8799591	8799594	IS_AST_PARENT	
8799589	8799591	IS_AST_PARENT	
8799588	8799589	IS_AST_PARENT	
8799467	8799588	IS_AST_PARENT	
8799599	8799600	IS_AST_PARENT	
8799598	8799599	IS_AST_PARENT	
8799603	8799604	IS_AST_PARENT	
8799605	8799606	IS_AST_PARENT	
8799605	8799607	IS_AST_PARENT	
8799603	8799605	IS_AST_PARENT	
