command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8951006	File	/home/p4ultr4n/workplace/ReVeal/raw_code/vfio_connect_container_01_1.c								
ANR	8951007	Function	vfio_connect_container	1:0:0:6633							
ANR	8951008	FunctionDef	"vfio_connect_container (VFIOGroup * group , AddressSpace * as , Error * * errp)"		8951007	0					
ANR	8951009	CompoundStatement		5:0:120:6633	8951007	0					
ANR	8951010	IdentifierDeclStatement	VFIOContainer * container ;	7:4:127:151	8951007	0	True				
ANR	8951011	IdentifierDecl	* container		8951007	0					
ANR	8951012	IdentifierDeclType	VFIOContainer *		8951007	0					
ANR	8951013	Identifier	container		8951007	1					
ANR	8951014	IdentifierDeclStatement	"int ret , fd ;"	9:4:158:169	8951007	1	True				
ANR	8951015	IdentifierDecl	ret		8951007	0					
ANR	8951016	IdentifierDeclType	int		8951007	0					
ANR	8951017	Identifier	ret		8951007	1					
ANR	8951018	IdentifierDecl	fd		8951007	1					
ANR	8951019	IdentifierDeclType	int		8951007	0					
ANR	8951020	Identifier	fd		8951007	1					
ANR	8951021	IdentifierDeclStatement	VFIOAddressSpace * space ;	11:4:176:199	8951007	2	True				
ANR	8951022	IdentifierDecl	* space		8951007	0					
ANR	8951023	IdentifierDeclType	VFIOAddressSpace *		8951007	0					
ANR	8951024	Identifier	space		8951007	1					
ANR	8951025	ExpressionStatement	space = vfio_get_address_space ( as )	15:4:208:242	8951007	3	True				
ANR	8951026	AssignmentExpression	space = vfio_get_address_space ( as )		8951007	0		=			
ANR	8951027	Identifier	space		8951007	0					
ANR	8951028	CallExpression	vfio_get_address_space ( as )		8951007	1					
ANR	8951029	Callee	vfio_get_address_space		8951007	0					
ANR	8951030	Identifier	vfio_get_address_space		8951007	0					
ANR	8951031	ArgumentList	as		8951007	1					
ANR	8951032	Argument	as		8951007	0					
ANR	8951033	Identifier	as		8951007	0					
ANR	8951034	Statement	QLIST_FOREACH	19:4:251:263	8951007	4	True				
ANR	8951035	Statement	(	19:17:264:264	8951007	5	True				
ANR	8951036	Statement	container	19:18:265:273	8951007	6	True				
ANR	8951037	Statement	","	19:27:274:274	8951007	7	True				
ANR	8951038	Statement	&	19:29:276:276	8951007	8	True				
ANR	8951039	Statement	space	19:30:277:281	8951007	9	True				
ANR	8951040	Statement	->	19:35:282:283	8951007	10	True				
ANR	8951041	Statement	containers	19:37:284:293	8951007	11	True				
ANR	8951042	Statement	","	19:47:294:294	8951007	12	True				
ANR	8951043	Statement	next	19:49:296:299	8951007	13	True				
ANR	8951044	Statement	)	19:53:300:300	8951007	14	True				
ANR	8951045	ReturnType	static int		8951007	1					
ANR	8951046	Identifier	vfio_connect_container		8951007	2					
ANR	8951047	ParameterList	"VFIOGroup * group , AddressSpace * as , Error * * errp"		8951007	3					
ANR	8951048	Parameter	VFIOGroup * group	1:34:34:49	8951007	0	True				
ANR	8951049	ParameterType	VFIOGroup *		8951007	0					
ANR	8951050	Identifier	group		8951007	1					
ANR	8951051	Parameter	AddressSpace * as	1:52:52:67	8951007	1	True				
ANR	8951052	ParameterType	AddressSpace *		8951007	0					
ANR	8951053	Identifier	as		8951007	1					
ANR	8951054	Parameter	Error * * errp	3:34:105:116	8951007	2	True				
ANR	8951055	ParameterType	Error * *		8951007	0					
ANR	8951056	Identifier	errp		8951007	1					
ANR	8951057	CFGEntryNode	ENTRY		8951007		True				
ANR	8951058	CFGExitNode	EXIT		8951007		True				
ANR	8951059	Symbol	container		8951007						
ANR	8951060	Symbol	ret		8951007						
ANR	8951061	Symbol	as		8951007						
ANR	8951062	Symbol	errp		8951007						
ANR	8951063	Symbol	fd		8951007						
ANR	8951064	Symbol	space		8951007						
ANR	8951065	Symbol	group		8951007						
ANR	8951066	Symbol	vfio_get_address_space		8951007						
