command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9007231	File	/home/p4ultr4n/workplace/ReVeal/raw_code/vgafb_read_0.c								
ANR	9007232	Function	vgafb_read	1:0:0:844							
ANR	9007233	FunctionDef	"vgafb_read (void * opaque , target_phys_addr_t addr , unsigned size)"		9007232	0					
ANR	9007234	CompoundStatement		5:0:110:844	9007232	0					
ANR	9007235	IdentifierDeclStatement	MilkymistVgafbState * s = opaque ;	7:4:117:148	9007232	0	True				
ANR	9007236	IdentifierDecl	* s = opaque		9007232	0					
ANR	9007237	IdentifierDeclType	MilkymistVgafbState *		9007232	0					
ANR	9007238	Identifier	s		9007232	1					
ANR	9007239	AssignmentExpression	* s = opaque		9007232	2		=			
ANR	9007240	Identifier	opaque		9007232	0					
ANR	9007241	Identifier	opaque		9007232	1					
ANR	9007242	IdentifierDeclStatement	uint32_t r = 0 ;	9:4:155:169	9007232	1	True				
ANR	9007243	IdentifierDecl	r = 0		9007232	0					
ANR	9007244	IdentifierDeclType	uint32_t		9007232	0					
ANR	9007245	Identifier	r		9007232	1					
ANR	9007246	AssignmentExpression	r = 0		9007232	2		=			
ANR	9007247	Identifier	r		9007232	0					
ANR	9007248	PrimaryExpression	0		9007232	1					
ANR	9007249	ExpressionStatement	addr >>= 2	13:4:178:188	9007232	2	True				
ANR	9007250	AssignmentExpression	addr >>= 2		9007232	0		>>=			
ANR	9007251	Identifier	addr		9007232	0					
ANR	9007252	PrimaryExpression	2		9007232	1					
ANR	9007253	SwitchStatement	switch ( addr )		9007232	3					
ANR	9007254	Condition	addr	15:12:203:206	9007232	0	True				
ANR	9007255	Identifier	addr		9007232	0					
ANR	9007256	CompoundStatement		11:18:98:98	9007232	1					
ANR	9007257	Label	case R_CTRL :	17:4:216:227	9007232	0	True				
ANR	9007258	Identifier	R_CTRL		9007232	0					
ANR	9007259	Label	case R_HRES :	19:4:234:245	9007232	1	True				
ANR	9007260	Identifier	R_HRES		9007232	0					
ANR	9007261	Label	case R_HSYNC_START :	21:4:252:270	9007232	2	True				
ANR	9007262	Identifier	R_HSYNC_START		9007232	0					
ANR	9007263	Label	case R_HSYNC_END :	23:4:277:293	9007232	3	True				
ANR	9007264	Identifier	R_HSYNC_END		9007232	0					
ANR	9007265	Label	case R_HSCAN :	25:4:300:312	9007232	4	True				
ANR	9007266	Identifier	R_HSCAN		9007232	0					
ANR	9007267	Label	case R_VRES :	27:4:319:330	9007232	5	True				
ANR	9007268	Identifier	R_VRES		9007232	0					
ANR	9007269	Label	case R_VSYNC_START :	29:4:337:355	9007232	6	True				
ANR	9007270	Identifier	R_VSYNC_START		9007232	0					
ANR	9007271	Label	case R_VSYNC_END :	31:4:362:378	9007232	7	True				
ANR	9007272	Identifier	R_VSYNC_END		9007232	0					
ANR	9007273	Label	case R_VSCAN :	33:4:385:397	9007232	8	True				
ANR	9007274	Identifier	R_VSCAN		9007232	0					
ANR	9007275	Label	case R_BASEADDRESS :	35:4:404:422	9007232	9	True				
ANR	9007276	Identifier	R_BASEADDRESS		9007232	0					
ANR	9007277	Label	case R_BURST_COUNT :	37:4:429:447	9007232	10	True				
ANR	9007278	Identifier	R_BURST_COUNT		9007232	0					
ANR	9007279	Label	case R_DDC :	39:4:454:464	9007232	11	True				
ANR	9007280	Identifier	R_DDC		9007232	0					
ANR	9007281	Label	case R_SOURCE_CLOCK :	41:4:471:490	9007232	12	True				
ANR	9007282	Identifier	R_SOURCE_CLOCK		9007232	0					
ANR	9007283	ExpressionStatement	r = s -> regs [ addr ]	43:8:501:518	9007232	13	True				
ANR	9007284	AssignmentExpression	r = s -> regs [ addr ]		9007232	0		=			
ANR	9007285	Identifier	r		9007232	0					
ANR	9007286	ArrayIndexing	s -> regs [ addr ]		9007232	1					
ANR	9007287	PtrMemberAccess	s -> regs		9007232	0					
ANR	9007288	Identifier	s		9007232	0					
ANR	9007289	Identifier	regs		9007232	1					
ANR	9007290	Identifier	addr		9007232	1					
ANR	9007291	BreakStatement	break ;	45:4:525:530	9007232	14	True				
ANR	9007292	Label	case R_BASEADDRESS_ACT :	47:4:537:559	9007232	15	True				
ANR	9007293	Identifier	R_BASEADDRESS_ACT		9007232	0					
ANR	9007294	ExpressionStatement	r = s -> regs [ R_BASEADDRESS ]	49:8:570:596	9007232	16	True				
ANR	9007295	AssignmentExpression	r = s -> regs [ R_BASEADDRESS ]		9007232	0		=			
ANR	9007296	Identifier	r		9007232	0					
ANR	9007297	ArrayIndexing	s -> regs [ R_BASEADDRESS ]		9007232	1					
ANR	9007298	PtrMemberAccess	s -> regs		9007232	0					
ANR	9007299	Identifier	s		9007232	0					
ANR	9007300	Identifier	regs		9007232	1					
ANR	9007301	Identifier	R_BASEADDRESS		9007232	1					
