start	end	type	var
9011226	9011227	IS_AST_PARENT	
9011226	9011228	IS_AST_PARENT	
9011229	9011230	IS_AST_PARENT	
9011229	9011231	IS_AST_PARENT	
9011226	9011229	IS_AST_PARENT	
9011225	9011226	IS_AST_PARENT	
9011224	9011225	IS_AST_PARENT	
9011233	9011234	IS_AST_PARENT	
9011233	9011235	IS_AST_PARENT	
9011236	9011237	IS_AST_PARENT	
9011236	9011238	IS_AST_PARENT	
9011233	9011236	IS_AST_PARENT	
9011232	9011233	IS_AST_PARENT	
9011224	9011232	IS_AST_PARENT	
9011240	9011241	IS_AST_PARENT	
9011240	9011242	IS_AST_PARENT	
9011243	9011244	IS_AST_PARENT	
9011243	9011245	IS_AST_PARENT	
9011240	9011243	IS_AST_PARENT	
9011239	9011240	IS_AST_PARENT	
9011224	9011239	IS_AST_PARENT	
9011247	9011248	IS_AST_PARENT	
9011247	9011249	IS_AST_PARENT	
9011246	9011247	IS_AST_PARENT	
9011224	9011246	IS_AST_PARENT	
9011251	9011252	IS_AST_PARENT	
9011251	9011253	IS_AST_PARENT	
9011250	9011251	IS_AST_PARENT	
9011224	9011250	IS_AST_PARENT	
9011255	9011256	IS_AST_PARENT	
9011255	9011257	IS_AST_PARENT	
9011258	9011259	IS_AST_PARENT	
9011258	9011260	IS_AST_PARENT	
9011255	9011258	IS_AST_PARENT	
9011254	9011255	IS_AST_PARENT	
9011224	9011254	IS_AST_PARENT	
9011262	9011263	IS_AST_PARENT	
9011262	9011264	IS_AST_PARENT	
9011261	9011262	IS_AST_PARENT	
9011224	9011261	IS_AST_PARENT	
9011266	9011267	IS_AST_PARENT	
9011266	9011268	IS_AST_PARENT	
9011265	9011266	IS_AST_PARENT	
9011224	9011265	IS_AST_PARENT	
9011270	9011271	IS_AST_PARENT	
9011270	9011272	IS_AST_PARENT	
9011269	9011270	IS_AST_PARENT	
9011224	9011269	IS_AST_PARENT	
9011275	9011276	IS_AST_PARENT	
9011274	9011275	IS_AST_PARENT	
9011279	9011280	IS_AST_PARENT	
9011279	9011281	IS_AST_PARENT	
9011278	9011279	IS_AST_PARENT	
9011277	9011278	IS_AST_PARENT	
9011274	9011277	IS_AST_PARENT	
9011273	9011274	IS_AST_PARENT	
9011224	9011273	IS_AST_PARENT	
9011283	9011284	IS_AST_PARENT	
9011286	9011287	IS_AST_PARENT	
9011285	9011286	IS_AST_PARENT	
9011289	9011290	IS_AST_PARENT	
9011288	9011289	IS_AST_PARENT	
9011291	9011292	IS_AST_PARENT	
9011288	9011291	IS_AST_PARENT	
9011285	9011288	IS_AST_PARENT	
9011283	9011285	IS_AST_PARENT	
9011282	9011283	IS_AST_PARENT	
9011224	9011282	IS_AST_PARENT	
9011295	9011296	IS_AST_PARENT	
9011295	9011297	IS_AST_PARENT	
9011294	9011295	IS_AST_PARENT	
9011299	9011300	IS_AST_PARENT	
9011301	9011302	IS_AST_PARENT	
