command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9046991	File	/home/p4ultr4n/workplace/ReVeal/raw_code/video_thread_1.c								
ANR	9046992	Function	video_thread	1:0:0:2713							
ANR	9046993	FunctionDef	video_thread (void * arg)		9046992	0					
ANR	9046994	CompoundStatement		3:0:36:2713	9046992	0					
ANR	9046995	IdentifierDeclStatement	VideoState * is = arg ;	5:4:43:63	9046992	0	True				
ANR	9046996	IdentifierDecl	* is = arg		9046992	0					
ANR	9046997	IdentifierDeclType	VideoState *		9046992	0					
ANR	9046998	Identifier	is		9046992	1					
ANR	9046999	AssignmentExpression	* is = arg		9046992	2		=			
ANR	9047000	Identifier	arg		9046992	0					
ANR	9047001	Identifier	arg		9046992	1					
ANR	9047002	IdentifierDeclStatement	AVFrame * frame = avcodec_alloc_frame ( ) ;	7:4:70:108	9046992	1	True				
ANR	9047003	IdentifierDecl	* frame = avcodec_alloc_frame ( )		9046992	0					
ANR	9047004	IdentifierDeclType	AVFrame *		9046992	0					
ANR	9047005	Identifier	frame		9046992	1					
ANR	9047006	AssignmentExpression	* frame = avcodec_alloc_frame ( )		9046992	2		=			
ANR	9047007	Identifier	frame		9046992	0					
ANR	9047008	CallExpression	avcodec_alloc_frame ( )		9046992	1					
ANR	9047009	Callee	avcodec_alloc_frame		9046992	0					
ANR	9047010	Identifier	avcodec_alloc_frame		9046992	0					
ANR	9047011	ArgumentList			9046992	1					
ANR	9047012	IdentifierDeclStatement	int64_t pts_int ;	9:4:115:130	9046992	2	True				
ANR	9047013	IdentifierDecl	pts_int		9046992	0					
ANR	9047014	IdentifierDeclType	int64_t		9046992	0					
ANR	9047015	Identifier	pts_int		9046992	1					
ANR	9047016	IdentifierDeclStatement	double pts ;	11:4:137:147	9046992	3	True				
ANR	9047017	IdentifierDecl	pts		9046992	0					
ANR	9047018	IdentifierDeclType	double		9046992	0					
ANR	9047019	Identifier	pts		9046992	1					
ANR	9047020	IdentifierDeclStatement	int ret ;	13:4:154:161	9046992	4	True				
ANR	9047021	IdentifierDecl	ret		9046992	0					
ANR	9047022	IdentifierDeclType	int		9046992	0					
ANR	9047023	Identifier	ret		9046992	1					
ANR	9047024	IdentifierDeclStatement	AVFilterGraph * graph = avfilter_graph_alloc ( ) ;	19:4:191:236	9046992	5	True				
ANR	9047025	IdentifierDecl	* graph = avfilter_graph_alloc ( )		9046992	0					
ANR	9047026	IdentifierDeclType	AVFilterGraph *		9046992	0					
ANR	9047027	Identifier	graph		9046992	1					
ANR	9047028	AssignmentExpression	* graph = avfilter_graph_alloc ( )		9046992	2		=			
ANR	9047029	Identifier	graph		9046992	0					
ANR	9047030	CallExpression	avfilter_graph_alloc ( )		9046992	1					
ANR	9047031	Callee	avfilter_graph_alloc		9046992	0					
ANR	9047032	Identifier	avfilter_graph_alloc		9046992	0					
ANR	9047033	ArgumentList			9046992	1					
ANR	9047034	IdentifierDeclStatement	AVFilterContext * filt_out = NULL ;	21:4:243:275	9046992	6	True				
ANR	9047035	IdentifierDecl	* filt_out = NULL		9046992	0					
ANR	9047036	IdentifierDeclType	AVFilterContext *		9046992	0					
ANR	9047037	Identifier	filt_out		9046992	1					
ANR	9047038	AssignmentExpression	* filt_out = NULL		9046992	2		=			
ANR	9047039	Identifier	NULL		9046992	0					
ANR	9047040	Identifier	NULL		9046992	1					
ANR	9047041	IdentifierDeclStatement	int64_t pos ;	23:4:282:293	9046992	7	True				
ANR	9047042	IdentifierDecl	pos		9046992	0					
ANR	9047043	IdentifierDeclType	int64_t		9046992	0					
ANR	9047044	Identifier	pos		9046992	1					
ANR	9047045	IdentifierDeclStatement	int last_w = is -> video_st -> codec -> width ;	25:4:300:339	9046992	8	True				
ANR	9047046	IdentifierDecl	last_w = is -> video_st -> codec -> width		9046992	0					
ANR	9047047	IdentifierDeclType	int		9046992	0					
ANR	9047048	Identifier	last_w		9046992	1					
ANR	9047049	AssignmentExpression	last_w = is -> video_st -> codec -> width		9046992	2		=			
ANR	9047050	Identifier	last_w		9046992	0					
ANR	9047051	PtrMemberAccess	is -> video_st -> codec -> width		9046992	1					
ANR	9047052	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047053	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047054	Identifier	is		9046992	0					
ANR	9047055	Identifier	video_st		9046992	1					
ANR	9047056	Identifier	codec		9046992	1					
ANR	9047057	Identifier	width		9046992	1					
ANR	9047058	IdentifierDeclStatement	int last_h = is -> video_st -> codec -> height ;	27:4:346:386	9046992	9	True				
ANR	9047059	IdentifierDecl	last_h = is -> video_st -> codec -> height		9046992	0					
ANR	9047060	IdentifierDeclType	int		9046992	0					
ANR	9047061	Identifier	last_h		9046992	1					
ANR	9047062	AssignmentExpression	last_h = is -> video_st -> codec -> height		9046992	2		=			
ANR	9047063	Identifier	last_h		9046992	0					
ANR	9047064	PtrMemberAccess	is -> video_st -> codec -> height		9046992	1					
ANR	9047065	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047066	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047067	Identifier	is		9046992	0					
ANR	9047068	Identifier	video_st		9046992	1					
ANR	9047069	Identifier	codec		9046992	1					
ANR	9047070	Identifier	height		9046992	1					
ANR	9047071	IfStatement	"if ( ( ret = configure_video_filters ( graph , is , vfilters ) ) < 0 )"		9046992	10					
ANR	9047072	Condition	"( ret = configure_video_filters ( graph , is , vfilters ) ) < 0"	31:8:399:454	9046992	0	True				
ANR	9047073	RelationalExpression	"( ret = configure_video_filters ( graph , is , vfilters ) ) < 0"		9046992	0		<			
ANR	9047074	AssignmentExpression	"ret = configure_video_filters ( graph , is , vfilters )"		9046992	0		=			
ANR	9047075	Identifier	ret		9046992	0					
ANR	9047076	CallExpression	"configure_video_filters ( graph , is , vfilters )"		9046992	1					
ANR	9047077	Callee	configure_video_filters		9046992	0					
ANR	9047078	Identifier	configure_video_filters		9046992	0					
ANR	9047079	ArgumentList	graph		9046992	1					
ANR	9047080	Argument	graph		9046992	0					
ANR	9047081	Identifier	graph		9046992	0					
ANR	9047082	Argument	is		9046992	1					
ANR	9047083	Identifier	is		9046992	0					
ANR	9047084	Argument	vfilters		9046992	2					
ANR	9047085	Identifier	vfilters		9046992	0					
ANR	9047086	PrimaryExpression	0		9046992	1					
ANR	9047087	GotoStatement	goto the_end ;	33:8:466:478	9046992	1	True				
ANR	9047088	Identifier	the_end		9046992	0					
ANR	9047089	ExpressionStatement	filt_out = is -> out_video_filter	35:4:485:516	9046992	11	True				
ANR	9047090	AssignmentExpression	filt_out = is -> out_video_filter		9046992	0		=			
ANR	9047091	Identifier	filt_out		9046992	0					
ANR	9047092	PtrMemberAccess	is -> out_video_filter		9046992	1					
ANR	9047093	Identifier	is		9046992	0					
ANR	9047094	Identifier	out_video_filter		9046992	1					
ANR	9047095	ForStatement	for ( ; ; )		9046992	12					
ANR	9047096	CompoundStatement		43:8:538:550	9046992	0					
ANR	9047097	IdentifierDeclStatement	AVPacket pkt ;	45:8:575:587	9046992	0	True				
ANR	9047098	IdentifierDecl	pkt		9046992	0					
ANR	9047099	IdentifierDeclType	AVPacket		9046992	0					
ANR	9047100	Identifier	pkt		9046992	1					
ANR	9047101	WhileStatement	while ( is -> paused && ! is -> videoq . abort_request )		9046992	1					
ANR	9047102	Condition	is -> paused && ! is -> videoq . abort_request	55:15:680:718	9046992	0	True				
ANR	9047103	AndExpression	is -> paused && ! is -> videoq . abort_request		9046992	0		&&			
ANR	9047104	PtrMemberAccess	is -> paused		9046992	0					
ANR	9047105	Identifier	is		9046992	0					
ANR	9047106	Identifier	paused		9046992	1					
ANR	9047107	UnaryOperationExpression	! is -> videoq . abort_request		9046992	1					
ANR	9047108	UnaryOperator	!		9046992	0					
ANR	9047109	MemberAccess	is -> videoq . abort_request		9046992	1					
ANR	9047110	PtrMemberAccess	is -> videoq		9046992	0					
ANR	9047111	Identifier	is		9046992	0					
ANR	9047112	Identifier	videoq		9046992	1					
ANR	9047113	Identifier	abort_request		9046992	1					
ANR	9047114	ExpressionStatement	SDL_Delay ( 10 )	57:12:734:747	9046992	1	True				
ANR	9047115	CallExpression	SDL_Delay ( 10 )		9046992	0					
ANR	9047116	Callee	SDL_Delay		9046992	0					
ANR	9047117	Identifier	SDL_Delay		9046992	0					
ANR	9047118	ArgumentList	10		9046992	1					
ANR	9047119	Argument	10		9046992	0					
ANR	9047120	PrimaryExpression	10		9046992	0					
ANR	9047121	IfStatement	if ( last_w != is -> video_st -> codec -> width || last_h != is -> video_st -> codec -> height )		9046992	2					
ANR	9047122	Condition	last_w != is -> video_st -> codec -> width || last_h != is -> video_st -> codec -> height	61:15:786:875	9046992	0	True				
ANR	9047123	OrExpression	last_w != is -> video_st -> codec -> width || last_h != is -> video_st -> codec -> height		9046992	0		||			
ANR	9047124	EqualityExpression	last_w != is -> video_st -> codec -> width		9046992	0		!=			
ANR	9047125	Identifier	last_w		9046992	0					
ANR	9047126	PtrMemberAccess	is -> video_st -> codec -> width		9046992	1					
ANR	9047127	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047128	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047129	Identifier	is		9046992	0					
ANR	9047130	Identifier	video_st		9046992	1					
ANR	9047131	Identifier	codec		9046992	1					
ANR	9047132	Identifier	width		9046992	1					
ANR	9047133	EqualityExpression	last_h != is -> video_st -> codec -> height		9046992	1		!=			
ANR	9047134	Identifier	last_h		9046992	0					
ANR	9047135	PtrMemberAccess	is -> video_st -> codec -> height		9046992	1					
ANR	9047136	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047137	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047138	Identifier	is		9046992	0					
ANR	9047139	Identifier	video_st		9046992	1					
ANR	9047140	Identifier	codec		9046992	1					
ANR	9047141	Identifier	height		9046992	1					
ANR	9047142	CompoundStatement		61:54:841:841	9046992	1					
ANR	9047143	ExpressionStatement	"av_dlog ( NULL , ""Changing size %dx%d -> %dx%d\\n"" , last_w , last_h , is -> video_st -> codec -> width , is -> video_st -> codec -> height )"	65:12:893:1034	9046992	0	True				
ANR	9047144	CallExpression	"av_dlog ( NULL , ""Changing size %dx%d -> %dx%d\\n"" , last_w , last_h , is -> video_st -> codec -> width , is -> video_st -> codec -> height )"		9046992	0					
ANR	9047145	Callee	av_dlog		9046992	0					
ANR	9047146	Identifier	av_dlog		9046992	0					
ANR	9047147	ArgumentList	NULL		9046992	1					
ANR	9047148	Argument	NULL		9046992	0					
ANR	9047149	Identifier	NULL		9046992	0					
ANR	9047150	Argument	"""Changing size %dx%d -> %dx%d\\n"""		9046992	1					
ANR	9047151	PrimaryExpression	"""Changing size %dx%d -> %dx%d\\n"""		9046992	0					
ANR	9047152	Argument	last_w		9046992	2					
ANR	9047153	Identifier	last_w		9046992	0					
ANR	9047154	Argument	last_h		9046992	3					
ANR	9047155	Identifier	last_h		9046992	0					
ANR	9047156	Argument	is -> video_st -> codec -> width		9046992	4					
ANR	9047157	PtrMemberAccess	is -> video_st -> codec -> width		9046992	0					
ANR	9047158	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047159	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047160	Identifier	is		9046992	0					
ANR	9047161	Identifier	video_st		9046992	1					
ANR	9047162	Identifier	codec		9046992	1					
ANR	9047163	Identifier	width		9046992	1					
ANR	9047164	Argument	is -> video_st -> codec -> height		9046992	5					
ANR	9047165	PtrMemberAccess	is -> video_st -> codec -> height		9046992	0					
ANR	9047166	PtrMemberAccess	is -> video_st -> codec		9046992	0					
ANR	9047167	PtrMemberAccess	is -> video_st		9046992	0					
ANR	9047168	Identifier	is		9046992	0					
ANR	9047169	Identifier	video_st		9046992	1					
ANR	9047170	Identifier	codec		9046992	1					
ANR	9047171	Identifier	height		9046992	1					
