command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9063640	File	/home/p4ultr4n/workplace/ReVeal/raw_code/virtio_blk_handle_request_01_0.c								
ANR	9063641	Function	virtio_blk_handle_request	1:0:0:2263							
ANR	9063642	FunctionDef	"virtio_blk_handle_request (VirtIOBlockReq * req , MultiReqBuffer * mrb)"		9063641	0					
ANR	9063643	CompoundStatement		5:0:86:2263	9063641	0					
ANR	9063644	IdentifierDeclStatement	uint32_t type ;	7:4:93:106	9063641	0	True				
ANR	9063645	IdentifierDecl	type		9063641	0					
ANR	9063646	IdentifierDeclType	uint32_t		9063641	0					
ANR	9063647	Identifier	type		9063641	1					
ANR	9063648	IdentifierDeclStatement	struct iovec * iov = req -> elem -> out_sg ;	9:4:113:150	9063641	1	True				
ANR	9063649	IdentifierDecl	* iov = req -> elem -> out_sg		9063641	0					
ANR	9063650	IdentifierDeclType	struct iovec *		9063641	0					
ANR	9063651	Identifier	iov		9063641	1					
ANR	9063652	AssignmentExpression	* iov = req -> elem -> out_sg		9063641	2		=			
ANR	9063653	Identifier	iov		9063641	0					
ANR	9063654	PtrMemberAccess	req -> elem -> out_sg		9063641	1					
ANR	9063655	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063656	Identifier	req		9063641	0					
ANR	9063657	Identifier	elem		9063641	1					
ANR	9063658	Identifier	out_sg		9063641	1					
ANR	9063659	IdentifierDeclStatement	unsigned out_num = req -> elem -> out_num ;	11:4:157:194	9063641	2	True				
ANR	9063660	IdentifierDecl	out_num = req -> elem -> out_num		9063641	0					
ANR	9063661	IdentifierDeclType	unsigned		9063641	0					
ANR	9063662	Identifier	out_num		9063641	1					
ANR	9063663	AssignmentExpression	out_num = req -> elem -> out_num		9063641	2		=			
ANR	9063664	Identifier	out_num		9063641	0					
ANR	9063665	PtrMemberAccess	req -> elem -> out_num		9063641	1					
ANR	9063666	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063667	Identifier	req		9063641	0					
ANR	9063668	Identifier	elem		9063641	1					
ANR	9063669	Identifier	out_num		9063641	1					
ANR	9063670	IfStatement	if ( req -> elem -> out_num < 1 || req -> elem -> in_num < 1 )		9063641	3					
ANR	9063671	Condition	req -> elem -> out_num < 1 || req -> elem -> in_num < 1	15:8:207:253	9063641	0	True				
ANR	9063672	OrExpression	req -> elem -> out_num < 1 || req -> elem -> in_num < 1		9063641	0		||			
ANR	9063673	RelationalExpression	req -> elem -> out_num < 1		9063641	0		<			
ANR	9063674	PtrMemberAccess	req -> elem -> out_num		9063641	0					
ANR	9063675	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063676	Identifier	req		9063641	0					
ANR	9063677	Identifier	elem		9063641	1					
ANR	9063678	Identifier	out_num		9063641	1					
ANR	9063679	PrimaryExpression	1		9063641	1					
ANR	9063680	RelationalExpression	req -> elem -> in_num < 1		9063641	1		<			
ANR	9063681	PtrMemberAccess	req -> elem -> in_num		9063641	0					
ANR	9063682	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063683	Identifier	req		9063641	0					
ANR	9063684	Identifier	elem		9063641	1					
ANR	9063685	Identifier	in_num		9063641	1					
ANR	9063686	PrimaryExpression	1		9063641	1					
ANR	9063687	CompoundStatement		11:57:169:169	9063641	1					
ANR	9063688	ExpressionStatement	"error_report ( ""virtio-blk missing headers"" )"	17:8:267:309	9063641	0	True				
ANR	9063689	CallExpression	"error_report ( ""virtio-blk missing headers"" )"		9063641	0					
ANR	9063690	Callee	error_report		9063641	0					
ANR	9063691	Identifier	error_report		9063641	0					
ANR	9063692	ArgumentList	"""virtio-blk missing headers"""		9063641	1					
ANR	9063693	Argument	"""virtio-blk missing headers"""		9063641	0					
ANR	9063694	PrimaryExpression	"""virtio-blk missing headers"""		9063641	0					
ANR	9063695	ExpressionStatement	exit ( 1 )	19:8:320:327	9063641	1	True				
ANR	9063696	CallExpression	exit ( 1 )		9063641	0					
ANR	9063697	Callee	exit		9063641	0					
ANR	9063698	Identifier	exit		9063641	0					
ANR	9063699	ArgumentList	1		9063641	1					
ANR	9063700	Argument	1		9063641	0					
ANR	9063701	PrimaryExpression	1		9063641	0					
ANR	9063702	IfStatement	if ( req -> elem -> out_sg [ 0 ] . iov_len < sizeof ( req -> out ) || req -> elem -> in_sg [ req -> elem -> in_num - 1 ] . iov_len < sizeof ( * req -> in ) )		9063641	4					
ANR	9063703	Condition	req -> elem -> out_sg [ 0 ] . iov_len < sizeof ( req -> out ) || req -> elem -> in_sg [ req -> elem -> in_num - 1 ] . iov_len < sizeof ( * req -> in )	25:8:347:472	9063641	0	True				
ANR	9063704	OrExpression	req -> elem -> out_sg [ 0 ] . iov_len < sizeof ( req -> out ) || req -> elem -> in_sg [ req -> elem -> in_num - 1 ] . iov_len < sizeof ( * req -> in )		9063641	0		||			
ANR	9063705	RelationalExpression	req -> elem -> out_sg [ 0 ] . iov_len < sizeof ( req -> out )		9063641	0		<			
ANR	9063706	MemberAccess	req -> elem -> out_sg [ 0 ] . iov_len		9063641	0					
ANR	9063707	ArrayIndexing	req -> elem -> out_sg [ 0 ]		9063641	0					
ANR	9063708	PtrMemberAccess	req -> elem -> out_sg		9063641	0					
ANR	9063709	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063710	Identifier	req		9063641	0					
ANR	9063711	Identifier	elem		9063641	1					
ANR	9063712	Identifier	out_sg		9063641	1					
ANR	9063713	PrimaryExpression	0		9063641	1					
ANR	9063714	Identifier	iov_len		9063641	1					
ANR	9063715	SizeofExpression	sizeof ( req -> out )		9063641	1					
ANR	9063716	Sizeof	sizeof		9063641	0					
ANR	9063717	PtrMemberAccess	req -> out		9063641	1					
ANR	9063718	Identifier	req		9063641	0					
ANR	9063719	Identifier	out		9063641	1					
ANR	9063720	RelationalExpression	req -> elem -> in_sg [ req -> elem -> in_num - 1 ] . iov_len < sizeof ( * req -> in )		9063641	1		<			
ANR	9063721	MemberAccess	req -> elem -> in_sg [ req -> elem -> in_num - 1 ] . iov_len		9063641	0					
ANR	9063722	ArrayIndexing	req -> elem -> in_sg [ req -> elem -> in_num - 1 ]		9063641	0					
ANR	9063723	PtrMemberAccess	req -> elem -> in_sg		9063641	0					
ANR	9063724	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063725	Identifier	req		9063641	0					
ANR	9063726	Identifier	elem		9063641	1					
ANR	9063727	Identifier	in_sg		9063641	1					
ANR	9063728	AdditiveExpression	req -> elem -> in_num - 1		9063641	1		-			
ANR	9063729	PtrMemberAccess	req -> elem -> in_num		9063641	0					
ANR	9063730	PtrMemberAccess	req -> elem		9063641	0					
ANR	9063731	Identifier	req		9063641	0					
ANR	9063732	Identifier	elem		9063641	1					
ANR	9063733	Identifier	in_num		9063641	1					
ANR	9063734	PrimaryExpression	1		9063641	1					
ANR	9063735	Identifier	iov_len		9063641	1					
ANR	9063736	SizeofExpression	sizeof ( * req -> in )		9063641	1					
ANR	9063737	Sizeof	sizeof		9063641	0					
ANR	9063738	UnaryOperationExpression	* req -> in		9063641	1					
