command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9079789	File	/home/p4ultr4n/workplace/ReVeal/raw_code/virtio_ccw_post_plugged_0.c								
ANR	9079790	Function	virtio_ccw_post_plugged	1:0:0:329							
ANR	9079791	FunctionDef	"virtio_ccw_post_plugged (DeviceState * d , Error * * errp)"		9079790	0					
ANR	9079792	CompoundStatement		3:0:67:329	9079790	0					
ANR	9079793	IdentifierDeclStatement	VirtioCcwDevice * dev = VIRTIO_CCW_DEVICE ( d ) ;	5:3:73:116	9079790	0	True				
ANR	9079794	IdentifierDecl	* dev = VIRTIO_CCW_DEVICE ( d )		9079790	0					
ANR	9079795	IdentifierDeclType	VirtioCcwDevice *		9079790	0					
ANR	9079796	Identifier	dev		9079790	1					
ANR	9079797	AssignmentExpression	* dev = VIRTIO_CCW_DEVICE ( d )		9079790	2		=			
ANR	9079798	Identifier	dev		9079790	0					
ANR	9079799	CallExpression	VIRTIO_CCW_DEVICE ( d )		9079790	1					
ANR	9079800	Callee	VIRTIO_CCW_DEVICE		9079790	0					
ANR	9079801	Identifier	VIRTIO_CCW_DEVICE		9079790	0					
ANR	9079802	ArgumentList	d		9079790	1					
ANR	9079803	Argument	d		9079790	0					
ANR	9079804	Identifier	d		9079790	0					
ANR	9079805	IdentifierDeclStatement	VirtIODevice * vdev = virtio_bus_get_device ( & dev -> bus ) ;	7:3:122:175	9079790	1	True				
ANR	9079806	IdentifierDecl	* vdev = virtio_bus_get_device ( & dev -> bus )		9079790	0					
ANR	9079807	IdentifierDeclType	VirtIODevice *		9079790	0					
ANR	9079808	Identifier	vdev		9079790	1					
ANR	9079809	AssignmentExpression	* vdev = virtio_bus_get_device ( & dev -> bus )		9079790	2		=			
ANR	9079810	Identifier	vdev		9079790	0					
ANR	9079811	CallExpression	virtio_bus_get_device ( & dev -> bus )		9079790	1					
ANR	9079812	Callee	virtio_bus_get_device		9079790	0					
ANR	9079813	Identifier	virtio_bus_get_device		9079790	0					
ANR	9079814	ArgumentList	& dev -> bus		9079790	1					
ANR	9079815	Argument	& dev -> bus		9079790	0					
ANR	9079816	UnaryOperationExpression	& dev -> bus		9079790	0					
ANR	9079817	UnaryOperator	&		9079790	0					
ANR	9079818	PtrMemberAccess	dev -> bus		9079790	1					
ANR	9079819	Identifier	dev		9079790	0					
ANR	9079820	Identifier	bus		9079790	1					
ANR	9079821	IfStatement	"if ( ! virtio_host_has_feature ( vdev , VIRTIO_F_VERSION_1 ) )"		9079790	2					
ANR	9079822	Condition	"! virtio_host_has_feature ( vdev , VIRTIO_F_VERSION_1 )"	11:7:187:236	9079790	0	True				
ANR	9079823	UnaryOperationExpression	"! virtio_host_has_feature ( vdev , VIRTIO_F_VERSION_1 )"		9079790	0					
ANR	9079824	UnaryOperator	!		9079790	0					
ANR	9079825	CallExpression	"virtio_host_has_feature ( vdev , VIRTIO_F_VERSION_1 )"		9079790	1					
ANR	9079826	Callee	virtio_host_has_feature		9079790	0					
ANR	9079827	Identifier	virtio_host_has_feature		9079790	0					
ANR	9079828	ArgumentList	vdev		9079790	1					
ANR	9079829	Argument	vdev		9079790	0					
ANR	9079830	Identifier	vdev		9079790	0					
ANR	9079831	Argument	VIRTIO_F_VERSION_1		9079790	1					
ANR	9079832	Identifier	VIRTIO_F_VERSION_1		9079790	0					
ANR	9079833	CompoundStatement		9:59:171:171	9079790	1					
ANR	9079834	ExpressionStatement	dev -> max_rev = 0	15:7:304:320	9079790	0	True				
ANR	9079835	AssignmentExpression	dev -> max_rev = 0		9079790	0		=			
ANR	9079836	PtrMemberAccess	dev -> max_rev		9079790	0					
ANR	9079837	Identifier	dev		9079790	0					
ANR	9079838	Identifier	max_rev		9079790	1					
ANR	9079839	PrimaryExpression	0		9079790	1					
ANR	9079840	ReturnType	static void		9079790	1					
ANR	9079841	Identifier	virtio_ccw_post_plugged		9079790	2					
ANR	9079842	ParameterList	"DeviceState * d , Error * * errp"		9079790	3					
ANR	9079843	Parameter	DeviceState * d	1:36:36:49	9079790	0	True				
ANR	9079844	ParameterType	DeviceState *		9079790	0					
ANR	9079845	Identifier	d		9079790	1					
ANR	9079846	Parameter	Error * * errp	1:52:52:63	9079790	1	True				
ANR	9079847	ParameterType	Error * *		9079790	0					
ANR	9079848	Identifier	errp		9079790	1					
ANR	9079849	CFGEntryNode	ENTRY		9079790		True				
ANR	9079850	CFGExitNode	EXIT		9079790		True				
ANR	9079851	Symbol	* dev		9079790						
ANR	9079852	Symbol	d		9079790						
ANR	9079853	Symbol	errp		9079790						
ANR	9079854	Symbol	dev		9079790						
ANR	9079855	Symbol	dev -> max_rev		9079790						
ANR	9079856	Symbol	VIRTIO_CCW_DEVICE		9079790						
ANR	9079857	Symbol	vdev		9079790						
ANR	9079858	Symbol	virtio_bus_get_device		9079790						
ANR	9079859	Symbol	VIRTIO_F_VERSION_1		9079790						
ANR	9079860	Symbol	& dev -> bus		9079790						
ANR	9079861	Symbol	virtio_host_has_feature		9079790						
