command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9497662	File	/home/p4ultr4n/workplace/ReVeal/raw_code/xa_decode_1.c								
ANR	9497663	Function	xa_decode	1:0:0:1642							
ANR	9497664	FunctionDef	"xa_decode (short * out , const unsigned char * in , ADPCMChannelStatus * left , ADPCMChannelStatus * right , int inc)"		9497663	0					
ANR	9497665	CompoundStatement		5:0:127:1642	9497663	0					
ANR	9497666	IdentifierDeclStatement	"int i , j ;"	7:4:134:142	9497663	0	True				
ANR	9497667	IdentifierDecl	i		9497663	0					
ANR	9497668	IdentifierDeclType	int		9497663	0					
ANR	9497669	Identifier	i		9497663	1					
ANR	9497670	IdentifierDecl	j		9497663	1					
ANR	9497671	IdentifierDeclType	int		9497663	0					
ANR	9497672	Identifier	j		9497663	1					
ANR	9497673	IdentifierDeclStatement	"int shift , filter , f0 , f1 ;"	9:4:149:171	9497663	1	True				
ANR	9497674	IdentifierDecl	shift		9497663	0					
ANR	9497675	IdentifierDeclType	int		9497663	0					
ANR	9497676	Identifier	shift		9497663	1					
ANR	9497677	IdentifierDecl	filter		9497663	1					
ANR	9497678	IdentifierDeclType	int		9497663	0					
ANR	9497679	Identifier	filter		9497663	1					
ANR	9497680	IdentifierDecl	f0		9497663	2					
ANR	9497681	IdentifierDeclType	int		9497663	0					
ANR	9497682	Identifier	f0		9497663	1					
ANR	9497683	IdentifierDecl	f1		9497663	3					
ANR	9497684	IdentifierDeclType	int		9497663	0					
ANR	9497685	Identifier	f1		9497663	1					
ANR	9497686	IdentifierDeclStatement	"int s_1 , s_2 ;"	11:4:178:189	9497663	2	True				
ANR	9497687	IdentifierDecl	s_1		9497663	0					
ANR	9497688	IdentifierDeclType	int		9497663	0					
ANR	9497689	Identifier	s_1		9497663	1					
ANR	9497690	IdentifierDecl	s_2		9497663	1					
ANR	9497691	IdentifierDeclType	int		9497663	0					
ANR	9497692	Identifier	s_2		9497663	1					
ANR	9497693	IdentifierDeclStatement	"int d , s , t ;"	13:4:196:205	9497663	3	True				
ANR	9497694	IdentifierDecl	d		9497663	0					
ANR	9497695	IdentifierDeclType	int		9497663	0					
ANR	9497696	Identifier	d		9497663	1					
ANR	9497697	IdentifierDecl	s		9497663	1					
ANR	9497698	IdentifierDeclType	int		9497663	0					
ANR	9497699	Identifier	s		9497663	1					
ANR	9497700	IdentifierDecl	t		9497663	2					
ANR	9497701	IdentifierDeclType	int		9497663	0					
ANR	9497702	Identifier	t		9497663	1					
ANR	9497703	ForStatement	for ( i = 0 ; i < 4 ; i ++ )		9497663	4					
ANR	9497704	ForInit	i = 0 ;	17:8:218:221	9497663	0	True				
ANR	9497705	AssignmentExpression	i = 0		9497663	0		=			
ANR	9497706	Identifier	i		9497663	0					
ANR	9497707	PrimaryExpression	0		9497663	1					
ANR	9497708	Condition	i < 4	17:12:222:224	9497663	1	True				
ANR	9497709	RelationalExpression	i < 4		9497663	0		<			
ANR	9497710	Identifier	i		9497663	0					
ANR	9497711	PrimaryExpression	4		9497663	1					
ANR	9497712	PostIncDecOperationExpression	i ++	17:16:226:228	9497663	2	True				
ANR	9497713	Identifier	i		9497663	0					
ANR	9497714	IncDec	++		9497663	1					
ANR	9497715	CompoundStatement		13:21:103:103	9497663	3					
ANR	9497716	ExpressionStatement	shift = 12 - ( in [ 4 + i * 2 ] & 15 )	21:8:244:274	9497663	0	True				
ANR	9497717	AssignmentExpression	shift = 12 - ( in [ 4 + i * 2 ] & 15 )		9497663	0		=			
ANR	9497718	Identifier	shift		9497663	0					
ANR	9497719	AdditiveExpression	12 - ( in [ 4 + i * 2 ] & 15 )		9497663	1		-			
ANR	9497720	PrimaryExpression	12		9497663	0					
ANR	9497721	BitAndExpression	in [ 4 + i * 2 ] & 15		9497663	1		&			
ANR	9497722	ArrayIndexing	in [ 4 + i * 2 ]		9497663	0					
ANR	9497723	Identifier	in		9497663	0					
ANR	9497724	AdditiveExpression	4 + i * 2		9497663	1		+			
ANR	9497725	PrimaryExpression	4		9497663	0					
ANR	9497726	MultiplicativeExpression	i * 2		9497663	1		*			
ANR	9497727	Identifier	i		9497663	0					
