command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9560169	File	/home/p4ultr4n/workplace/ReVeal/raw_code/xhci_port_update_0.c								
ANR	9560170	Function	xhci_port_update	1:0:0:1025							
ANR	9560171	FunctionDef	"xhci_port_update (XHCIPort * port , int is_detach)"		9560170	0					
ANR	9560172	CompoundStatement		3:0:61:1025	9560170	0					
ANR	9560173	ExpressionStatement	port -> portsc = PORTSC_PP	5:4:68:92	9560170	0	True				
ANR	9560174	AssignmentExpression	port -> portsc = PORTSC_PP		9560170	0		=			
ANR	9560175	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560176	Identifier	port		9560170	0					
ANR	9560177	Identifier	portsc		9560170	1					
ANR	9560178	Identifier	PORTSC_PP		9560170	1					
ANR	9560179	IfStatement	if ( port -> uport -> dev && port -> uport -> dev -> attached && ! is_detach && ( 1 << port -> uport -> dev -> speed ) & port -> speedmask )		9560170	1					
ANR	9560180	Condition	port -> uport -> dev && port -> uport -> dev -> attached && ! is_detach && ( 1 << port -> uport -> dev -> speed ) & port -> speedmask	7:8:103:223	9560170	0	True				
ANR	9560181	AndExpression	port -> uport -> dev && port -> uport -> dev -> attached && ! is_detach && ( 1 << port -> uport -> dev -> speed ) & port -> speedmask		9560170	0		&&			
ANR	9560182	PtrMemberAccess	port -> uport -> dev		9560170	0					
ANR	9560183	PtrMemberAccess	port -> uport		9560170	0					
ANR	9560184	Identifier	port		9560170	0					
ANR	9560185	Identifier	uport		9560170	1					
ANR	9560186	Identifier	dev		9560170	1					
ANR	9560187	AndExpression	port -> uport -> dev -> attached && ! is_detach && ( 1 << port -> uport -> dev -> speed ) & port -> speedmask		9560170	1		&&			
ANR	9560188	PtrMemberAccess	port -> uport -> dev -> attached		9560170	0					
ANR	9560189	PtrMemberAccess	port -> uport -> dev		9560170	0					
ANR	9560190	PtrMemberAccess	port -> uport		9560170	0					
ANR	9560191	Identifier	port		9560170	0					
ANR	9560192	Identifier	uport		9560170	1					
ANR	9560193	Identifier	dev		9560170	1					
ANR	9560194	Identifier	attached		9560170	1					
ANR	9560195	AndExpression	! is_detach && ( 1 << port -> uport -> dev -> speed ) & port -> speedmask		9560170	1		&&			
ANR	9560196	UnaryOperationExpression	! is_detach		9560170	0					
ANR	9560197	UnaryOperator	!		9560170	0					
ANR	9560198	Identifier	is_detach		9560170	1					
ANR	9560199	BitAndExpression	( 1 << port -> uport -> dev -> speed ) & port -> speedmask		9560170	1		&			
ANR	9560200	ShiftExpression	1 << port -> uport -> dev -> speed		9560170	0		<<			
ANR	9560201	PrimaryExpression	1		9560170	0					
ANR	9560202	PtrMemberAccess	port -> uport -> dev -> speed		9560170	1					
ANR	9560203	PtrMemberAccess	port -> uport -> dev		9560170	0					
ANR	9560204	PtrMemberAccess	port -> uport		9560170	0					
ANR	9560205	Identifier	port		9560170	0					
ANR	9560206	Identifier	uport		9560170	1					
ANR	9560207	Identifier	dev		9560170	1					
ANR	9560208	Identifier	speed		9560170	1					
ANR	9560209	PtrMemberAccess	port -> speedmask		9560170	1					
ANR	9560210	Identifier	port		9560170	0					
ANR	9560211	Identifier	speedmask		9560170	1					
ANR	9560212	CompoundStatement		7:58:164:164	9560170	1					
ANR	9560213	ExpressionStatement	port -> portsc |= PORTSC_CCS	11:8:237:263	9560170	0	True				
ANR	9560214	AssignmentExpression	port -> portsc |= PORTSC_CCS		9560170	0		|=			
ANR	9560215	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560216	Identifier	port		9560170	0					
ANR	9560217	Identifier	portsc		9560170	1					
ANR	9560218	Identifier	PORTSC_CCS		9560170	1					
ANR	9560219	SwitchStatement	switch ( port -> uport -> dev -> speed )		9560170	1					
ANR	9560220	Condition	port -> uport -> dev -> speed	13:16:282:304	9560170	0	True				
ANR	9560221	PtrMemberAccess	port -> uport -> dev -> speed		9560170	0					
ANR	9560222	PtrMemberAccess	port -> uport -> dev		9560170	0					
ANR	9560223	PtrMemberAccess	port -> uport		9560170	0					
ANR	9560224	Identifier	port		9560170	0					
ANR	9560225	Identifier	uport		9560170	1					
ANR	9560226	Identifier	dev		9560170	1					
ANR	9560227	Identifier	speed		9560170	1					
ANR	9560228	CompoundStatement		11:41:245:245	9560170	1					
ANR	9560229	Label	case USB_SPEED_LOW :	15:8:318:336	9560170	0	True				
ANR	9560230	Identifier	USB_SPEED_LOW		9560170	0					
ANR	9560231	ExpressionStatement	port -> portsc |= PORTSC_SPEED_LOW	17:12:351:383	9560170	1	True				
ANR	9560232	AssignmentExpression	port -> portsc |= PORTSC_SPEED_LOW		9560170	0		|=			
ANR	9560233	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560234	Identifier	port		9560170	0					
ANR	9560235	Identifier	portsc		9560170	1					
ANR	9560236	Identifier	PORTSC_SPEED_LOW		9560170	1					
ANR	9560237	BreakStatement	break ;	19:12:398:403	9560170	2	True				
ANR	9560238	Label	case USB_SPEED_FULL :	21:8:414:433	9560170	3	True				
ANR	9560239	Identifier	USB_SPEED_FULL		9560170	0					
ANR	9560240	ExpressionStatement	port -> portsc |= PORTSC_SPEED_FULL	23:12:448:481	9560170	4	True				
ANR	9560241	AssignmentExpression	port -> portsc |= PORTSC_SPEED_FULL		9560170	0		|=			
ANR	9560242	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560243	Identifier	port		9560170	0					
ANR	9560244	Identifier	portsc		9560170	1					
ANR	9560245	Identifier	PORTSC_SPEED_FULL		9560170	1					
ANR	9560246	BreakStatement	break ;	25:12:496:501	9560170	5	True				
ANR	9560247	Label	case USB_SPEED_HIGH :	27:8:512:531	9560170	6	True				
ANR	9560248	Identifier	USB_SPEED_HIGH		9560170	0					
ANR	9560249	ExpressionStatement	port -> portsc |= PORTSC_SPEED_HIGH	29:12:546:579	9560170	7	True				
ANR	9560250	AssignmentExpression	port -> portsc |= PORTSC_SPEED_HIGH		9560170	0		|=			
ANR	9560251	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560252	Identifier	port		9560170	0					
ANR	9560253	Identifier	portsc		9560170	1					
ANR	9560254	Identifier	PORTSC_SPEED_HIGH		9560170	1					
ANR	9560255	BreakStatement	break ;	31:12:594:599	9560170	8	True				
ANR	9560256	Label	case USB_SPEED_SUPER :	33:8:610:630	9560170	9	True				
ANR	9560257	Identifier	USB_SPEED_SUPER		9560170	0					
ANR	9560258	ExpressionStatement	port -> portsc |= PORTSC_SPEED_SUPER	35:12:645:679	9560170	10	True				
ANR	9560259	AssignmentExpression	port -> portsc |= PORTSC_SPEED_SUPER		9560170	0		|=			
ANR	9560260	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560261	Identifier	port		9560170	0					
ANR	9560262	Identifier	portsc		9560170	1					
ANR	9560263	Identifier	PORTSC_SPEED_SUPER		9560170	1					
ANR	9560264	BreakStatement	break ;	37:12:694:699	9560170	11	True				
ANR	9560265	IfStatement	if ( xhci_running ( port -> xhci ) )		9560170	2					
ANR	9560266	Condition	xhci_running ( port -> xhci )	45:8:730:753	9560170	0	True				
ANR	9560267	CallExpression	xhci_running ( port -> xhci )		9560170	0					
ANR	9560268	Callee	xhci_running		9560170	0					
ANR	9560269	Identifier	xhci_running		9560170	0					
ANR	9560270	ArgumentList	port -> xhci		9560170	1					
ANR	9560271	Argument	port -> xhci		9560170	0					
ANR	9560272	PtrMemberAccess	port -> xhci		9560170	0					
ANR	9560273	Identifier	port		9560170	0					
ANR	9560274	Identifier	xhci		9560170	1					
ANR	9560275	CompoundStatement		47:8:742:839	9560170	1					
ANR	9560276	ExpressionStatement	port -> portsc |= PORTSC_CSC	47:8:767:793	9560170	0	True				
ANR	9560277	AssignmentExpression	port -> portsc |= PORTSC_CSC		9560170	0		|=			
ANR	9560278	PtrMemberAccess	port -> portsc		9560170	0					
ANR	9560279	Identifier	port		9560170	0					
ANR	9560280	Identifier	portsc		9560170	1					
ANR	9560281	Identifier	PORTSC_CSC		9560170	1					
ANR	9560282	IdentifierDeclStatement	"XHCIEvent ev = { ER_PORT_STATUS_CHANGE , CC_SUCCESS , port -> portnr << 24 } ;"	49:8:804:901	9560170	1	True				
ANR	9560283	IdentifierDecl	"ev = { ER_PORT_STATUS_CHANGE , CC_SUCCESS , port -> portnr << 24 }"		9560170	0					
ANR	9560284	IdentifierDeclType	XHCIEvent		9560170	0					
ANR	9560285	Identifier	ev		9560170	1					
ANR	9560286	AssignmentExpression	"ev = { ER_PORT_STATUS_CHANGE , CC_SUCCESS , port -> portnr << 24 }"		9560170	2		=			
ANR	9560287	Identifier	ev		9560170	0					
ANR	9560288	InitializerList	ER_PORT_STATUS_CHANGE		9560170	1					
ANR	9560289	Identifier	ER_PORT_STATUS_CHANGE		9560170	0					
ANR	9560290	Identifier	CC_SUCCESS		9560170	1					
ANR	9560291	ShiftExpression	port -> portnr << 24		9560170	2		<<			
ANR	9560292	PtrMemberAccess	port -> portnr		9560170	0					
ANR	9560293	Identifier	port		9560170	0					
ANR	9560294	Identifier	portnr		9560170	1					
ANR	9560295	PrimaryExpression	24		9560170	1					
ANR	9560296	ExpressionStatement	"xhci_event ( port -> xhci , & ev , 0 )"	53:8:912:942	9560170	2	True				
ANR	9560297	CallExpression	"xhci_event ( port -> xhci , & ev , 0 )"		9560170	0					
ANR	9560298	Callee	xhci_event		9560170	0					
ANR	9560299	Identifier	xhci_event		9560170	0					
ANR	9560300	ArgumentList	port -> xhci		9560170	1					
ANR	9560301	Argument	port -> xhci		9560170	0					
ANR	9560302	PtrMemberAccess	port -> xhci		9560170	0					
ANR	9560303	Identifier	port		9560170	0					
ANR	9560304	Identifier	xhci		9560170	1					
ANR	9560305	Argument	& ev		9560170	1					
ANR	9560306	UnaryOperationExpression	& ev		9560170	0					
ANR	9560307	UnaryOperator	&		9560170	0					
ANR	9560308	Identifier	ev		9560170	1					
ANR	9560309	Argument	0		9560170	2					
ANR	9560310	PrimaryExpression	0		9560170	0					
ANR	9560311	ExpressionStatement	"DPRINTF ( ""xhci: port change event for port %d\\n"" , port -> portnr )"	55:8:953:1015	9560170	3	True				
ANR	9560312	CallExpression	"DPRINTF ( ""xhci: port change event for port %d\\n"" , port -> portnr )"		9560170	0					
ANR	9560313	Callee	DPRINTF		9560170	0					
ANR	9560314	Identifier	DPRINTF		9560170	0					
ANR	9560315	ArgumentList	"""xhci: port change event for port %d\\n"""		9560170	1					
ANR	9560316	Argument	"""xhci: port change event for port %d\\n"""		9560170	0					
ANR	9560317	PrimaryExpression	"""xhci: port change event for port %d\\n"""		9560170	0					
ANR	9560318	Argument	port -> portnr		9560170	1					
ANR	9560319	PtrMemberAccess	port -> portnr		9560170	0					
ANR	9560320	Identifier	port		9560170	0					
ANR	9560321	Identifier	portnr		9560170	1					
ANR	9560322	ReturnType	static void		9560170	1					
ANR	9560323	Identifier	xhci_port_update		9560170	2					
ANR	9560324	ParameterList	"XHCIPort * port , int is_detach"		9560170	3					
ANR	9560325	Parameter	XHCIPort * port	1:29:29:42	9560170	0	True				
ANR	9560326	ParameterType	XHCIPort *		9560170	0					
ANR	9560327	Identifier	port		9560170	1					
ANR	9560328	Parameter	int is_detach	1:45:45:57	9560170	1	True				
ANR	9560329	ParameterType	int		9560170	0					
ANR	9560330	Identifier	is_detach		9560170	1					
ANR	9560331	CFGEntryNode	ENTRY		9560170		True				
ANR	9560332	CFGExitNode	EXIT		9560170		True				
ANR	9560333	Symbol	PORTSC_SPEED_FULL		9560170						
ANR	9560334	Symbol	* port -> uport -> dev		9560170						
ANR	9560335	Symbol	* port -> uport		9560170						
ANR	9560336	Symbol	PORTSC_SPEED_SUPER		9560170						
ANR	9560337	Symbol	PORTSC_PP		9560170						
ANR	9560338	Symbol	port -> portsc		9560170						
ANR	9560339	Symbol	* port		9560170						
ANR	9560340	Symbol	* * * port		9560170						
ANR	9560341	Symbol	port -> speedmask		9560170						
ANR	9560342	Symbol	port -> uport -> dev -> speed		9560170						
ANR	9560343	Symbol	PORTSC_CSC		9560170						
ANR	9560344	Symbol	is_detach		9560170						
ANR	9560345	Symbol	port -> uport		9560170						
ANR	9560346	Symbol	port -> uport -> dev -> attached		9560170						
ANR	9560347	Symbol	PORTSC_SPEED_LOW		9560170						
ANR	9560348	Symbol	port -> uport -> dev		9560170						
ANR	9560349	Symbol	ER_PORT_STATUS_CHANGE		9560170						
ANR	9560350	Symbol	* * port -> uport		9560170						
ANR	9560351	Symbol	ev		9560170						
ANR	9560352	Symbol	xhci_running		9560170						
ANR	9560353	Symbol	port		9560170						
ANR	9560354	Symbol	* * port		9560170						
ANR	9560355	Symbol	CC_SUCCESS		9560170						
ANR	9560356	Symbol	port -> xhci		9560170						
ANR	9560357	Symbol	PORTSC_CCS		9560170						
ANR	9560358	Symbol	& ev		9560170						
ANR	9560359	Symbol	PORTSC_SPEED_HIGH		9560170						
ANR	9560360	Symbol	port -> portnr		9560170						
