start	end	type	var
9568844	9568845	IS_AST_PARENT	
9568844	9568846	IS_AST_PARENT	
9568843	9568844	IS_AST_PARENT	
9568842	9568843	IS_AST_PARENT	
9568848	9568849	IS_AST_PARENT	
9568848	9568850	IS_AST_PARENT	
9568847	9568848	IS_AST_PARENT	
9568851	9568852	IS_AST_PARENT	
9568851	9568853	IS_AST_PARENT	
9568847	9568851	IS_AST_PARENT	
9568842	9568847	IS_AST_PARENT	
9568855	9568856	IS_AST_PARENT	
9568858	9568859	IS_AST_PARENT	
9568857	9568858	IS_AST_PARENT	
9568861	9568862	IS_AST_PARENT	
9568860	9568861	IS_AST_PARENT	
9568863	9568864	IS_AST_PARENT	
9568860	9568863	IS_AST_PARENT	
9568857	9568860	IS_AST_PARENT	
9568855	9568857	IS_AST_PARENT	
9568854	9568855	IS_AST_PARENT	
9568842	9568854	IS_AST_PARENT	
9568867	9568868	IS_AST_PARENT	
9568866	9568867	IS_AST_PARENT	
9568870	9568871	IS_AST_PARENT	
9568869	9568870	IS_AST_PARENT	
9568872	9568873	IS_AST_PARENT	
9568869	9568872	IS_AST_PARENT	
9568874	9568875	IS_AST_PARENT	
9568869	9568874	IS_AST_PARENT	
9568866	9568869	IS_AST_PARENT	
9568865	9568866	IS_AST_PARENT	
9568842	9568865	IS_AST_PARENT	
9568878	9568879	IS_AST_PARENT	
9568877	9568878	IS_AST_PARENT	
9568881	9568882	IS_AST_PARENT	
9568880	9568881	IS_AST_PARENT	
9568883	9568884	IS_AST_PARENT	
9568880	9568883	IS_AST_PARENT	
9568885	9568886	IS_AST_PARENT	
9568880	9568885	IS_AST_PARENT	
9568877	9568880	IS_AST_PARENT	
9568876	9568877	IS_AST_PARENT	
9568842	9568876	IS_AST_PARENT	
9568889	9568890	IS_AST_PARENT	
9568888	9568889	IS_AST_PARENT	
9568892	9568893	IS_AST_PARENT	
9568891	9568892	IS_AST_PARENT	
9568894	9568895	IS_AST_PARENT	
9568891	9568894	IS_AST_PARENT	
9568896	9568897	IS_AST_PARENT	
9568891	9568896	IS_AST_PARENT	
9568888	9568891	IS_AST_PARENT	
9568887	9568888	IS_AST_PARENT	
9568842	9568887	IS_AST_PARENT	
9568900	9568901	IS_AST_PARENT	
9568899	9568900	IS_AST_PARENT	
9568903	9568904	IS_AST_PARENT	
9568902	9568903	IS_AST_PARENT	
9568905	9568906	IS_AST_PARENT	
9568902	9568905	IS_AST_PARENT	
9568907	9568908	IS_AST_PARENT	
9568902	9568907	IS_AST_PARENT	
9568899	9568902	IS_AST_PARENT	
9568898	9568899	IS_AST_PARENT	
9568842	9568898	IS_AST_PARENT	
9568911	9568912	IS_AST_PARENT	
9568910	9568911	IS_AST_PARENT	
9568914	9568915	IS_AST_PARENT	
9568913	9568914	IS_AST_PARENT	
9568916	9568917	IS_AST_PARENT	
9568913	9568916	IS_AST_PARENT	
9568918	9568919	IS_AST_PARENT	
9568913	9568918	IS_AST_PARENT	
9568910	9568913	IS_AST_PARENT	
9568909	9568910	IS_AST_PARENT	
9568842	9568909	IS_AST_PARENT	
9568922	9568923	IS_AST_PARENT	
9568921	9568922	IS_AST_PARENT	
9568925	9568926	IS_AST_PARENT	
9568924	9568925	IS_AST_PARENT	
9568927	9568928	IS_AST_PARENT	
9568924	9568927	IS_AST_PARENT	
9568929	9568930	IS_AST_PARENT	
9568924	9568929	IS_AST_PARENT	
9568921	9568924	IS_AST_PARENT	
9568920	9568921	IS_AST_PARENT	
9568842	9568920	IS_AST_PARENT	
9568933	9568934	IS_AST_PARENT	
9568932	9568933	IS_AST_PARENT	
9568936	9568937	IS_AST_PARENT	
9568935	9568936	IS_AST_PARENT	
9568932	9568935	IS_AST_PARENT	
9568931	9568932	IS_AST_PARENT	
9568842	9568931	IS_AST_PARENT	
9568939	9568940	IS_AST_PARENT	
9568942	9568943	IS_AST_PARENT	
9568941	9568942	IS_AST_PARENT	
9568947	9568948	IS_AST_PARENT	
9568946	9568947	IS_AST_PARENT	
9568950	9568951	IS_AST_PARENT	
9568949	9568950	IS_AST_PARENT	
9568946	9568949	IS_AST_PARENT	
9568945	9568946	IS_AST_PARENT	
9568944	9568945	IS_AST_PARENT	
9568952	9568953	IS_AST_PARENT	
9568944	9568952	IS_AST_PARENT	
9568941	9568944	IS_AST_PARENT	
9568939	9568941	IS_AST_PARENT	
9568938	9568939	IS_AST_PARENT	
9568842	9568938	IS_AST_PARENT	
9568956	9568957	IS_AST_PARENT	
9568955	9568956	IS_AST_PARENT	
9568959	9568960	IS_AST_PARENT	
9568958	9568959	IS_AST_PARENT	
9568961	9568962	IS_AST_PARENT	
9568958	9568961	IS_AST_PARENT	
9568963	9568964	IS_AST_PARENT	
9568958	9568963	IS_AST_PARENT	
9568965	9568966	IS_AST_PARENT	
9568958	9568965	IS_AST_PARENT	
9568955	9568958	IS_AST_PARENT	
9568954	9568955	IS_AST_PARENT	
9568842	9568954	IS_AST_PARENT	
9568968	9568969	IS_AST_PARENT	
9568971	9568972	IS_AST_PARENT	
9568970	9568971	IS_AST_PARENT	
9568976	9568977	IS_AST_PARENT	
9568975	9568976	IS_AST_PARENT	
9568979	9568980	IS_AST_PARENT	
9568978	9568979	IS_AST_PARENT	
9568975	9568978	IS_AST_PARENT	
9568974	9568975	IS_AST_PARENT	
9568973	9568974	IS_AST_PARENT	
9568981	9568982	IS_AST_PARENT	
9568973	9568981	IS_AST_PARENT	
9568970	9568973	IS_AST_PARENT	
9568968	9568970	IS_AST_PARENT	
9568967	9568968	IS_AST_PARENT	
9568842	9568967	IS_AST_PARENT	
9568985	9568986	IS_AST_PARENT	
9568984	9568985	IS_AST_PARENT	
9568988	9568989	IS_AST_PARENT	
9568987	9568988	IS_AST_PARENT	
9568990	9568991	IS_AST_PARENT	
9568987	9568990	IS_AST_PARENT	
9568992	9568993	IS_AST_PARENT	
9568987	9568992	IS_AST_PARENT	
9568994	9568995	IS_AST_PARENT	
9568987	9568994	IS_AST_PARENT	
9568984	9568987	IS_AST_PARENT	
9568983	9568984	IS_AST_PARENT	
9568842	9568983	IS_AST_PARENT	
9568998	9568999	IS_AST_PARENT	
9568997	9568998	IS_AST_PARENT	
9569001	9569002	IS_AST_PARENT	
9569000	9569001	IS_AST_PARENT	
9569003	9569004	IS_AST_PARENT	
9569000	9569003	IS_AST_PARENT	
9569005	9569006	IS_AST_PARENT	
9569000	9569005	IS_AST_PARENT	
9569007	9569008	IS_AST_PARENT	
9569000	9569007	IS_AST_PARENT	
9568997	9569000	IS_AST_PARENT	
9568996	9568997	IS_AST_PARENT	
9568842	9568996	IS_AST_PARENT	
9569011	9569012	IS_AST_PARENT	
9569010	9569011	IS_AST_PARENT	
9569014	9569015	IS_AST_PARENT	
9569013	9569014	IS_AST_PARENT	
9569010	9569013	IS_AST_PARENT	
9569009	9569010	IS_AST_PARENT	
9568842	9569009	IS_AST_PARENT	
9568841	9568842	IS_AST_PARENT	
9568841	9569016	IS_AST_PARENT	
9569018	9569019	IS_AST_PARENT	
9569018	9569020	IS_AST_PARENT	
9569017	9569018	IS_AST_PARENT	
9569021	9569022	IS_AST_PARENT	
9569021	9569023	IS_AST_PARENT	
9569017	9569021	IS_AST_PARENT	
9569024	9569025	IS_AST_PARENT	
9569024	9569026	IS_AST_PARENT	
9569017	9569024	IS_AST_PARENT	
9569027	9569028	IS_AST_PARENT	
9569027	9569029	IS_AST_PARENT	
9569017	9569027	IS_AST_PARENT	
9569030	9569031	IS_AST_PARENT	
9569030	9569032	IS_AST_PARENT	
9569017	9569030	IS_AST_PARENT	
9569033	9569034	IS_AST_PARENT	
9569033	9569035	IS_AST_PARENT	
9569017	9569033	IS_AST_PARENT	
9569036	9569037	IS_AST_PARENT	
9569036	9569038	IS_AST_PARENT	
9569017	9569036	IS_AST_PARENT	
9569039	9569040	IS_AST_PARENT	
9569039	9569041	IS_AST_PARENT	
9569017	9569039	IS_AST_PARENT	
9568841	9569017	IS_AST_PARENT	
9569042	9569018	FLOWS_TO	
9569018	9569021	FLOWS_TO	
9569021	9569024	FLOWS_TO	
9569024	9569027	FLOWS_TO	
9569027	9569030	FLOWS_TO	
9569030	9569033	FLOWS_TO	
9569033	9569036	FLOWS_TO	
9569036	9569039	FLOWS_TO	
9569039	9568843	FLOWS_TO	
9568843	9568847	FLOWS_TO	
9568847	9568854	FLOWS_TO	
9568854	9568865	FLOWS_TO	
9568865	9568876	FLOWS_TO	
9568876	9568887	FLOWS_TO	
9568887	9568898	FLOWS_TO	
9568898	9568909	FLOWS_TO	
9568909	9568920	FLOWS_TO	
9568920	9568931	FLOWS_TO	
9568931	9568938	FLOWS_TO	
9568938	9568954	FLOWS_TO	
9568954	9568967	FLOWS_TO	
9568967	9568983	FLOWS_TO	
9568983	9568996	FLOWS_TO	
9568996	9569009	FLOWS_TO	
9569009	9569043	FLOWS_TO	
