command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	9631785	File	/home/p4ultr4n/workplace/ReVeal/raw_code/yuv4_read_packet_1.c								
ANR	9631786	Function	yuv4_read_packet	1:0:0:1031							
ANR	9631787	FunctionDef	"yuv4_read_packet (AVFormatContext * s , AVPacket * pkt)"		9631786	0					
ANR	9631788	CompoundStatement		3:0:64:1031	9631786	0					
ANR	9631789	IdentifierDeclStatement	int i ;	5:4:71:76	9631786	0	True				
ANR	9631790	IdentifierDecl	i		9631786	0					
ANR	9631791	IdentifierDeclType	int		9631786	0					
ANR	9631792	Identifier	i		9631786	1					
ANR	9631793	IdentifierDeclStatement	char header [ MAX_FRAME_HEADER + 1 ] ;	7:4:83:114	9631786	1	True				
ANR	9631794	IdentifierDecl	header [ MAX_FRAME_HEADER + 1 ]		9631786	0					
ANR	9631795	IdentifierDeclType	char [ MAX_FRAME_HEADER + 1 ]		9631786	0					
ANR	9631796	Identifier	header		9631786	1					
ANR	9631797	AdditiveExpression	MAX_FRAME_HEADER + 1		9631786	2		+			
ANR	9631798	Identifier	MAX_FRAME_HEADER		9631786	0					
ANR	9631799	PrimaryExpression	1		9631786	1					
ANR	9631800	IdentifierDeclStatement	int ret ;	9:4:121:128	9631786	2	True				
ANR	9631801	IdentifierDecl	ret		9631786	0					
ANR	9631802	IdentifierDeclType	int		9631786	0					
ANR	9631803	Identifier	ret		9631786	1					
ANR	9631804	IdentifierDeclStatement	int64_t off = avio_tell ( s -> pb ) ;	11:4:135:165	9631786	3	True				
ANR	9631805	IdentifierDecl	off = avio_tell ( s -> pb )		9631786	0					
ANR	9631806	IdentifierDeclType	int64_t		9631786	0					
ANR	9631807	Identifier	off		9631786	1					
ANR	9631808	AssignmentExpression	off = avio_tell ( s -> pb )		9631786	2		=			
ANR	9631809	Identifier	off		9631786	0					
ANR	9631810	CallExpression	avio_tell ( s -> pb )		9631786	1					
ANR	9631811	Callee	avio_tell		9631786	0					
ANR	9631812	Identifier	avio_tell		9631786	0					
ANR	9631813	ArgumentList	s -> pb		9631786	1					
ANR	9631814	Argument	s -> pb		9631786	0					
ANR	9631815	PtrMemberAccess	s -> pb		9631786	0					
ANR	9631816	Identifier	s		9631786	0					
ANR	9631817	Identifier	pb		9631786	1					
ANR	9631818	ForStatement	for ( i = 0 ; i < MAX_FRAME_HEADER ; i ++ )		9631786	4					
ANR	9631819	ForInit	i = 0 ;	15:9:179:184	9631786	0	True				
ANR	9631820	AssignmentExpression	i = 0		9631786	0		=			
ANR	9631821	Identifier	i		9631786	0					
ANR	9631822	PrimaryExpression	0		9631786	1					
ANR	9631823	Condition	i < MAX_FRAME_HEADER	15:16:186:205	9631786	1	True				
ANR	9631824	RelationalExpression	i < MAX_FRAME_HEADER		9631786	0		<			
ANR	9631825	Identifier	i		9631786	0					
ANR	9631826	Identifier	MAX_FRAME_HEADER		9631786	1					
ANR	9631827	PostIncDecOperationExpression	i ++	15:38:208:210	9631786	2	True				
ANR	9631828	Identifier	i		9631786	0					
ANR	9631829	IncDec	++		9631786	1					
ANR	9631830	CompoundStatement		13:43:148:148	9631786	3					
ANR	9631831	ExpressionStatement	header [ i ] = avio_r8 ( s -> pb )	17:8:224:250	9631786	0	True				
ANR	9631832	AssignmentExpression	header [ i ] = avio_r8 ( s -> pb )		9631786	0		=			
ANR	9631833	ArrayIndexing	header [ i ]		9631786	0					
ANR	9631834	Identifier	header		9631786	0					
ANR	9631835	Identifier	i		9631786	1					
ANR	9631836	CallExpression	avio_r8 ( s -> pb )		9631786	1					
ANR	9631837	Callee	avio_r8		9631786	0					
ANR	9631838	Identifier	avio_r8		9631786	0					
ANR	9631839	ArgumentList	s -> pb		9631786	1					
ANR	9631840	Argument	s -> pb		9631786	0					
ANR	9631841	PtrMemberAccess	s -> pb		9631786	0					
ANR	9631842	Identifier	s		9631786	0					
ANR	9631843	Identifier	pb		9631786	1					
ANR	9631844	IfStatement	if ( header [ i ] == '\\n' )		9631786	1					
